date, pm25, pm10, o3, no2, so2, co
2019/10/2, 63, 37, 56, 19, 1, 11
2019/10/3, 74, 31, 28, 6, , 9
2019/10/4, 71, 36, 48, 15, 1, 7
2019/10/5, 67, 34, 44, 16, 1, 8
2019/10/6, 83, 10, 23, , , 5
2019/10/7, 29, 4, 15, 7, , 6
2019/10/8, 13, 8, 17, 11, , 7
2019/10/9, 30, 10, 17, 12, 1, 6
2019/10/10, 39, 17, 27, 12, , 6
2019/10/11, 45, 26, 33, 15, , 9
2019/10/12, 64, 30, 47, 9, 1, 14
2019/10/13, 64, 29, 41, 8, , 18
2019/10/14, 58, 30, 33, 12, , 13
2019/10/15, 67, 11, 17, 9, , 5
2019/10/16, 32, 18, 21, 7, , 6
2019/10/17, 52, 24, 34, 4, , 7
2019/10/18, 58, 35, 36, , , 8
2019/10/19, 82, 9, 30, 7, , 6
2019/10/20, 31, 10, 32, 4, , 5
2019/10/21, 18, 23, 20, 20, , 8
2019/10/22, 53, 17, 38, 20, , 8
2019/10/23, 54, 14, 54, 10, , 6
2019/10/24, 48, 17, 41, 16, , 7
2019/10/25, 47, 31, 88, 29, , 10
2019/10/26, 85, 20, 28, 11, , 6
2019/10/27, 64, 27, 43, 11, , 8
2019/10/28, 54, 26, 48, 19, , 9
2019/10/29, 44, 33, 51, 30, , 9
2019/10/30, 58, 29, 62, 19, , 8
2019/10/31, 62, 22, 60, 17, , 7
2019/11/1, 55, 19, 49, 11, , 7
2019/11/2, 71, 25, 38, 8, , 6
2019/11/3, 55, 31, 43, 12, , 9
2019/11/4, 68, 31, 56, 15, , 7
2019/11/5, 49, 18, 40, 20, , 
2019/11/6, 47, 9, 25, 10, , 
2019/11/7, 46, 10, 30, 17, , 7
2019/11/8, 53, 15, 24, 17, , 8
2019/11/9, 54, , 13, 7, , 6
2019/11/12, 29, 9, 22, 7, , 6
2019/11/13, 20, 19, 33, 11, , 7
2019/11/14, 29, 19, 24, 19, , 9
2019/11/15, 41, 11, 18, 11, , 7
2019/11/16, 36, 16, 19, 10, 1, 7
2019/11/17, 53, 16, 29, 5, 1, 6
2019/11/18, 46, 16, 22, 11, 1, 7
2019/11/19, 35, 14, 27, 13, , 7
2019/11/20, 49, 13, 30, 7, 1, 6
2019/11/21, 32, 18, 42, 14, , 7
2019/11/22, 39, 21, 33, 24, , 9
2019/11/23, 40, 14, 31, 10, , 7
2019/11/24, 30, 14, 21, 4, , 6
2019/11/25, 38, 18, , 4, , 6
2019/11/26, 36, 27, 41, 19, , 7
2019/11/27, 54, 30, 21, 23, , 10
2019/11/28, 52, 6, 10, 15, , 7
2019/11/29, 20, 29, , 12, 1, 7
2019/11/30, 40, 32, 38, 11, , 9
2019/12/1, 46, 17, 27, 9, , 8
2019/12/2, 36, 11, 21, 9, 1, 7
2019/12/3, 34, 21, 14, 11, , 6
2019/12/4, 42, 26, 8, 23, , 8
2019/12/5, 60, 26, 22, 20, , 11
2019/12/6, 37, 11, 22, 16, , 7
2019/12/7, 41, 16, 33, 9, , 8
2019/12/8, 39, 19, 36, 12, 1, 7
2019/12/9, 42, 26, 21, 23, , 10
2019/12/10, 48, 22, 12, 27, , 12
2019/12/11, 38, 21, 29, 31, , 12
2019/12/12, 40, 16, 24, 17, , 10
2019/12/13, 34, 19, 22, 16, , 10
2019/12/14, 54, 15, 25, , , 
2019/7/2, 63, 41, 1, 30, 1, 13
2019/7/3, 85, 49, , 29, 1, 12
2019/7/4, 71, 4, 5, 14, , 7
2019/7/5, 33, 7, 14, 17, , 3
2019/7/6, 16, 15, 18, 13, , 
2019/7/7, 39, 25, 39, 9, 1, 
2019/7/8, 39, 15, 37, 17, 1, 
2019/7/9, 42, 18, 53, 17, , 
2019/7/10, 54, 27, 45, 29, 1, 
2019/7/11, 71, 36, 34, 37, 1, 17
2019/7/12, 91, 48, 30, 42, 1, 21
2019/7/13, 107, 52, 36, 34, 1, 19
2019/7/14, 102, 54, , 28, 1, 17
2019/7/15, 109, 29, , 18, 1, 8
2019/7/16, 76, 12, 14, 9, , 5
2019/7/17, 24, 16, 11, 13, 1, 5
2019/7/18, 36, 14, 23, 14, 1, 5
2019/7/19, 40, 23, 22, 21, 1, 7
2019/7/20, 51, 33, 27, 22, 1, 12
2019/7/21, 61, 29, 21, 13, , 14
2019/7/22, 62, 31, 20, 22, 1, 13
2019/7/23, 50, 40, 23, 32, 1, 16
2019/7/24, 69, 41, 31, 38, 1, 15
2019/7/25, 93, 41, 33, 31, 1, 11
2019/7/26, 78, 30, 24, 23, 1, 11
2019/7/27, 63, 43, 34, 25, 1, 13
2019/7/28, 83, 13, 23, 6, , 4
2019/7/29, 44, 25, 23, 16, , 5
2019/7/30, 63, 32, 20, 24, 1, 8
2019/7/31, 63, 26, 58, 29, 1, 8
2019/8/1, 55, 41, 57, 33, 1, 15
2019/8/2, 71, 52, 23, 25, 1, 15
2019/8/3, 97, 7, 18, 4, , 4
2019/8/4, 22, 9, 16, 2, , 4
2019/8/5, 20, 12, 16, 12, 1, 5
2019/8/6, 37, 10, 11, 20, , 6
2019/8/7, 50, 31, 18, 22, 1, 17
2019/8/8, 47, 32, 27, 26, 1, 13
2019/8/9, 61, 42, 28, 32, 1, 16
2019/8/10, 84, 43, 29, 28, 1, 
2019/8/11, 69, 27, 20, 13, 1, 6
2019/8/12, 72, 37, 28, 21, 1, 14
2019/8/13, 61, 33, 14, 27, 2, 12
2019/8/14, 88, 9, 16, 9, , 5
2019/8/15, 14, 16, 18, 13, 1, 5
2019/8/16, 40, 31, 26, 27, , 11
2019/8/17, 43, 45, 30, 25, 1, 19
2019/8/24, 23, 9, 19, 7, , 5
2019/8/25, 24, 12, 20, 5, , 5
2019/8/26, 25, 19, 23, 14, 1, 6
2019/8/27, 46, 26, 29, 18, , 6
2019/8/28, 63, 23, 24, 14, , 6
2019/8/29, 57, 34, 33, 24, 1, 8
2019/8/30, 70, 47, 36, 36, 1, 17
2019/8/31, 87, 55, 34, 26, 1, 16
2019/9/1, 95, 14, 17, 13, , 8
2019/9/2, 48, 7, 14, 15, 2, 7
2019/9/3, 33, 23, 8, 24, , 10
2019/9/4, 62, 5, 10, 13, , 6
2019/9/5, 29, 3, 15, 11, , 6
2019/9/6, 13, 11, 14, 12, , 8
2019/9/7, 29, 25, 29, 13, , 14
2019/9/8, 52, 35, 39, 13, 1, 22
2019/9/9, 63, 40, 36, 20, 1, 16
2019/9/10, 66, 46, 33, 28, 2, 17
2019/9/11, 86, 54, 39, 30, 1, 20
2019/9/12, 116, , , 25, 1, 16
2019/9/13, 110, , , 6, , 7
2019/9/14, 41, , , 4, , 6
2019/9/15, 32, 37, 41, 6, 1, 9
2019/9/16, 80, 48, 6, 14, 1, 11
2019/9/17, 91, , , 19, 1, 14
2019/9/18, 125, 41, 40, 12, , 13
2019/9/19, 91, 33, 32, 7, , 8
2019/9/20, 89, 41, 25, 8, , 10
2019/9/21, 103, 4, 15, 2, , 6
2019/9/22, 16, 4, 14, 1, , 5
2019/9/23, 12, 20, 16, 2, 1, 6
2019/9/24, 18, 22, 21, 4, 1, 6
2019/9/26, 57, 14, 15, 5, , 7
2019/9/27, 48, 9, 15, 3, , 6
2019/9/28, 33, 12, 14, 1, , 6
2019/9/29, 38, 18, 29, 1, 1, 5
2019/9/30, 47, 24, 30, 2, 1, 7
2019/10/1, 57, 30, 41, 19, 1, 8
2019/4/2, 47, 22, 40, 16, 2, 9
2019/4/3, 44, 30, 43, 28, 1, 11
2019/4/4, 109, 47, 55, 36, 1, 
2019/4/5, 95, , , 22, , 18
2019/4/6, 67, , , 15, , 10
2019/4/7, 45, , , 9, , 1
2019/4/8, 44, , , 16, , 3
2019/4/9, 19, , , 16, , 2
2019/4/10, 32, , , 12, , 2
2019/4/11, 33, 18, 28, 17, , 1
2019/4/12, 44, 22, 31, 19, , 6
2019/4/13, 58, 27, 43, 15, , 6
2019/4/14, 71, 16, 14, 13, , 6
2019/4/15, 41, 17, 23, 8, , 8
2019/4/16, 49, 16, 21, 15, , 6
2019/4/17, 36, 11, 20, 13, , 5
2019/4/18, 33, 11, 19, 9, , 3
2019/4/19, 33, 14, 33, 14, , 9
2019/4/20, 47, 28, 34, 21, 1, 5
2019/4/21, 59, 35, 31, 16, 1, 3
2019/4/22, 76, 31, 39, 18, 1, 
2019/4/23, 82, 18, 24, 11, , 4
2019/4/24, 54, 21, 29, 17, 1, 11
2019/4/25, 63, 28, 29, 10, 1, 2
2019/4/26, 66, , , , , 3
2019/4/27, 73, , , 10, 1, 9
2019/4/28, 60, , , 7, 1, 5
2019/4/29, 42, 8, 13, 10, , 1
2019/4/30, 34, 18, 32, 14, 1, 2
2019/5/1, 46, 27, 34, 16, , 3
2019/5/2, 57, 38, 29, 29, 1, 8
2019/5/3, 87, 45, 27, 33, 1, 9
2019/5/4, 87, 45, 36, 27, 1, 9
2019/5/5, 91, 31, 30, 17, 1, 4
2019/5/6, 78, 36, 25, 22, , 4
2019/5/7, 65, 11, 15, 14, , 4
2019/5/8, 33, 7, 14, 10, , 5
2019/5/9, 31, 15, 14, 15, 1, 5
2019/5/10, 42, 29, 18, 24, 1, 12
2019/5/11, 55, 31, 25, 20, , 11
2019/5/12, 64, 26, 22, 13, , 9
2019/5/13, 58, 14, 27, 17, , 6
2019/5/14, 43, 23, 20, 16, , 7
2019/5/15, 51, 6, 15, 9, 1, 4
2019/5/16, 24, 3, 13, 10, , 5
2019/5/17, 26, 8, 11, 14, , 5
2019/5/18, 34, 10, 8, 18, , 8
2019/5/19, 44, 14, 15, 10, , 7
2019/5/20, 41, 15, 15, 20, , 8
2019/5/21, 48, 31, 26, 28, , 12
2019/5/22, 69, 37, 34, 32, 1, 14
2019/5/23, 82, 41, 29, 36, 1, 12
2019/5/24, 74, 22, 15, 18, 1, 7
2019/5/25, 59, 10, 15, 10, , 4
2019/5/26, 33, 18, 23, 9, 1, 4
2019/5/27, 48, 38, 23, 27, , 14
2019/5/28, 53, 32, 24, 30, 1, 14
2019/5/29, 68, 15, 17, 20, , 7
2019/5/30, 53, 18, 10, 20, , 8
2019/5/31, 49, 32, 21, 22, 1, 13
2019/6/1, 55, 14, 6, 20, , 12
2019/6/2, 46, 10, 6, 15, , 9
2019/6/3, 48, 9, 7, 15, , 8
2019/6/4, 27, 7, 18, 12, , 4
2019/6/5, 28, 8, 15, 13, , 5
2019/6/6, 32, 15, 14, 16, 1, 7
2019/6/7, 38, 29, 23, 23, 1, 17
2019/6/8, 56, 32, 20, 26, 1, 17
2019/6/9, 77, 30, 33, 17, , 14
2019/6/10, 87, 25, 25, 24, 2, 11
2019/6/11, 55, 33, 20, 31, 1, 11
2019/6/12, 80, 38, 19, 34, 1, 20
2019/6/13, 75, 29, 16, 38, 1, 22
2019/6/14, 96, 40, 21, 31, 1, 20
