date, pm25, pm10, o3, no2, so2, co, aqi
2021/5/2, 28, 14, , 3, , , 
2021/5/3, 27, 9, , 4, , , 
2021/5/4, 23, 11, , 4, , , 
2021/5/5, 26, 11, , 6, , , 
2021/5/6, 33, 14, , 7, , 1, 
2021/5/7, 33, 21, , 8, , 1, 
2021/5/8, 42, 16, , 6, , 2, 
2021/5/9, 33, 10, , 4, , 1, 
2021/5/10, 29, 12, , 4, , , 
2021/5/11, 36, 10, , 4, , , 
2021/5/12, 28, 9, , 7, , , 
2021/5/13, 33, 10, , 5, , 1, 
2021/5/14, 27, 12, , 4, , , 
2021/5/15, 24, 12, , 3, , , 
2021/5/16, 25, 6, , 3, , , 
2021/5/17, 21, 11, , 7, , , 
2021/5/18, 31, 12, , 8, , 1, 
2021/5/19, 29, 14, , 7, , , 
2021/5/20, 28, 8, , 2, , 1, 
2021/5/21, 15, , , , , , 
2021/4/2, 35, 9, , 5, , , 
2021/4/3, 21, 10, , 4, , , 
2021/4/4, 23, 12, , 6, , 1, 
2021/4/5, 28, 12, , 3, , , 
2021/4/6, 27, 12, , 3, , , 
2021/4/7, 24, , , , , , 
2021/4/11, 44, 16, , 2, , , 
2021/4/12, 36, 15, , 3, , , 
2021/4/13, 34, 97, , 4, , , 
2021/4/14, 61, 17, , 4, , , 
2021/4/15, 40, 9, , 4, , , 
2021/4/16, 19, 11, , 6, , , 
2021/4/17, 25, 8, , 2, , , 
2021/4/18, 20, 5, , 3, , , 
2021/4/19, 23, 11, , 7, , 1, 
2021/4/20, 43, 11, , 6, , , 
2021/4/21, 31, 11, , 6, , , 
2021/4/22, 27, 10, , 4, , , 
2021/4/23, 38, 8, , 6, , , 
2021/4/24, 23, 9, , 4, , 1, 
2021/4/25, 31, 7, , 3, , , 
2021/4/26, 29, 5, , 3, , , 
2021/4/27, 23, 9, , 7, , , 
2021/4/28, 28, 14, , 9, , 1, 
2021/4/29, 37, 13, , 10, , 2, 
2021/4/30, 42, 15, , 8, , 1, 
2021/5/1, 39, 17, , 3, , , 
2021/3/2, 19, 29, , 2, , , 
2021/3/3, 29, 27, , 3, , , 
2021/3/4, 28, 13, , 5, , , 
2021/3/5, 21, 11, , 4, , , 
2021/3/6, 11, , , , , , 
2021/3/8, 47, 12, , 1, , , 
2021/3/9, 34, 13, , 3, , , 
2021/3/10, 13, 24, , 6, , 1, 
2021/3/11, 19, 25, , 8, , 1, 
2021/3/12, 37, 13, , 11, , 1, 
2021/3/13, 27, 14, , 3, , , 
2021/3/14, 30, 9, , 1, , , 
2021/3/15, 22, 8, , 4, , 1, 
2021/3/16, 12, 6, , 4, , , 
2021/3/17, 14, 13, , 6, , , 
2021/3/18, 32, 14, , 4, , , 
2021/3/19, 27, 14, , 3, , , 
2021/3/20, 29, 18, , 2, , , 
2021/3/21, 43, 11, , 1, , , 
2021/3/22, 27, 15, , 7, , 1, 
2021/3/23, 33, 15, , 7, , 1, 
2021/3/24, 32, 13, , 4, , , 
2021/3/25, 28, 13, , 4, , , 
2021/3/26, 23, 12, , 6, , , 
2021/3/27, 21, 11, , 2, , , 
2021/3/28, 20, 7, , 2, , , 
2021/3/29, 17, 7, , 5, , , 
2021/3/30, 17, 8, , 6, , , 
2021/3/31, 25, 19, , 10, , 1, 
2021/4/1, 44, 20, , 10, , , 
2021/2/2, 25, 13, , 2, , , 
2021/2/3, 25, 13, , 4, , , 
2021/2/4, 27, 12, , 5, , , 
2021/2/5, 25, 14, , 3, , , 
2021/2/6, 22, 9, , 1, , , 
2021/2/7, 18, 9, , 1, , , 
2021/2/8, 20, 12, , 3, , , 
2021/2/9, 32, 10, , 4, , , 
2021/2/10, 25, 11, , 8, , , 
2021/2/11, 19, 17, , 8, , 1, 
2021/2/12, 22, 17, , 3, , , 
2021/2/13, 33, 9, , 1, , , 
2021/2/14, 16, 8, , 1, , , 
2021/2/15, 17, 13, , 6, , , 
2021/2/16, 23, 14, , 8, , 1, 
2021/2/17, 29, 9, , 5, , , 
2021/2/18, 20, 8, , 4, , , 
2021/2/19, 18, 15, , 6, , 1, 
2021/2/20, 26, 17, , 3, , , 
2021/2/21, 37, 10, , 1, , , 
2021/2/22, 22, 12, , 2, , , 
2021/2/23, 25, 16, , 2, , , 
2021/2/24, 27, 10, , 3, , , 
2021/2/25, 24, 8, , 4, , , 
2021/2/26, 11, 9, , 4, , , 
2021/2/27, 21, 15, , 4, , , 
2021/2/28, 23, 14, , 3, , 1, 
2021/3/1, 24, 10, , 3, , , 
2021/1/5, 24, 13, , 2, , , 
2021/1/6, 23, 9, , 2, , , 
2021/1/7, 14, 14, , 3, , , 
2021/1/8, 26, 17, , 6, , , 
2021/1/9, 39, 15, , 5, , , 
2021/1/10, 31, 9, , 3, , , 
2021/1/11, 17, 18, , 5, , , 
2021/1/12, 24, 18, , 2, , , 
2021/1/13, 40, 22, , 6, , , 
2021/1/14, 40, 14, , 3, , , 
2021/1/15, 25, 15, , 2, , , 
2021/1/16, 28, 13, , 1, , , 
2021/1/17, 23, 4, , 1, , , 
2021/1/18, 11, 9, , 2, , , 
2021/1/19, 16, 11, , 3, , , 
2021/1/20, 26, 19, , 6, , , 
2021/1/21, 39, 13, , 9, , , 
2021/1/22, 28, 11, , 8, , 1, 
2021/1/23, 24, 9, , 6, , , 
2021/1/24, 16, 12, , 4, , , 
2021/1/25, 25, 22, , 7, , 3, 
2021/1/26, 48, 13, , 1, , , 
2021/1/27, 30, 12, , 2, , , 
2021/1/28, 33, 13, , 5, , , 
2021/1/29, 29, 16, , 5, , 1, 
2021/1/30, 26, 9, , 1, , , 
2021/1/31, 25, 6, , 1, , , 
2021/2/1, 19, 11, , 4, , , 
2020/10/2, 39, 15, , 5, , 1, 
2020/10/3, 27, 16, , 4, , , 
2020/10/4, 28, 12, , 3, , , 
2020/10/5, 30, 9, , 1, , , 
2020/10/6, 17, 9, , 2, , , 
2020/10/7, 18, 7, , 5, , 1, 
2020/10/8, 16, 13, , 3, , , 
2020/10/9, 27, 8, , 7, , , 
2020/10/10, 17, 9, , 1, , , 
2020/10/11, 26, 11, , 3, , , 
2020/10/12, 22, 11, , 9, , 1, 
2020/10/13, 24, 18, , 8, , 1, 
2020/10/14, 26, 15, , 9, , 1, 
2020/10/15, 29, 14, , 7, , , 
2020/10/16, 18, 8, , 7, , 1, 
2020/10/17, 21, 12, , 1, , , 
2020/10/18, 26, 7, , 1, , , 
2020/10/19, 13, 6, , 4, , , 
2020/10/20, 14, 9, , 6, , 1, 
2020/10/21, 18, 14, , 7, , 1, 
2020/10/22, 23, 12, , 5, , 1, 
2020/10/23, 22, 11, , 6, , , 
2020/10/24, 23, 11, , 1, , , 
2020/10/25, 19, 13, , 1, , , 
2020/10/26, 20, 11, , 3, , , 
2020/10/27, 18, 8, , 5, , , 
2020/10/28, 21, 10, , 7, , 1, 
2020/10/29, 28, 14, , 4, , , 
2020/10/30, 23, 9, , 4, , , 
2020/10/31, 21, 10, , 1, , , 
2020/11/1, 20, 9, , 3, , 1, 
2020/11/2, 19, 9, , 5, , , 
2020/11/3, 21, 17, , 7, , , 
2020/11/4, 25, 16, , 4, , , 
2020/11/5, 30, 13, , 4, , , 
2020/11/6, 20, 10, , 4, , , 
2020/11/7, 12, 10, , 1, , , 
2020/11/8, 20, 13, , 1, , , 
2020/11/9, 21, 12, , 8, , , 
2020/11/10, 17, 25, , 5, , 1, 
2020/11/11, 32, 29, , 5, , , 
2020/11/12, 38, 12, , 4, , , 
2020/11/13, 19, 9, , 5, , , 
2020/11/14, 15, 9, , 2, , , 
2020/11/15, 16, 25, , 3, , , 
2020/11/16, 32, 24, , 4, , , 
2020/11/17, 43, 14, , 6, , , 
2020/11/18, 23, 17, , 8, , , 
2020/11/19, 20, 22, , 5, , , 
2020/11/20, 32, 20, , 4, , , 
2020/11/21, 41, 20, , 3, , , 
2020/11/22, 37, 17, , 4, , 1, 
2020/11/23, 28, 17, , 4, , , 
2020/11/24, 39, 8, , 5, , , 
2020/11/25, 13, 11, , 7, , , 
2020/11/26, 21, 17, , 6, , 1, 
2020/11/27, 27, 24, , 11, , 1, 
2020/11/28, 33, 17, , 4, , , 
2020/11/29, 34, 14, , 1, , , 
2020/11/30, 34, 13, , 5, , , 
2020/12/1, 20, 24, , 3, , , 
2020/12/2, 36, 21, , 4, , , 
2020/12/3, 33, 19, , 6, , , 
2020/12/4, 27, 15, , 7, , , 
2020/12/5, 26, 22, , 2, , , 
2020/12/6, 42, 16, , 1, , , 
2020/12/7, 29, 15, , 2, , , 
2020/12/8, 26, 16, , 4, , , 
2020/12/9, 29, 14, , 6, , , 
2020/12/10, 25, 12, , 3, , , 
2020/12/11, 26, 14, , 3, , , 
2020/12/12, 24, 23, , 2, , , 
2020/12/13, 33, 16, , 2, , , 
2020/12/14, 21, 12, , 6, , 1, 
2020/12/15, 16, 18, , 6, , , 
2020/12/16, 36, 13, , 4, , , 
2020/12/17, 27, 9, , 3, , , 
2020/12/18, 27, 7, , 2, , , 
2020/12/19, 14, 5, , 1, , , 
2020/12/20, 13, 7, , 2, , , 
2020/12/21, 15, 9, , 4, , , 
2020/12/22, 23, 8, , 3, , , 
2020/12/23, 19, 8, , 3, , , 
2020/12/24, 18, 7, , 3, , , 
2020/12/25, 21, 8, , 1, , , 
2020/12/26, 25, 8, , 4, , , 
2020/12/27, 21, 13, , 1, , , 
2020/12/28, 28, 11, , 1, , , 
2020/12/29, 17, 6, , 2, , , 
2020/12/30, 11, 7, , 2, , , 
2020/12/31, 15, 7, , 1, , , 
2021/1/1, 21, 14, , 3, , , 
2021/1/2, 30, 12, , 1, , , 
2021/1/3, 24, 7, , 1, , , 
2021/1/4, 16, 12, , 2, , , 
2020/7/3, 20, 12, , 5, , 1, 
2020/7/4, 21, 9, , 4, , 1, 
2020/7/5, 15, 8, , 2, , 1, 
2020/7/6, 20, 10, , 4, , , 
2020/7/7, 20, 8, , 3, , , 
2020/7/8, 16, 8, , 5, , 1, 
2020/7/9, 19, 8, , 6, , 1, 
2020/7/10, 22, 11, , 6, , 1, 
2020/7/11, 12, 9, , 3, , 1, 
2020/7/12, 24, 12, , 4, , 1, 
2020/7/13, 25, 19, , 8, , 2, 
2020/7/14, 56, 16, , 9, , 3, 
2020/7/15, 49, 11, , 7, , 2, 
2020/7/16, 25, 19, , 7, , 2, 
2020/7/17, 36, 10, , 5, , 1, 
2020/7/18, 20, 11, , 3, , , 
2020/7/19, 14, 20, , 2, , 1, 
2020/7/20, 43, 13, , 7, , 2, 
2020/7/21, 28, 13, , 8, , 2, 
2020/7/22, 32, 9, , 10, , 1, 
2020/7/23, 26, 9, , 4, , 1, 
2020/7/24, 18, 7, , 5, , , 
2020/7/25, 17, 17, , 7, , 3, 
2020/7/26, 30, 15, , 7, , 3, 
2020/7/27, 39, 18, , 6, , 1, 
2020/7/28, 36, 23, , 7, , 1, 
2020/7/29, 49, 21, , 8, , 2, 
2020/7/30, 36, 12, , 9, , 2, 
2020/7/31, 39, 18, , 8, , 1, 
2020/8/1, 42, 14, , 4, , 1, 
2020/8/2, 26, 17, , 5, , 2, 
2020/8/3, 37, 18, , 8, , 2, 
2020/8/4, 47, 14, , 6, , , 
2020/8/5, 25, 17, , 4, , , 
2020/8/6, 25, 10, , 3, , , 
2020/8/7, 24, 7, , 5, , 1, 
2020/8/8, 16, 4, , 4, , , 
2020/8/9, 10, 2, , 1, , , 
2020/8/10, 11, 5, , 2, , , 
2020/8/11, 18, 22, , 3, , , 
2020/8/12, 22, 12, , 6, , 1, 
2020/8/13, 19, 10, , 6, , 1, 
2020/8/14, 15, 9, , 5, , , 
2020/8/15, 19, 6, , 3, , , 
2020/8/16, 23, 12, , 3, , 1, 
2020/8/17, 26, 8, , 6, , , 
2020/8/18, 21, 14, , 6, , , 
2020/8/19, 30, 16, , 5, , , 
2020/8/20, 38, 15, , 6, , , 
2020/8/21, 22, 13, , 4, , , 
2020/8/22, 33, 13, , 1, , , 
2020/8/23, 29, 10, , 1, , , 
2020/8/24, 18, 9, , 6, , 1, 
2020/8/25, 26, 12, , 5, , , 
2020/8/26, 26, 8, , 5, , , 
2020/8/27, 13, 12, , 4, , 1, 
2020/8/28, 18, 14, , 9, , 1, 
2020/8/29, 40, 7, , 2, , , 
2020/8/30, 16, 23, , 1, , , 
2020/8/31, 32, 17, , 6, , , 
2020/9/1, 21, 11, , 3, , , 
2020/9/2, 13, 21, , 7, , , 
2020/9/3, 31, 19, , 5, , , 
2020/9/4, 39, 21, , 3, , , 
2020/9/5, 32, 26, , 2, , 1, 
2020/9/6, 35, 10, , 2, , , 
2020/9/7, 19, 19, , 3, , , 
2020/9/8, 25, 27, , 8, , 1, 
2020/9/9, 42, 17, , 2, , , 
2020/9/10, 29, 16, , 1, , , 
2020/9/11, 14, 19, , 7, , 1, 
2020/9/12, 23, 20, , 4, , 1, 
2020/9/13, 22, 10, , 2, , , 
2020/9/14, 36, 9, , 4, , , 
2020/9/15, 28, 14, , 8, , 1, 
2020/9/16, 22, 11, , 8, , , 
2020/9/17, 18, 10, , 1, , , 
2020/9/18, 20, 10, , 2, , , 
2020/9/19, 15, 9, , 2, , , 
2020/9/20, 19, 13, , 1, , , 
2020/9/21, 20, 25, , 4, , , 
2020/9/22, 30, 15, , 5, , , 
2020/9/23, 30, 11, , 5, , , 
2020/9/24, 20, 8, , 5, , , 
2020/9/25, 17, 12, , 4, , , 
2020/9/26, 21, 10, , 2, , , 
2020/9/27, 19, 7, , 1, , , 
2020/9/28, 18, 5, , 2, , , 
2020/9/29, 12, 7, , 4, , 1, 
2020/9/30, 15, 15, , 6, , 1, 
2020/10/1, 27, 22, , 6, , 1, 
2020/4/2, 24, 11, , 8, , , 
2020/4/3, 22, 15, , 6, , 1, 
2020/4/4, 24, 14, , 1, , , 
2020/4/5, 22, 11, , 1, , , 
2020/4/6, 16, 8, , 5, , , 
2020/4/7, 15, 8, , 4, , , 
2020/4/8, 14, 7, , 3, , , 
2020/4/9, 17, 11, , 7, , 1, 
2020/4/10, 19, 11, , 4, , , 
2020/4/11, 27, 19, , 1, , , 
2020/4/12, 38, 20, , 1, , , 
2020/4/13, 32, 18, , 2, , , 
2020/4/14, 28, 19, , 7, , 1, 
2020/4/15, 33, 17, , 6, , , 
2020/4/16, 18, 21, , 3, , 1, 
2020/4/17, 31, 8, , 4, , , 
2020/4/18, 16, 6, , 2, , , 
2020/4/19, 12, 6, , 2, , , 
2020/4/20, 17, 32, , 4, , , 
2020/4/21, 43, 26, , 5, , , 
2020/4/22, 33, 24, , 6, , , 
2020/4/23, 39, 11, , 6, , 1, 
2020/4/24, 27, 18, , 6, , 1, 
2020/4/25, 32, 8, , 3, , , 
2020/4/26, 17, 13, , 1, , , 
2020/4/27, 27, 17, , 3, , , 
2020/4/28, 26, 7, , , , , 
2020/4/29, 13, 9, , , , , 
2020/4/30, 21, 8, , , , , 
2020/5/1, 21, 12, , 3, , , 
2020/5/2, 17, 11, , 1, , , 
2020/5/3, 22, 16, , 2, , , 
2020/5/4, 27, 9, , 5, , 1, 
2020/5/5, 24, 14, , 5, , , 
2020/5/6, 24, 10, , 3, , , 
2020/5/7, 15, 31, , 5, , , 
2020/5/8, 32, 15, , 5, , , 
2020/5/9, 23, 11, , 1, , , 
2020/5/10, 22, 13, , 3, , 1, 
2020/5/11, 28, 10, , 6, , 1, 
2020/5/12, 25, 11, , 4, , , 
2020/5/13, 21, 10, , 4, , , 
2020/5/14, 24, 8, , 5, , , 
2020/5/15, 20, 11, , 5, , , 
2020/5/16, 28, 13, , 3, , 1, 
2020/5/17, 33, 14, , 3, , 1, 
2020/5/18, 37, 10, , 6, , 1, 
2020/5/19, 20, 13, , 4, , , 
2020/5/20, 17, 14, , 6, , 1, 
2020/5/21, 24, 14, , 7, , , 
2020/5/22, 27, 13, , 7, , 2, 
2020/5/23, 21, 7, , 4, , , 
2020/5/24, 15, 6, , 1, , , 
2020/5/25, 24, 7, , 3, , , 
2020/5/26, 40, 7, , 3, , , 
2020/5/27, 23, 10, , 4, , 1, 
2020/5/28, 16, 13, , 7, , 2, 
2020/5/29, 35, 7, , 5, , , 
2020/5/30, 22, 20, , 1, , , 
2020/5/31, 14, 12, , 2, , 1, 
2020/6/1, 21, 14, , 7, , , 
2020/6/2, 30, 12, , 9, , 2, 
2020/6/3, 19, 19, , 4, , 1, 
2020/6/4, 42, 22, , 8, , 2, 
2020/6/5, 41, 17, , 7, , 1, 
2020/6/6, 41, 20, , 5, , 2, 
2020/6/7, 56, 10, , 4, , 2, 
2020/6/8, 47, 13, , 6, , 1, 
2020/6/9, 30, 15, , 8, , 1, 
2020/6/10, 36, 14, , 11, , 3, 
2020/6/11, 31, 16, , 9, , 2, 
2020/6/12, 35, 8, , 4, , 1, 
2020/6/13, 20, 10, , 3, , 1, 
2020/6/14, 26, 16, , 2, , , 
2020/6/15, 27, 15, , 5, , 1, 
2020/6/16, 29, 15, , 5, , 1, 
2020/6/17, 27, 12, , 4, , 1, 
2020/6/18, 28, 7, , 3, , , 
2020/6/19, 12, 10, , 8, , , 
2020/6/20, 22, 10, , 3, , 1, 
2020/6/21, 17, 14, , 2, , , 
2020/6/22, 21, 10, , 3, , , 
2020/6/23, 18, 8, , 8, , , 
2020/6/24, 14, 5, , 2, , 1, 
2020/6/25, 26, , , , , , 
2020/1/2, 65, 20, , 6, , 1, 71
2020/1/3, 47, 28, , 8, , 1, 63
2020/1/4, 56, 26, , 1, , , 63
2020/1/5, 44, 11, , 2, , , 38
2020/1/6, 24, 17, , 5, , , 
2020/1/7, 25, 31, , 7, , 3, 
2020/1/8, 58, 31, , 9, , 4, 
2020/1/9, 82, 33, , 11, , 3, 
2020/1/10, 54, 46, , 6, , 3, 
2020/1/11, 75, 19, , 1, , , 
2020/1/12, 27, 14, , 2, , , 
2020/1/13, 16, 12, , 10, , , 
2020/1/14, 22, 18, , 12, , 1, 
2020/1/15, 24, 28, , 6, , 1, 
2020/1/16, 51, 15, , 3, , , 
2020/1/17, 24, 19, , 2, , , 
