date, pm10, o3, no2, so2, co
2021/5/2, 11, 10, 13, , 
2021/5/3, 7, 11, 13, , 
2021/5/4, 6, 13, 13, , 
2021/5/5, 7, 10, 13, , 
2021/5/6, 8, 8, 13, 1, 
2021/5/7, 9, 10, 13, 1, 
2021/5/8, 12, 15, 13, , 
2021/5/9, 97, 14, 13, , 
2021/5/10, 71, 11, 13, , 
2021/5/11, 23, 10, 13, , 
2021/5/12, 39, 13, 13, , 
2021/5/13, 62, 13, 13, , 
2021/5/14, 65, 10, 13, 1, 
2021/5/15, 69, 12, 13, , 
2021/5/16, 59, 10, , , 
2021/5/17, 46, 8, , , 
2021/5/18, 33, 19, , 1, 
2021/5/19, 44, 7, , , 
2021/5/20, 81, 10, , , 
2021/5/21, 35, 11, , , 
2021/5/22, 29, , , , 
2021/4/2, 44, , , , 
2021/4/3, 31, , , , 
2021/4/4, 36, , , , 
2021/4/5, 42, , , , 
2021/4/6, 38, , , , 
2021/4/7, 50, , , , 
2021/4/8, 54, , , , 
2021/4/9, 24, , , , 
2021/4/10, 14, , , , 
2021/4/11, 41, , , , 
2021/4/12, 24, , , , 
2021/4/13, 21, , , , 
2021/4/14, 30, , , , 
2021/4/15, 35, , , , 
2021/4/17, 29, , , , 
2021/4/18, 13, , , , 
2021/4/19, 7, , , , 
2021/4/20, 9, , , , 
2021/4/21, 10, , , , 
2021/4/22, 8, 10, 13, 3, 
2021/4/23, 7, 6, 13, , 
2021/4/24, 8, 10, 13, , 
2021/4/25, 6, 16, 13, , 
2021/4/26, 4, 11, 13, , 
2021/4/27, 9, 13, 13, , 
2021/4/28, 8, 11, 13, , 
2021/4/29, 9, 14, 13, , 
2021/4/30, 13, 13, 13, , 
2021/5/1, 14, 14, 13, , 
2021/3/2, 38, , , , 
2021/3/3, 42, , , , 
2021/3/4, 51, , , , 
2021/3/5, 51, , , , 
2021/3/6, 11, , , , 
2021/3/7, 22, , , , 
2021/3/8, 42, , , , 
2021/3/9, 45, , , , 
2021/3/10, 41, , , , 
2021/3/11, 105, , , , 
2021/3/12, 96, , , , 
2021/3/13, 41, , , , 
2021/3/14, 46, , , , 
2021/3/15, 26, , , , 
2021/3/16, 21, , , , 
2021/3/17, 27, , , , 
2021/3/18, 24, , , , 
2021/3/19, 19, , , , 
2021/3/20, 36, , , , 
2021/3/21, 45, , , , 
2021/3/23, 45, , , , 
2021/3/24, 56, , , , 
2021/3/25, 63, , , , 
2021/3/26, 40, , , , 
2021/3/27, 17, , , , 
2021/3/28, 17, , , , 
2021/3/29, 19, , , , 
2021/3/30, 23, , , , 
2021/3/31, 43, , , , 
2021/4/1, 47, , , , 
2021/2/2, 23, , , , 
2021/2/4, 32, , , , 
2021/2/5, 38, , , , 
2021/2/6, 49, , , , 
2021/2/7, 52, , , , 
2021/2/9, 12, , , , 
2021/2/10, 24, , , , 
2021/2/11, 33, , , , 
2021/2/12, 32, , , , 
2021/2/13, 41, , , , 
2021/2/14, 38, , , , 
2021/2/15, 18, , , , 
2021/2/16, 15, , , , 
2021/2/18, 38, , , , 
2021/2/19, 49, , , , 
2021/2/20, 77, , , , 
2021/2/21, 63, , , , 
2021/2/22, 39, , , , 
2021/2/23, 54, , , , 
2021/2/24, 38, , , , 
2021/2/25, 53, , , , 
2021/2/26, 62, , , , 
2021/2/27, 82, , , , 
2021/2/28, 83, , , , 
2021/3/1, 42, , , , 
2021/1/5, 42, 13, 13, 2, 
2021/1/6, 11, 12, 13, 1, 
2021/1/7, 11, 12, 13, 1, 
2021/1/8, 10, 9, 13, 1, 
2021/1/15, 39, 17, 13, , 
2021/1/16, 40, 10, 13, , 
2021/1/17, 23, 11, 13, , 
2021/1/18, 13, 16, 13, , 
2021/1/19, 24, 23, , , 
2021/1/20, 44, 23, 13, , 
2021/1/21, 58, , , , 
2021/1/22, 54, , , , 
2021/1/23, 70, , , , 
2021/1/24, 59, , , , 
2021/1/25, 47, , , , 
2021/1/27, 52, , , , 
2021/1/28, 42, , , , 
2021/1/29, 42, , , , 
2021/1/30, 46, , , , 
2021/1/31, 45, , , , 
2021/2/1, 30, , , , 
2020/10/2, 28, 17, 13, , 
2020/10/3, 25, 17, 13, 1, 
2020/10/4, 20, 15, 13, , 
2020/10/5, 14, 15, 13, , 
2020/10/6, 9, 19, 13, 1, 
2020/10/7, 24, 15, 13, 2, 
2020/10/8, 30, 17, 13, 1, 
2020/10/9, 35, 16, 13, 1, 
2020/10/10, 39, 17, 13, 1, 
2020/10/11, 54, 17, 13, , 
2020/10/12, 38, 17, 13, 1, 
2020/10/13, 8, 20, 13, 1, 
2020/10/14, 22, 18, 13, 1, 
2020/10/15, 70, 18, 13, , 
