date, pm25, pm10, o3, no2, so2, co
2021/5/2, 57, 55, 11, 2, , 9
2021/5/3, 57, 34, 11, 2, 1, 11
2021/5/4, 57, 48, 12, 2, 1, 9
2021/5/5, 57, 50, 16, 2, 1, 7
2021/5/6, 57, 44, 15, 2, 1, 8
2021/5/7, 57, 41, 12, 10, 1, 4
2021/5/8, 74, 53, 11, 25, 2, 12
2021/5/9, 92, 51, 12, 25, 1, 7
2021/5/10, 84, 53, 11, 22, , 8
2021/5/11, 88, 58, 9, 21, 1, 12
2021/5/12, 106, 55, 10, 21, 1, 9
2021/5/13, 96, 46, 7, 21, 2, 11
2021/5/14, 66, 39, 8, 21, 2, 7
2021/5/15, 45, 31, 7, 21, 1, 7
2021/5/16, 15, 32, 6, 21, 2, 4
2021/5/17, 15, 38, 6, 21, 2, 10
2021/5/18, 42, 40, 4, 21, 2, 14
2021/5/19, 48, 34, 5, 21, 2, 6
2021/5/20, 26, , , , , 
2021/4/2, 105, 65, 23, 28, 1, 11
2021/4/3, 99, 76, 22, 20, 1, 12
2021/4/4, 101, 79, 19, 24, 2, 13
2021/4/5, 109, 81, 26, 13, 1, 9
2021/4/6, 119, 75, 31, 8, 1, 11
2021/4/7, 111, 72, 27, 14, 1, 9
2021/4/8, 103, 75, 32, 12, 2, 22
2021/4/9, 106, 75, 30, 12, 1, 11
2021/4/10, 107, 74, 32, 11, , 14
2021/4/11, 112, 59, 20, 9, 1, 11
2021/4/12, 98, 51, 12, 8, 1, 12
2021/4/13, 85, 46, 11, 7, 1, 10
2021/4/14, 81, 47, 12, 10, 1, 12
2021/4/15, 84, 35, 19, 14, 1, 21
2021/4/16, 74, 42, 19, 16, 2, 8
2021/4/17, 68, 52, 23, 16, , 6
2021/4/18, 57, 56, 25, 8, 1, 8
2021/4/19, 57, 56, 19, 16, 1, 12
2021/4/20, 57, 57, 26, 15, 1, 9
2021/4/21, 57, 61, 25, 15, , 10
2021/4/22, 57, 57, 21, 14, 1, 9
2021/4/23, 57, 46, 21, 14, 1, 10
2021/4/24, 57, 41, 18, 10, , 13
2021/4/25, 57, 57, 14, 8, 1, 8
2021/4/26, 57, 63, 21, 3, , 5
2021/4/27, 57, 68, 24, 2, , 11
2021/4/28, 57, 72, 24, 2, 1, 10
2021/4/29, 57, 67, 24, 2, 1, 6
2021/4/30, 57, 59, 23, 2, , 8
2021/5/1, 57, 61, 21, 2, 1, 10
2021/3/2, 90, 63, 26, 15, 1, 7
2021/3/3, 98, 67, 29, 10, 1, 13
2021/3/4, 93, 71, 23, 24, 1, 10
2021/3/5, 88, 62, 19, 17, 1, 10
2021/3/6, 81, 54, 21, 28, 1, 10
2021/3/7, 83, 58, 28, 20, 1, 9
2021/3/8, 87, 58, 18, 15, 2, 6
2021/3/9, 79, 51, 18, 13, 1, 7
2021/3/10, 78, 44, 17, 14, 1, 7
2021/3/11, 73, 39, 18, 12, 2, 9
2021/3/12, 74, 45, 20, 15, 2, 11
2021/3/13, 82, 52, 27, 14, , 9
2021/3/14, 77, 54, 26, 13, 2, 6
2021/3/15, 80, 53, 29, 17, 1, 9
2021/3/16, 79, 55, 28, 17, 1, 8
2021/3/17, 86, 59, 28, 20, 2, 7
2021/3/18, 94, 65, 31, 17, 1, 9
2021/3/19, 95, 70, 30, 21, 2, 10
2021/3/20, 93, 70, 30, 17, 2, 14
2021/3/21, 92, 66, 28, 19, 2, 12
2021/3/22, 92, 67, 23, 15, 2, 11
2021/3/23, 88, 67, 25, 16, 1, 10
2021/3/24, 88, 64, 17, 17, 2, 12
2021/3/25, 98, 68, 18, 15, 1, 12
2021/3/26, 94, 73, 28, 17, 2, 11
2021/3/27, 101, 75, 34, 15, 1, 10
2021/3/28, 100, 77, 29, 14, , 12
2021/3/29, 100, 73, 28, 16, 1, 9
2021/3/30, 103, 73, 21, 27, , 14
2021/3/31, 108, 62, 24, 33, 1, 18
2021/4/1, 119, 41, 18, 25, 1, 11
2021/2/2, 78, 18, 23, 11, 3, 6
2021/2/3, 117, 1, 26, 8, 1, 1
2021/2/4, 127, 24, 24, 15, 1, 1
2021/2/5, 120, 95, 26, 11, 1, 11
2021/2/6, 114, 123, 26, 14, 1, 6
2021/2/7, 118, 138, 25, 20, 1, 8
2021/2/8, 104, 117, 26, 23, 1, 12
2021/2/9, 100, 101, 25, 21, 1, 13
2021/2/10, 115, 114, 24, 20, 1, 10
2021/2/11, 91, 111, 24, 14, 1, 9
2021/2/12, 92, 102, 24, 12, 1, 6
2021/2/13, 87, 98, 24, 24, 1, 9
2021/2/14, 89, 99, 35, 27, 1, 12
2021/2/15, 149, 104, 32, 19, 1, 21
2021/2/16, 86, 104, 32, 26, 1, 10
2021/2/17, 91, 102, 30, 17, 1, 8
2021/2/18, 90, 101, 33, 11, 1, 7
2021/2/19, 90, 94, 21, 12, 1, 18
2021/2/20, 106, 82, 17, 9, 1, 11
2021/2/21, 87, 70, 15, 7, , 8
2021/2/22, 74, 59, 13, 12, 1, 10
2021/2/23, 69, 70, 24, 7, 1, 12
2021/2/24, 74, 203, 27, 12, 1, 9
2021/2/25, 86, 191, 26, 32, 1, 16
2021/2/26, 89, 71, 28, 21, 1, 16
2021/2/27, 100, 77, 29, 23, 1, 14
2021/2/28, 96, 73, 30, 17, , 4
2021/3/1, 88, 67, 30, 13, 1, 15
2021/1/5, 88, 12, 26, 2, 3, 7
2021/1/6, 83, 19, 17, 7, 3, 7
2021/1/7, 72, 19, 12, 6, 3, 7
2021/1/8, 70, 18, 17, 6, 3, 8
2021/1/9, 63, 19, 12, 5, 3, 5
2021/1/10, 63, 20, 20, 7, 3, 7
2021/1/11, 63, 19, 19, 10, 3, 6
2021/1/12, 63, 19, 21, 13, 3, 7
2021/1/13, 63, 19, 26, 12, 3, 7
2021/1/14, 63, 19, 21, 9, 3, 6
2021/1/15, 63, 19, 33, 6, 3, 7
2021/1/16, 63, , 43, 3, 3, 8
2021/1/17, 63, , 48, 8, 3, 6
2021/1/18, 63, , 40, 7, 3, 6
2021/1/19, 63, , 43, 12, 3, 6
2021/1/20, 63, 20, 43, 11, 3, 7
2021/1/21, 58, 19, 45, 15, 3, 8
2021/1/22, 71, 36, 48, 11, 3, 7
2021/1/23, 77, 69, 41, 11, 2, 7
2021/1/24, 82, 69, 22, 14, 1, 6
2021/1/25, 82, 64, 17, 12, 3, 10
2021/1/26, 81, 66, 19, 16, 1, 7
2021/1/27, 78, 67, 22, 13, 2, 6
2021/1/28, 73, 67, 20, 9, 1, 8
2021/1/29, 87, 71, 23, , 1, 7
2021/1/30, 41, 69, 20, 8, 1, 9
2021/1/31, 43, 64, 25, 10, 2, 8
2021/2/1, 47, 51, 20, 11, 2, 10
2020/10/2, 71, , 4, 4, 3, 7
2020/10/3, 72, , 3, 4, 3, 6
2020/10/4, 71, , 2, 4, 3, 7
2020/10/5, 71, , 3, 4, 3, 8
2020/10/6, 71, , 5, 4, 3, 14
2020/10/7, 71, , 5, 4, 3, 8
2020/10/8, 71, , 5, 3, 3, 9
2020/10/9, 71, , 5, 3, 3, 8
2020/10/10, 71, , 4, 3, 3, 7
2020/10/11, 71, , 4, 4, 3, 7
2020/10/12, 72, , 4, 4, 3, 5
2020/10/13, 72, , 6, 4, 3, 6
2020/10/14, 71, , 5, 4, 3, 6
2020/10/15, 71, , 4, 4, 3, 5
2020/10/16, 71, , 7, 3, 3, 8
2020/10/17, 71, , 6, 3, 3, 7
2020/10/18, 71, , 3, 3, 3, 8
2020/10/19, 72, , 1, 3, 3, 12
2020/10/20, 58, , 2, 8, 3, 10
2020/10/21, 70, , 3, 6, 3, 11
2020/10/22, 67, , 3, 5, 3, 7
2020/10/23, 63, , 6, 4, 3, 9
2020/10/24, 61, , 5, 4, 3, 7
2020/10/25, 66, , 11, 4, 3, 8
2020/10/26, 69, , 14, 4, 3, 10
2020/10/27, 79, , 20, 4, 3, 8
2020/10/28, 88, , 24, 4, 3, 8
2020/10/29, 83, , 32, 4, 3, 7
2020/10/30, 83, , 39, 4, 3, 7
2020/10/31, 75, , 43, 4, 3, 8
2020/11/1, 82, , 43, 4, 3, 8
2020/11/2, 76, , 31, 4, 3, 9
2020/11/3, 76, , 35, 4, 3, 7
2020/11/4, 68, , 20, 4, 3, 7
2020/11/5, 66, , 17, 3, 3, 7
2020/11/6, 61, , 8, 3, 3, 6
2020/11/7, 58, , 6, 3, 3, 7
2020/11/8, 59, , 28, 4, 3, 7
2020/11/9, 61, , 29, 4, 3, 7
