date, pm25, pm10, o3, so2, co
2021/5/2, 45, 16, 18, 2, 
2021/5/3, 47, 16, 9, 3, 
2021/5/4, 47, 8, 11, , 
2021/5/5, 29, 11, 13, , 
2021/5/6, 37, 15, 11, , 
2021/5/7, 48, 35, 14, 1, 
2021/5/8, 96, 14, 19, 3, 
2021/5/9, 43, 4, 13, , 
2021/5/10, 19, 21, 10, , 
2021/5/11, 62, 19, 12, , 
2021/5/12, 58, 37, 10, 4, 
2021/5/13, 95, 23, 9, 4, 
2021/5/14, 67, 27, 16, 5, 
2021/5/15, 79, 50, 12, 4, 
2021/5/16, 115, 15, 15, 2, 
2021/5/17, 47, 30, 11, 1, 
2021/5/18, 82, 6, 17, 1, 
2021/5/19, 21, 8, 16, , 
2021/5/20, 29, 7, 15, , 
2021/5/21, 24, 8, 14, , 
2021/5/22, 29, , , , 
2021/4/2, 24, 7, 14, , 
2021/4/3, 27, 7, 16, , 
2021/4/4, 26, 6, 15, , 
2021/4/5, 19, 11, 15, , 
2021/4/6, 34, 14, 16, , 
2021/4/7, 43, 13, 15, , 
2021/4/8, 34, 13, 13, , 
2021/4/9, 35, 8, 9, , 
2021/4/10, 27, 6, 14, , 
2021/4/11, 25, 1, 12, , 
2021/4/12, 48, 28, 17, , 
2021/4/13, 30, 23, 19, , 
2021/4/14, 9, 12, 16, , 
2021/4/17, 72, 52, 23, , 
2021/4/18, 15, 8, 14, , 
2021/4/19, 30, 10, 14, , 
2021/4/20, 26, 8, 14, , 
2021/4/21, 80, 12, 13, , 
2021/4/22, 40, 9, 12, , 
2021/4/23, 31, 7, 15, , 
2021/4/24, 23, 6, 11, , 
2021/4/25, 20, 7, 13, , 
2021/4/26, 25, 12, 14, , 
2021/4/27, 42, 26, 13, , 
2021/4/28, 72, 14, 17, , 
2021/4/29, 43, 18, 13, , 
2021/4/30, 52, 8, 16, , 
2021/5/1, 28, 15, 19, 1, 
2021/3/2, 32, 10, 14, , 
2021/3/3, 31, 12, 11, , 
2021/3/4, 36, 8, 11, , 
2021/3/5, 27, 18, 13, , 
2021/3/6, 52, 12, 6, , 
2021/3/7, 38, 13, 22, , 
2021/3/8, 36, 35, 33, , 
