date, pm25, pm10, o3, no2, so2, co
2021/5/2, 60, 30, 45, 17, 2, 3
2021/5/3, 57, 28, 48, 27, 3, 3
2021/5/4, 58, 33, 44, 28, 3, 3
2021/5/5, 60, 44, 48, 14, 3, 2
2021/5/6, 58, 57, 50, 32, 2, 3
2021/5/7, 73, 53, 42, 23, 3, 3
2021/5/8, 72, 146, 64, 26, 3, 3
2021/5/9, 155, 91, 57, 20, 2, 3
2021/5/10, 106, 39, 46, 30, 3, 2
2021/5/11, 63, 29, 51, 22, 4, 3
2021/5/12, 62, 36, 43, 20, 4, 3
2021/5/13, 61, 38, 48, 30, 7, 4
2021/5/14, 61, 32, 47, 34, 5, 3
2021/5/15, 63, 23, 34, 28, 3, 3
2021/5/16, 50, 18, 29, 18, 4, 2
2021/5/17, 34, 24, 34, 30, 4, 3
2021/5/18, 48, 23, 33, 32, 4, 4
2021/5/19, 51, 47, 75, 34, 4, 4
2021/5/20, 95, 29, 33, 34, 4, 4
2021/5/21, 68, 26, 53, 22, 3, 3
2021/5/22, 53, , , , , 
2021/4/2, 72, 51, 44, 24, 6, 3
2021/4/3, 74, 50, 39, 31, 4, 4
2021/4/4, 78, 22, 38, 14, 2, 3
2021/4/5, 48, 28, 42, 19, 3, 2
2021/4/6, 55, 39, 49, 34, 3, 4
2021/4/7, 69, 48, 57, 29, 3, 4
2021/4/8, 80, 50, 57, 30, 3, 3
2021/4/9, 78, 36, 39, 22, 2, 3
2021/4/10, 58, 23, 41, 18, 3, 2
2021/4/11, 42, 26, 45, 18, 4, 2
2021/4/12, 53, 31, 40, 27, 2, 3
2021/4/13, 62, 22, 43, 16, 1, 2
2021/4/14, 45, 37, 46, 20, 1, 3
2021/4/15, 64, 40, 57, 32, 3, 4
2021/4/16, 74, 43, 42, 33, 3, 3
2021/4/17, 75, 61, 46, 19, 3, 3
2021/4/18, 81, 36, 42, 14, 1, 2
2021/4/19, 56, 48, 60, 27, 3, 3
2021/4/20, 70, 55, 74, 35, 5, 3
2021/4/21, 91, 60, 82, 41, 4, 4
2021/4/22, 98, 54, 68, 25, 6, 3
2021/4/23, 82, 42, 49, 18, 4, 2
2021/4/24, 58, 35, 48, 19, 3, 3
2021/4/25, 60, 36, 47, 17, 4, 3
2021/4/26, 62, 25, 49, 21, 3, 3
2021/4/27, 49, 38, 42, 31, 4, 3
2021/4/28, 65, 41, 44, 28, 3, 2
2021/4/29, 66, 61, 63, 34, 4, 3
2021/4/30, 89, 68, 68, 25, 3, 3
2021/5/1, 91, 30, 44, 18, 1, 3
2021/3/2, 70, 18, 31, 21, 4, 4
2021/3/3, 46, 32, 35, 28, 5, 5
2021/3/4, 67, 41, 34, 36, 5, 5
2021/3/5, 68, 40, 33, 31, 6, 5
2021/3/6, 92, 38, 36, 23, 4, 4
2021/3/7, 78, 28, 35, 16, 5, 4
2021/3/8, 56, 35, 36, 28, 5, 4
2021/3/9, 72, 39, 37, 34, 4, 4
2021/3/10, 78, 55, 41, 31, 5, 5
2021/3/11, 107, 47, 44, 36, 6, 5
2021/3/12, 72, 25, 41, 28, 3, 4
2021/3/13, 60, 50, 50, 22, 4, 4
2021/3/14, 96, 52, 50, 21, 3, 5
2021/3/15, 106, 56, 47, 30, 4, 5
2021/3/16, 124, 59, 44, 25, 5, 4
2021/3/17, 90, 76, 39, 23, 6, 4
2021/3/18, 78, 64, 42, 19, 6, 4
2021/3/19, 69, 43, 41, 19, 6, 4
2021/3/20, 61, 28, 37, 25, 5, 4
2021/3/21, 56, 37, 41, 13, 3, 5
2021/3/22, 76, 41, 38, 16, 4, 3
2021/3/23, 70, 72, 50, 27, 5, 5
2021/3/24, 88, 66, 46, 30, 5, 4
2021/3/25, 86, 52, 75, 35, 4, 4
2021/3/26, 83, 63, 73, 46, 4, 5
2021/3/27, 115, 54, 45, 30, 5, 4
2021/3/28, 76, 30, 50, 16, 4, 4
2021/3/29, 58, 427, 50, 24, 5, 5
2021/3/30, 180, 159, 43, 25, 3, 3
2021/3/31, 108, 68, 57, 29, 3, 4
2021/4/1, 78, 63, 45, 17, 4, 3
2021/2/2, 93, 49, 33, 17, 4, 4
2021/2/3, 95, 36, 28, 24, 4, 4
2021/2/4, 70, 45, 34, 28, 5, 4
2021/2/5, 83, 39, 31, 36, 7, 5
2021/2/6, 77, 54, 37, 43, 6, 7
2021/2/7, 103, 67, 43, 32, 5, 6
2021/2/8, 141, 37, 34, 20, 3, 4
2021/2/9, 73, 34, 27, 25, 5, 4
2021/2/10, 62, 50, 41, 39, 6, 5
2021/2/11, 94, 56, 43, 35, 5, 6
2021/2/12, 116, 53, 42, 35, 5, 5
2021/2/13, 117, 50, 63, 45, 6, 6
2021/2/14, 109, 51, 34, 38, 4, 6
2021/2/15, 110, 40, 37, 23, 4, 5
2021/2/16, 82, 31, 34, 18, 4, 4
2021/2/17, 62, 34, 31, 14, 4, 3
2021/2/18, 67, 37, 28, 16, 6, 4
2021/2/19, 71, 47, 43, 25, 5, 4
2021/2/20, 89, 57, 55, 28, 5, 5
2021/2/21, 101, 56, 50, 23, 5, 4
2021/2/22, 109, 50, 47, 29, 6, 4
2021/2/23, 87, 38, 36, 29, 4, 4
2021/2/24, 68, 39, 33, 31, 4, 4
2021/2/25, 76, 43, 32, 31, 5, 4
2021/2/26, 86, 27, 37, 18, 5, 3
2021/2/27, 61, 30, 38, 14, 5, 4
2021/2/28, 60, 31, 36, 21, 5, 4
2021/3/1, 63, 37, 33, 29, 6, 6
2021/1/5, 93, 53, 25, 34, 4, 5
2021/1/6, 113, 33, 28, 19, 6, 4
2021/1/7, 64, 46, 26, 10, 7, 4
2021/1/8, 63, 27, 24, 13, 6, 4
2021/1/9, 60, 25, 26, 15, 6, 4
2021/1/10, 63, 24, 26, 20, 4, 5
2021/1/11, 64, 29, 25, 37, 4, 4
2021/1/12, 89, 40, 28, 35, 5, 5
2021/1/13, 94, 83, 38, 40, 8, 6
2021/1/14, 117, 74, 33, 47, 7, 7
2021/1/15, 111, 63, 37, 49, 6, 6
2021/1/16, 93, 70, 32, 21, 4, 5
2021/1/17, 111, 33, 31, 13, 2, 3
2021/1/18, 57, 51, 29, 27, 4, 4
2021/1/19, 95, 38, 28, 29, 6, 4
2021/1/20, 71, 47, 27, 49, 6, 5
2021/1/21, 83, 51, 26, 54, 6, 7
2021/1/22, 102, 48, 30, 46, 6, 7
2021/1/23, 113, 29, 40, 16, 3, 4
2021/1/24, 62, 28, 41, 17, 4, 3
2021/1/25, 61, 26, 34, 23, 5, 4
2021/1/26, 53, 25, 38, 28, 5, 4
2021/1/27, 60, 38, 31, 29, 4, 5
2021/1/28, 80, 50, 34, 29, 4, 5
2021/1/29, 84, 37, 32, 16, 4, 3
2021/1/30, 62, 65, 34, 31, 4, 5
2021/1/31, 89, 59, 42, 42, 4, 6
2021/2/1, 110, 47, 38, 38, 4, 5
2020/10/2, 48, 22, 42, 13, 4, 4
2020/10/3, 57, 37, 79, 20, 6, 4
2020/10/4, 82, 32, 64, 16, 5, 4
2020/10/5, 73, 37, 33, 17, 3, 3
2020/10/6, 54, 28, 36, 19, 5, 4
2020/10/7, 52, 19, 33, 11, 5, 4
2020/10/8, 43, 33, 37, 11, 5, 3
2020/10/9, 44, 29, 40, 7, 5, 4
2020/10/10, 43, 29, 41, 15, 4, 4
2020/10/11, 55, 28, 38, 16, 5, 3
2020/10/12, 59, 38, 52, 30, 6, 4
2020/10/13, 76, 42, 41, 34, 5, 5
