date, pm25, pm10
2021/5/4, 16, 9
2021/5/5, 23, 7
2021/5/6, 18, 9
2021/5/7, 26, 11
2021/5/8, 33, 11
2021/5/9, 31, 12
2021/5/10, 38, 7
2021/5/11, 19, 11
2021/5/12, 32, 14
2021/5/13, 30, 12
2021/5/14, 26, 7
2021/5/15, 14, 7
2021/5/16, 18, 10
2021/5/17, 34, 14
2021/5/18, 37, 12
2021/5/19, 30, 13
2021/5/20, 40, 16
2021/5/21, 50, 16
2021/5/22, 53, 
2021/4/5, 20, 9
2021/4/6, 22, 7
2021/4/7, 13, 12
2021/4/8, 27, 11
2021/4/9, 26, 9
2021/4/10, 17, 8
2021/4/11, 15, 8
2021/4/12, 11, 5
2021/4/13, 9, 8
2021/4/14, 13, 9
2021/4/15, 22, 7
2021/4/16, 18, 6
2021/4/17, 13, 9
2021/4/18, 28, 10
2021/4/19, 33, 10
2021/4/20, 30, 5
2021/4/21, 10, 7
2021/4/22, 15, 13
2021/4/23, 33, 24
2021/4/24, 67, 22
2021/4/25, 62, 30
2021/4/26, 81, 43
2021/4/27, 110, 87
2021/4/28, 189, 20
2021/4/29, 59, 17
2021/4/30, 53, 8
2021/5/1, 11, 
2021/3/2, 10, 6
2021/3/3, 13, 9
2021/3/4, 19, 6
2021/3/5, 16, 6
2021/3/6, 14, 6
2021/3/7, 18, 4
2021/3/8, 10, 4
2021/3/9, 10, 5
2021/3/10, 10, 16
2021/3/11, 24, 20
2021/3/12, 27, 7
2021/3/13, 12, 10
2021/3/14, 15, 6
2021/3/15, 9, 7
2021/3/16, 12, 10
2021/3/17, 17, 13
2021/3/18, 24, 10
2021/3/19, 18, 11
2021/3/20, 25, 14
2021/3/21, 29, 11
2021/3/22, 25, 9
2021/3/23, 16, 11
2021/3/24, 14, 6
2021/3/25, 7, 5
2021/3/26, 8, 6
2021/3/27, 10, 7
2021/3/28, 13, 7
2021/3/29, 17, 14
2021/3/30, 33, 12
2021/3/31, 25, 9
2021/4/1, 17, 
2021/2/2, 18, 12
2021/2/3, 21, 15
2021/2/4, 25, 14
