date, pm25, pm10, o3, no2, so2, co
2021/5/2, 56, 15, 7, 5, 3, 4
2021/5/3, 34, 20, 5, 5, 3, 6
2021/5/4, 47, 20, 6, 5, 3, 6
2021/5/5, 49, 21, 8, 5, 3, 8
2021/5/6, 46, 19, 5, 5, 2, 9
2021/5/7, 46, 19, 6, 5, 2, 10
2021/5/8, 57, 26, 7, 5, 3, 11
2021/5/9, 54, 20, 7, 5, 2, 12
2021/5/10, 36, 17, 9, 5, , 8
2021/5/11, 57, 22, 1, 6, , 6
2021/5/12, 45, 26, 1, 5, , 9
2021/5/13, 45, 25, 2, 5, , 8
2021/5/14, 46, 23, 1, 6, 2, 9
2021/5/15, 47, 30, 1, 6, 2, 10
2021/5/16, 47, 26, , 6, 2, 12
2021/5/17, 34, 28, 2, 5, 3, 7
2021/5/18, 52, 37, 2, 5, 2, 10
2021/5/19, 56, 26, 2, 5, 2, 8
2021/5/20, 43, 25, 2, 5, 4, 8
2021/5/21, 48, , , , , 
2021/4/2, 79, 75, , 5, 7, 14
2021/4/3, 132, 61, , 5, 2, 15
2021/4/4, 82, 53, , 5, , 10
2021/4/5, 71, 53, , 5, , 13
2021/4/6, 85, 49, , 5, 1, 13
2021/4/7, 64, 56, , 5, 1, 12
2021/4/8, 92, 62, , 5, 1, 11
2021/4/9, 100, 57, , 5, 1, 6
2021/4/10, 98, 50, , 5, 3, 11
2021/4/11, 69, 46, , 5, 5, 7
2021/4/12, 61, 36, , 5, 5, 7
2021/4/13, 73, 56, , 6, 5, 14
2021/4/14, 66, 43, , 5, 7, 12
2021/4/15, 64, 24, , 5, 5, 9
2021/4/16, 62, 34, , 5, 6, 9
2021/4/17, 74, 36, , 5, 4, 11
2021/4/18, 71, 47, , 5, 3, 8
2021/4/19, 48, 44, , 4, 2, 13
2021/4/20, 73, 43, , 5, 1, 12
2021/4/21, 89, 38, , 5, 1, 11
2021/4/22, 79, 35, , 5, , 8
2021/4/23, 70, 39, , 5, , 9
2021/4/24, 73, 38, , 5, , 8
2021/4/25, 69, 37, , 5, 1, 9
2021/4/26, 64, 52, 8, 5, 1, 12
2021/4/27, 92, 43, 13, 5, 2, 12
2021/4/28, 74, 47, 19, 5, 4, 8
2021/4/29, 74, 43, 16, 5, 4, 12
2021/4/30, 77, 34, 10, 5, 5, 5
2021/5/1, 69, 25, 10, 5, 4, 10
2021/3/2, 75, , , 5, 2, 4
2021/3/3, 88, , , 5, 5, 3
2021/3/4, 104, , , 5, 1, 3
2021/3/5, 97, , , 5, 10, 5
2021/3/6, 106, , , 5, 3, 8
2021/3/7, 82, , , 5, 2, 8
2021/3/8, 84, , , 5, 8, 8
2021/3/9, 90, , , 5, 7, 9
2021/3/10, 69, , , 5, 2, 9
2021/3/11, 76, , , 5, , 8
2021/3/12, 85, , , 5, 1, 8
2021/3/13, 74, , , 5, 19, 8
2021/3/14, 80, , , 5, 6, 8
2021/3/15, 84, , , 5, 21, 9
2021/3/16, 95, 91, , 5, 6, 7
2021/3/17, 112, 65, , 5, 1, 8
2021/3/18, 93, 68, , 5, 10, 7
2021/3/19, 114, 75, , 2, 15, 9
2021/3/20, 140, 65, , , 4, 5
2021/3/21, 132, 59, , , 7, 7
2021/3/22, 108, 61, , , 1, 11
2021/3/23, 127, 76, , , 9, 8
2021/3/24, 125, 78, , , 16, 6
2021/3/25, 125, 76, , , , 15
2021/3/26, 125, 69, , , , 12
2021/3/27, 119, 56, , , , 10
2021/3/28, 99, 53, , , 1, 11
2021/3/29, 85, 43, , 1, 1, 12
2021/3/30, 78, 46, , 5, 2, 13
2021/3/31, 80, 50, , 5, 2, 13
2021/4/1, 79, 48, , 5, 1, 13
2021/2/2, 99, , , 3, 7, 10
2021/2/3, 120, , , 3, 6, 10
2021/2/4, 100, , , 3, 4, 8
2021/2/5, 98, , , 3, 4, 10
2021/2/6, 102, , , 3, 4, 10
2021/2/7, 93, , , 3, 4, 10
2021/2/8, 93, , , 3, 2, 9
2021/2/9, 96, , , 3, 6, 8
2021/2/10, 136, , , 3, 6, 9
2021/2/11, 137, , , 3, 5, 8
2021/2/12, 129, , , 3, 4, 9
2021/2/13, 110, , , 3, 3, 7
2021/2/14, 105, , , 3, 3, 7
2021/2/15, 100, , , 3, 3, 8
2021/2/16, 96, , , 3, 9, 9
2021/2/17, 130, , , , 5, 5
2021/2/18, 97, , , 3, 33, 6
2021/2/19, 115, , , 5, 11, 7
2021/2/20, 95, , , 5, 5, 9
2021/2/21, 71, , , 5, 25, 8
2021/2/22, 56, , , 5, 9, 8
2021/2/23, 92, , , 5, 12, 7
2021/2/24, 98, , , 5, 17, 3
2021/2/25, 113, , , 5, 10, 4
2021/2/26, 115, , , 5, 6, 5
2021/2/27, 116, , , 5, 6, 3
2021/2/28, 110, , , 5, 3, 5
2021/3/1, 64, , , 5, 1, 4
2021/1/5, 100, , , 1, 3, 7
2021/1/6, 90, , , 1, 4, 11
2021/1/7, 131, , , 1, 3, 8
2021/1/8, 107, , , 1, 3, 11
2021/1/9, 129, , , 1, 3, 7
2021/1/10, 96, , , 1, 3, 8
2021/1/11, 93, , , 1, 3, 9
2021/1/12, 108, , , 1, 3, 6
2021/1/13, 108, , , 2, 4, 10
2021/1/14, 132, , , 2, 2, 11
2021/1/15, 84, , , 3, 2, 12
2021/1/16, 84, , , 3, 2, 9
2021/1/17, 83, , , 3, 2, 9
2021/1/18, 71, , , 4, 2, 9
2021/1/19, 103, , , 4, 3, 8
2021/1/20, 131, , , 5, 2, 12
2021/1/21, 126, , , 4, 2, 9
2021/1/22, 115, , , 3, 2, 9
2021/1/23, 96, , , 2, 1, 11
2021/1/24, 108, , , 2, 5, 9
2021/1/25, 73, , , 2, 4, 11
2021/1/26, 99, , , 2, 4, 7
2021/1/27, 89, , , 4, 2, 9
2021/1/28, 133, , , 5, 3, 11
2021/1/29, 154, , , 3, 5, 10
2021/1/30, 113, , , 3, 3, 10
2021/1/31, 124, , , 2, 2, 11
2021/2/1, 75, , , 2, 5, 9
2020/10/2, 117, , , 16, 9, 5
2020/10/3, 56, , , 10, 16, 6
2020/10/4, 62, , , 11, 15, 7
2020/10/5, 78, , , 16, 17, 3
2020/10/6, 104, , , 14, 18, 8
2020/10/7, 120, , , 10, 20, 10
2020/10/8, 126, , , 9, 2, 9
2020/10/9, 99, , , 11, 1, 12
2020/10/10, 107, , , 10, 5, 9
2020/10/11, 97, , , 3, 3, 10
2020/10/12, 79, , , 4, 2, 13
2020/10/13, 70, , , 5, 3, 11
2020/10/14, 69, , , 6, 1, 14
2020/10/15, 98, , , 4, 1, 9
2020/10/16, 94, , , 4, 1, 11
2020/10/17, 91, , , 5, , 13
2020/10/18, 90, , , 5, , 16
2020/10/19, 88, , , 5, 1, 15
2020/10/20, 98, , , 4, 4, 8
2020/10/21, 105, , , 4, 8, 12
2020/10/22, 106, , , 5, 5, 13
2020/10/23, 156, , , 5, 12, 8
2020/10/24, 147, , , 5, 7, 12
2020/10/25, 126, , , 4, 19, 9
2020/10/26, 147, , , 4, 20, 10
2020/10/27, 148, , , 5, 23, 8
2020/10/28, 146, , , 4, 23, 8
2020/10/29, 126, , , 5, 17, 9
2020/10/30, 124, , , 8, 17, 5
2020/10/31, 136, , , 7, 15, 7
2020/11/1, 156, , , 7, 7, 10
2020/11/2, 141, , , 5, 8, 9
2020/11/3, 128, , , 6, 6, 7
2020/11/4, 165, , , 4, 18, 9
2020/11/5, 121, , , 3, 5, 10
2020/11/6, 97, , , 3, 7, 8
2020/11/7, 73, , , 4, 8, 8
2020/11/8, 73, , , 4, 8, 14
2020/11/9, 152, , , 7, 8, 8
2020/11/10, 172, , , 6, 7, 7
2020/11/11, 164, , , 4, 18, 6
2020/11/12, 154, , , 4, 15, 10
2020/11/13, 103, , , 3, 7, 8
2020/11/14, 120, , , 5, 11, 9
2020/11/15, 127, , , 5, 9, 7
2020/11/16, 154, , , 4, 17, 4
2020/11/17, 63, , , 6, 7, 8
2020/11/18, 112, , , 3, , 8
2020/11/19, 80, , , 3, 1, 5
2020/11/20, 110, , , , 3, 4
2020/11/21, 141, , 1, , 4, 6
2020/11/22, 140, , 6, , 4, 3
2020/11/23, 146, , 2, , 3, 5
2020/11/24, 148, , 3, , 3, 7
2020/11/25, 125, , 4, , 3, 7
2020/11/26, 57, , 4, , 3, 7
2020/11/27, 42, , 3, , 4, 10
2020/11/28, 53, , , , 4, 5
2020/11/29, 67, , 2, , 3, 4
2020/11/30, 61, , 1, , 3, 7
2020/12/1, 79, , 6, , 3, 3
2020/12/2, 87, , 5, , 3, 9
2020/12/3, 83, , 2, 1, 4, 4
2020/12/4, 65, , 1, 2, 4, 7
2020/12/5, 39, , 1, 2, 4, 5
2020/12/6, 43, , , 2, 3, 7
2020/12/7, 76, , , 2, 3, 8
2020/12/8, 86, , , 2, 4, 7
2020/12/9, 98, , 1, 2, 3, 5
2020/12/10, 134, , 9, 2, 3, 4
2020/12/11, 104, , 25, 3, 4, 6
2020/12/12, 146, , , 2, 4, 6
2020/12/13, 110, , , 2, 5, 6
2020/12/14, 93, , , 3, 4, 5
2020/12/15, 86, , , 2, 3, 6
2020/12/16, 136, , , 2, 3, 7
2020/12/17, 97, , , 2, 3, 8
2020/12/18, 96, , , 2, 2, 8
2020/12/19, 145, , , 2, 2, 8
2020/12/20, 156, , , 2, 2, 6
2020/12/21, 131, , , 2, 2, 6
2020/12/22, 137, , , 2, 3, 6
2020/12/23, 125, , , 3, 4, 7
2020/12/24, 115, , , 2, 4, 6
2020/12/25, 129, , , 2, 5, 6
2020/12/26, 147, , , 2, 4, 6
2020/12/27, 133, , , 2, 4, 7
2020/12/28, 143, , , 2, 4, 7
2020/12/29, 117, , , 2, 5, 6
2020/12/30, 117, , , 2, 3, 7
2020/12/31, 131, , , 2, 3, 7
2021/1/1, 113, , , 2, 3, 5
2021/1/2, 108, , , 2, 3, 7
2021/1/3, 110, , , 1, 3, 7
2021/1/4, 98, , , 1, 4, 7
2020/7/2, 79, 44, 41, 11, 2, 20
2020/7/3, 71, 1, 28, 8, 1, 16
2020/7/4, 69, 21, 31, 6, 2, 9
2020/7/5, 59, 32, 34, 6, 2, 11
2020/7/6, 72, 46, 36, 7, 3, 9
2020/7/7, 63, 47, 37, 6, 2, 7
2020/7/8, 62, 15, 31, 7, 1, 12
2020/7/9, 94, 31, 45, 9, 1, 10
2020/7/10, 90, 12, 44, 8, 1, 15
2020/7/11, 86, 25, 37, 8, 1, 5
2020/7/12, 64, 22, 38, 8, 1, 7
2020/7/13, 65, 29, 37, 10, 1, 7
2020/7/14, 87, 29, 37, 8, 1, 11
2020/7/15, 110, 34, 37, 21, 1, 10
