date, pm25, pm10, o3, no2, so2, co
2021/5/2, 113, 50, 64, 20, 5, 7
2021/5/3, 83, 35, 40, 14, 3, 7
2021/5/4, 67, 60, 34, 20, 5, 7
2021/5/5, 101, 50, 22, 17, 4, 6
2021/5/6, 88, 41, 12, 20, 4, 7
2021/5/7, 79, 53, 55, 22, 5, 7
2021/5/8, 92, 61, 95, 31, 5, 9
2021/5/9, 108, 59, 81, 39, 5, 9
2021/5/10, 95, 50, 40, 26, 6, 6
2021/5/11, 82, 55, 18, 21, 4, 7
2021/5/12, 104, 53, 58, 19, 2, 10
2021/5/13, 101, 39, 25, 21, 3, 11
2021/5/14, 77, 39, 47, 19, 2, 9
2021/5/15, 67, 42, 16, 17, 2, 8
2021/5/16, 68, 29, 48, 15, 3, 8
2021/5/17, 58, 47, 33, 27, 5, 11
2021/5/18, 76, 49, 52, 22, 5, 10
2021/5/19, 80, 48, 45, 27, 4, 8
2021/5/20, 78, 63, 7, 41, 3, 9
2021/5/21, 95, , , , , 
2021/4/2, 63, 33, 14, 16, 3, 6
2021/4/3, 66, 46, 16, 18, 3, 6
2021/4/4, 87, 37, 21, 16, 3, 5
2021/4/5, 78, 30, 18, 16, 3, 6
2021/4/6, 60, 44, 7, 24, 4, 10
2021/4/7, 77, 38, 16, 25, 1, 9
2021/4/8, 83, 49, 28, 20, 2, 8
2021/4/9, 97, 30, 26, 19, 2, 7
2021/4/10, 62, 38, 15, 21, 2, 6
2021/4/11, 77, 43, 18, 22, 2, 6
2021/4/12, 76, 52, 25, 27, 2, 8
2021/4/13, 100, 63, 18, 30, 6, 10
2021/4/14, 115, 49, 17, 22, 4, 8
2021/4/15, 96, 50, 9, 24, 4, 10
2021/4/16, 102, 38, 13, 23, 4, 9
2021/4/17, 78, 58, 5, 23, 4, 11
2021/4/18, 102, 53, 15, 21, 3, 8
2021/4/19, 87, 53, 14, 23, 3, 9
2021/4/20, 80, 39, 10, 24, 1, 10
2021/4/21, 75, 56, 34, 27, 2, 10
2021/4/22, 101, 52, 40, 25, 4, 9
2021/4/23, 94, 64, 23, 30, 7, 9
2021/4/24, 100, 43, 14, 18, 3, 8
2021/4/25, 77, 24, 15, 17, 2, 6
2021/4/26, 53, 24, 33, 18, 2, 6
2021/4/27, 57, 40, 51, 27, 3, 8
2021/4/28, 78, 61, 18, 24, 5, 6
2021/4/29, 106, 53, 60, 22, 5, 6
2021/4/30, 83, 58, 87, 37, 5, 7
2021/5/1, 96, 70, 111, 37, 7, 8
2021/3/2, 95, 46, 5, 20, 3, 7
2021/3/3, 118, 44, 13, 19, 3, 8
2021/3/4, 101, 48, 28, 23, 4, 9
