date, pm25, pm10, o3, no2, so2, co
2021/5/2, 61, 20, 44, 11, 2, 3
2021/5/3, 43, 31, 57, 21, 4, 3
2021/5/4, 60, 24, 32, 13, 3, 4
2021/5/5, 48, 29, 47, 10, 2, 3
2021/5/6, 31, 40, 59, 25, 3, 4
2021/5/7, 45, 80, 55, 23, 4, 5
2021/5/8, 94, 130, 66, 20, 7, 4
2021/5/9, 158, 70, 50, 9, 2, 3
2021/5/10, 81, 30, 33, 27, 2, 4
2021/5/11, 59, 28, 43, 17, 4, 5
2021/5/12, 62, 27, 46, 15, 2, 4
2021/5/13, 52, 34, 70, 18, 3, 5
2021/5/14, 65, 46, 86, 23, 5, 7
2021/5/15, 87, 47, 23, 27, 6, 8
2021/5/16, 103, 21, 31, 18, 3, 5
2021/5/17, 50, 13, 31, 15, 1, 5
2021/5/18, 37, 25, 37, 21, 2, 6
2021/5/19, 60, 42, 81, 23, 4, 5
2021/5/20, 84, 31, 42, 22, 4, 5
2021/5/21, 67, 18, 45, 15, 2, 4
2021/5/22, 38, , , , , 
2021/4/2, 66, 46, 43, 11, 3, 4
2021/4/3, 61, 41, 30, 23, 4, 6
2021/4/4, 77, 13, 38, 8, 2, 3
2021/4/5, 29, 19, 43, 16, 3, 3
2021/4/6, 35, 36, 41, 21, 4, 3
2021/4/7, 66, 44, 53, 27, 3, 3
2021/4/8, 77, 34, 48, 25, 3, 4
2021/4/9, 63, 28, 38, 19, 2, 4
2021/4/10, 54, 25, 43, 16, 3, 4
2021/4/11, 58, 26, 56, 15, 2, 4
2021/4/12, 61, 34, 29, 28, 3, 4
2021/4/13, 70, 15, 40, 14, 2, 4
2021/4/14, 27, 28, 42, 16, 2, 3
2021/4/15, 46, 41, 48, 32, 3, 4
2021/4/16, 72, 41, 47, 36, 4, 5
2021/4/17, 80, 84, 41, 15, 2, 3
2021/4/18, 70, 24, 43, 8, 2, 3
2021/4/19, 37, 37, 62, 20, 3, 3
2021/4/20, 54, 53, 59, 24, 4, 4
2021/4/21, 82, 59, 103, 38, 4, 7
2021/4/22, 111, 56, 82, 26, 7, 6
2021/4/23, 104, 30, 41, 9, 2, 4
2021/4/24, 45, 25, 51, 10, 2, 4
2021/4/25, 44, 27, 44, 8, 2, 5
2021/4/26, 30, 17, 45, 13, 2, 3
2021/4/27, 21, 31, 41, 24, 3, 4
2021/4/28, 52, 58, 49, 24, 3, 4
2021/4/29, 70, 67, 57, 27, 3, 4
2021/4/30, 80, 55, 57, 14, 2, 4
2021/5/1, 69, 31, 44, 11, 2, 4
2021/3/2, 84, 13, 28, 19, 2, 4
2021/3/3, 37, 38, 27, 36, 4, 5
2021/3/4, 82, 48, 17, 44, 5, 6
2021/3/5, 97, 43, 31, 39, 6, 6
2021/3/6, 90, 48, 34, 33, 4, 6
2021/3/7, 97, 22, 35, 14, 3, 3
2021/3/8, 53, 37, 39, 22, 4, 5
2021/3/9, 85, 41, 42, 29, 5, 5
2021/3/10, 88, 54, 41, 27, 3, 6
2021/3/11, 104, 52, 38, 45, 5, 7
2021/3/12, 97, 33, 35, 42, 2, 6
2021/3/13, 79, 43, 45, 28, 2, 4
2021/3/14, 94, 52, 49, 23, 2, 5
2021/3/15, 116, 56, 51, 33, 4, 7
2021/3/16, 125, 56, 40, 21, 2, 4
2021/3/17, 79, 73, 36, 24, 5, 5
2021/3/18, 79, 64, 36, 17, 4, 5
2021/3/19, 76, 43, 37, 14, 3, 3
2021/3/20, 56, 25, 35, 21, 3, 5
2021/3/21, 56, 37, 39, 10, 2, 4
2021/3/22, 80, 37, 36, 12, 2, 3
2021/3/23, 59, 74, 47, 31, 5, 4
2021/3/24, 90, 61, 42, 43, 6, 5
2021/3/25, 102, 57, 65, 42, 5, 5
2021/3/26, 89, 60, 55, 39, 6, 5
2021/3/27, 106, 50, 40, 28, 4, 5
2021/3/28, 89, 17, 47, 14, 3, 4
2021/3/29, 34, 315, 42, 20, 4, 5
2021/3/30, 146, 82, 44, 19, 4, 3
2021/3/31, 70, 61, 49, 30, 6, 5
2021/4/1, 85, 60, 44, 16, 4, 5
2021/2/2, 123, 41, 30, 15, 3, 7
2021/2/3, 73, 42, 27, 29, 2, 5
2021/2/4, 64, 38, 30, 32, 3, 5
2021/2/5, 63, 52, 20, 60, 7, 9
2021/2/6, 96, 65, 30, 68, 8, 13
2021/2/7, 131, 67, 42, 42, 3, 10
2021/2/8, 141, 34, 29, 16, 3, 4
2021/2/9, 58, 33, 28, 24, 4, 4
2021/2/10, 59, 48, 38, 41, 5, 6
2021/2/11, 96, 54, 36, 45, 3, 8
2021/2/12, 127, 55, 38, 45, 4, 8
2021/2/13, 132, 48, 44, 49, 5, 9
2021/2/14, 117, 60, 27, 48, 4, 10
2021/2/15, 151, 44, 32, 30, 3, 6
2021/2/16, 98, 31, 30, 17, 3, 3
2021/2/17, 56, 30, 29, 11, 3, 3
2021/2/18, 46, 36, 26, 15, 3, 3
2021/2/19, 61, 47, 41, 30, 6, 4
2021/2/20, 73, 64, 49, 46, 8, 8
2021/2/21, 115, 52, 45, 47, 8, 9
2021/2/22, 108, 47, 45, 34, 8, 7
2021/2/23, 82, 34, 32, 18, 3, 3
2021/2/24, 52, 40, 31, 29, 3, 4
2021/2/25, 71, 47, 22, 44, 2, 6
2021/2/26, 99, 36, 35, 25, 3, 5
2021/2/27, 84, 25, 35, 14, 2, 4
2021/2/28, 53, 28, 30, 25, 4, 4
2021/3/1, 60, 35, 31, 33, 4, 6
2021/1/5, 93, 49, 25, 41, 5, 10
2021/1/6, 97, 33, 27, 29, 5, 8
2021/1/7, 58, 36, 25, 15, 4, 7
2021/1/8, 55, 28, 24, 17, 5, 5
2021/1/9, 50, 31, 26, 17, 4, 6
2021/1/10, 54, 25, 25, 25, 5, 8
2021/1/11, 65, 44, 10, 56, 7, 9
2021/1/12, 100, 53, 26, 50, 6, 8
2021/1/13, 109, 75, 35, 57, 5, 10
2021/1/14, 128, 72, 19, 72, 8, 12
2021/1/15, 131, 60, 32, 50, 9, 9
2021/1/16, 107, 72, 28, 18, 2, 5
2021/1/17, 118, 24, 28, 16, 2, 3
2021/1/18, 49, 48, 30, 42, 3, 5
2021/1/19, 99, 35, 27, 29, 3, 4
2021/1/20, 62, 52, 12, 67, 6, 10
2021/1/21, 110, 67, 13, 85, 8, 13
2021/1/22, 146, 60, 30, 56, 4, 11
2021/1/23, 148, 30, 36, 23, 2, 4
2021/1/24, 76, 21, 31, 19, 1, 4
2021/1/25, 51, 28, 30, 33, 3, 6
2021/1/26, 64, 31, 16, 39, 4, 6
2021/1/27, 71, 42, 29, 26, 2, 5
2021/1/28, 73, 42, 30, 31, 4, 6
2021/1/29, 74, 40, 28, 13, 3, 3
2021/1/30, 48, 62, 30, 34, 4, 6
2021/1/31, 89, 56, 33, 43, 3, 8
2021/2/1, 99, 58, 36, 57, 4, 11
2020/10/2, 46, 28, 50, 9, 3, 4
2020/10/3, 68, 29, 47, 13, 2, 3
2020/10/4, 73, 30, 36, 10, 2, 4
2020/10/5, 80, 33, 29, 11, 2, 4
2020/10/6, 52, 28, 33, 23, 3, 4
2020/10/7, 58, 26, 31, 18, 2, 4
2020/10/8, 51, 25, 36, 13, 2, 3
2020/10/9, 38, 30, 39, 17, 2, 3
2020/10/10, 51, 23, 40, 11, 2, 4
2020/10/11, 41, 21, 39, 16, 4, 4
2020/10/12, 46, 38, 40, 28, 3, 6
2020/10/13, 78, 32, 34, 26, 3, 4
2020/10/14, 61, 45, 36, 35, 4, 5
2020/10/15, 81, 36, 38, 31, 3, 5
2020/10/16, 68, 47, 11, 47, 5, 5
2020/10/17, 85, 40, 46, 32, 2, 5
2020/10/18, 87, 36, 45, 28, 3, 5
2020/10/19, 79, 50, 42, 40, 3, 6
2020/10/20, 86, 52, 50, 35, 4, 6
2020/10/21, 95, 51, 18, 50, 4, 7
2020/10/22, 109, 53, 36, 32, 2, 5
2020/10/23, 102, 30, 28, 16, 2, 4
2020/10/24, 51, 33, 32, 15, 3, 4
2020/10/25, 48, 28, 44, 23, 4, 4
2020/10/26, 59, 42, 41, 42, 4, 6
2020/10/27, 78, 57, 49, 46, 3, 6
2020/10/28, 120, 61, 46, 40, 4, 5
2020/10/29, 123, 43, 33, 36, 3, 4
2020/10/30, 69, 36, 25, 29, 3, 4
2020/10/31, 72, 33, 32, 33, 3, 5
2020/11/1, 66, 36, 14, 42, 3, 7
2020/11/2, 83, 49, 27, 29, 3, 6
2020/11/3, 84, 40, 25, 21, 4, 4
2020/11/4, 58, 35, 26, 20, 4, 3
2020/11/5, 59, 47, 15, 43, 5, 5
2020/11/6, 86, 65, 5, 69, 8, 10
2020/11/7, 133, 59, 45, 42, 6, 9
2020/11/8, 117, 54, 34, 23, 6, 5
2020/11/9, 78, 39, 24, 23, 3, 4
2020/11/10, 53, 41, 27, 36, 5, 6
2020/11/11, 74, 49, 24, 45, 5, 7
2020/11/12, 96, 62, 25, 58, 6, 9
2020/11/13, 124, 65, 38, 59, 7, 9
2020/11/14, 127, 54, 33, 41, 4, 7
2020/11/15, 112, 46, 34, 37, 3, 8
2020/11/16, 94, 64, 42, 47, 5, 10
2020/11/17, 136, 75, 25, 57, 4, 10
2020/11/18, 156, 58, 30, 39, 4, 8
2020/11/19, 124, 23, 27, 15, 2, 5
2020/11/20, 47, 23, 25, 14, 1, 5
2020/11/21, 54, 33, 18, 24, 3, 4
2020/11/22, 74, 27, 26, 17, 3, 4
2020/11/23, 69, 32, 24, 16, 3, 3
2020/11/24, 64, 39, 15, 38, 4, 6
2020/11/25, 78, 43, 26, 34, 4, 6
2020/11/26, 82, 54, 20, 38, 4, 6
2020/11/27, 112, 41, 23, 28, 4, 4
2020/11/28, 91, 20, 22, 11, 2, 2
2020/11/29, 51, 14, 26, 10, 1, 2
2020/11/30, 41, 21, 24, 15, 3, 3
2020/12/1, 53, 33, 17, 28, 3, 3
2020/12/2, 71, 32, 13, 31, 4, 4
2020/12/3, 70, 32, 25, 28, 3, 3
2020/12/4, 67, 34, 26, 30, 4, 5
2020/12/5, 62, 37, 27, 36, 5, 6
2020/12/6, 76, 39, 30, 39, 4, 7
2020/12/7, 88, 58, 27, 44, 6, 10
2020/12/8, 128, 39, 26, 28, 3, 5
2020/12/9, 76, 47, 15, 48, 4, 7
2020/12/10, 92, 48, 24, 51, 4, 8
2020/12/11, 95, 63, 25, 51, 7, 11
2020/12/12, 141, 58, 32, 36, 5, 9
2020/12/13, 113, 48, 30, 30, 4, 7
2020/12/14, 108, 24, 22, 15, 4, 4
2020/12/15, 42, 31, 22, 20, 4, 5
2020/12/16, 52, 37, 24, 21, 3, 5
2020/12/17, 54, 31, 23, 27, 5, 6
2020/12/18, 53, 48, 26, 43, 8, 9
2020/12/19, 95, 29, 24, 20, 3, 5
2020/12/20, 52, 24, 29, 22, 4, 5
2020/12/21, 58, 47, 20, 45, 7, 9
2020/12/22, 90, 61, 27, 52, 6, 10
2020/12/23, 127, 71, 20, 73, 8, 13
2020/12/24, 151, 69, 31, 57, 6, 11
2020/12/25, 125, 37, 29, 23, 3, 5
2020/12/26, 62, 54, 17, 57, 5, 10
2020/12/27, 106, 57, 10, 46, 5, 11
2020/12/28, 142, 64, 11, 56, 5, 11
2020/12/29, 138, 62, 22, 52, 6, 12
2020/12/30, 141, 29, 24, 13, 4, 4
2020/12/31, 55, 30, 23, 17, 3, 6
2021/1/1, 53, 25, 24, 22, 4, 7
2021/1/2, 64, 44, 28, 25, 5, 9
2021/1/3, 81, 40, 28, 16, 5, 7
2021/1/4, 66, 50, 22, 44, 6, 9
2020/7/2, 38, 32, 47, 21, 3, 3
2020/7/3, 73, 26, 28, 17, 5, 4
2020/7/4, 57, 22, 36, 13, 3, 3
2020/7/5, 49, 30, 43, 13, 3, 5
2020/7/6, 71, 37, 39, 24, 4, 5
2020/7/7, 78, 34, 52, 19, 3, 4
2020/7/8, 63, 41, 81, 19, 4, 4
2020/7/9, 88, 55, 64, 15, 5, 7
2020/7/10, 128, 22, 39, 18, 4, 5
2020/7/11, 54, 31, 52, 18, 4, 5
2020/7/12, 73, 25, 30, 8, 3, 4
2020/7/13, 64, 13, 31, 11, 3, 3
2020/7/14, 25, 15, 28, 12, 2, 3
