date, pm25, pm10, o3, no2, so2, co
2021/5/2, 71, 23, 44, 11, 3, 5
2021/5/3, 50, 30, 49, 15, 3, 4
2021/5/4, 59, 33, 37, 23, 3, 5
2021/5/5, 65, 44, 56, 12, 3, 4
2021/5/6, 59, 70, 69, 22, 3, 4
2021/5/7, 73, 187, 43, 27, 3, 5
2021/5/8, 121, 411, 62, 13, 3, 4
2021/5/9, 203, 86, 52, 13, 4, 3
2021/5/10, 97, 28, 32, 26, 5, 3
2021/5/11, 27, 25, 43, 17, 4, 4
2021/5/12, 44, 31, 44, 18, 3, 4
2021/5/13, 53, 44, 66, 30, 5, 6
2021/5/14, 74, 55, 73, 35, 5, 7
2021/5/15, 101, 36, 82, 18, 3, 5
2021/5/16, 72, 23, 153, 16, 3, 5
2021/5/17, 34, 15, 37, 13, 3, 5
2021/5/18, 30, 35, 74, 21, 4, 5
2021/5/19, 67, 40, 91, 23, 4, 5
2021/5/20, 82, 30, 40, 31, 5, 6
2021/5/21, 62, 23, 48, 17, 3, 4
2021/5/22, 44, 24, 29, 12, 3, 5
2021/5/23, 60, , , , , 
2021/4/2, 66, 55, 50, 17, 4, 4
2021/4/3, 67, 41, 36, 24, 4, 6
2021/4/4, 70, 11, 34, 12, 5, 4
2021/4/5, 25, 23, 44, 22, 3, 4
2021/4/6, 46, 42, 62, 31, 4, 4
2021/4/7, 67, 50, 51, 32, 4, 5
2021/4/8, 98, 44, 53, 30, 5, 4
2021/4/9, 73, 39, 46, 27, 5, 4
2021/4/10, 65, 38, 59, 18, 4, 4
2021/4/11, 68, 43, 56, 22, 6, 5
2021/4/12, 79, 33, 33, 23, 4, 4
2021/4/13, 67, 41, 38, 15, 4, 4
2021/4/14, 44, 34, 43, 16, 4, 3
2021/4/15, 62, 41, 45, 31, 5, 4
2021/4/16, 67, 47, 41, 27, 4, 4
2021/4/17, 70, 85, 38, 22, 3, 4
2021/4/18, 82, 35, 43, 11, 3, 4
2021/4/19, 59, 46, 66, 20, 4, 4
2021/4/20, 74, 58, 92, 32, 6, 5
2021/4/21, 95, 60, 89, 39, 4, 6
2021/4/22, 98, 57, 63, 30, 3, 5
2021/4/23, 92, 41, 49, 19, 2, 3
2021/4/24, 59, 29, 52, 18, 4, 3
2021/4/25, 58, 38, 45, 17, 3, 4
2021/4/26, 65, 35, 49, 15, 3, 3
2021/4/27, 56, 45, 44, 26, 3, 5
2021/4/28, 78, 69, 45, 19, 3, 4
2021/4/29, 82, 72, 56, 26, 3, 4
2021/4/30, 87, 60, 55, 14, 3, 4
2021/5/1, 75, 38, 43, 17, 3, 5
2021/3/2, 47, 21, 30, 22, 5, 5
2021/3/3, 35, 40, 26, 32, 3, 5
2021/3/4, 75, 53, 20, 38, 4, 6
2021/3/5, 81, 50, 33, 36, 4, 5
2021/3/6, 100, 39, 35, 25, 4, 5
2021/3/7, 87, 24, 33, 17, 3, 4
2021/3/8, 59, 42, 37, 34, 4, 8
2021/3/9, 134, 58, 37, 39, 5, 7
2021/3/10, 123, 58, 53, 39, 4, 7
2021/3/11, 122, 65, 58, 44, 6, 7
2021/3/12, 142, 48, 33, 38, 4, 6
2021/3/13, 113, 47, 39, 29, 3, 5
2021/3/14, 86, 57, 47, 22, 2, 6
2021/3/15, 119, 60, 46, 31, 3, 7
2021/3/16, 122, 63, 38, 16, 3, 4
2021/3/17, 74, 75, 37, 35, 4, 6
2021/3/18, 81, 73, 53, 31, 5, 6
2021/3/19, 88, 50, 43, 17, 3, 4
2021/3/20, 65, 26, 39, 21, 3, 5
2021/3/21, 53, 48, 43, 14, 3, 6
2021/3/22, 89, 48, 41, 16, 3, 5
2021/3/23, 59, 75, 59, 23, 5, 6
2021/3/24, 103, 56, 46, 34, 3, 6
2021/3/25, 82, 51, 63, 32, 3, 5
2021/3/26, 79, 64, 50, 42, 4, 6
2021/3/27, 106, 51, 40, 42, 3, 6
2021/3/28, 88, 20, 47, 12, 3, 4
2021/3/29, 49, 331, 42, 17, 3, 5
2021/3/30, 124, 147, 44, 30, 4, 5
2021/3/31, 104, 52, 48, 43, 6, 6
2021/4/1, 82, 57, 48, 23, 4, 4
2021/2/2, 118, 44, 30, 13, 5, 7
2021/2/3, 75, 41, 30, 14, 4, 7
2021/2/4, 69, 41, 31, 23, 4, 6
2021/2/5, 70, 42, 29, 38, 4, 8
2021/2/6, 70, 53, 45, 37, 5, 10
2021/2/7, 109, 71, 41, 22, 4, 9
2021/2/8, 139, 34, 28, 18, 4, 8
2021/2/9, 61, 33, 30, 30, 5, 8
2021/2/10, 65, 43, 37, 38, 5, 8
2021/2/11, 77, 52, 37, 39, 3, 9
2021/2/12, 104, 59, 43, 39, 4, 8
2021/2/13, 136, 63, 51, 46, 6, 8
2021/2/14, 147, 60, 34, 41, 6, 9
2021/2/15, 133, 46, 37, 18, 2, 7
