date, pm25, pm10, o3, no2, so2, co
2021/4/2, 19, 10, 6, , , 3
2021/4/3, 11, 10, 6, , , 3
2021/4/4, 12, 10, 5, , , 3
2021/4/5, 9, 9, 5, , , 3
2021/4/6, 9, 9, 5, , , 3
2021/4/7, 11, 9, 5, , , 3
2021/4/8, 12, 11, 5, , , 3
2021/4/9, 16, 12, 7, , , 3
2021/4/10, 18, 12, 6, , , 3
2021/4/11, 18, 12, 6, , , 3
2021/4/12, 18, 10, 10, , , 3
2021/4/13, 14, 11, 10, , , 3
2021/4/14, 14, 12, 10, , , 3
2021/4/15, 23, 10, 6, , , 3
2021/4/16, 14, 10, 8, , , 3
2021/4/17, 13, 10, 9, , , 4
2021/4/18, 14, 17, 8, , , 3
2021/4/19, 11, 17, 9, , , 3
2021/4/20, 16, , 7, , , 2
2021/3/2, 14, 8, 4, , , 4
2021/3/3, 10, 10, 4, , , 3
2021/3/4, 11, 12, 3, , , 3
2021/3/5, 8, 13, 5, , , 4
2021/3/6, 11, 13, 4, , , 4
2021/3/7, 4, 11, 20, , , 4
2021/3/8, 10, 12, 9, , , 4
2021/3/9, 9, 9, 11, , , 4
2021/3/10, 8, 9, 5, , , 3
2021/3/11, 11, 8, 5, , , 2
2021/3/12, 9, 7, 4, , , 3
2021/3/13, 10, 6, 2, , , 4
2021/3/14, 5, , , , , 
2021/3/16, 9, 9, 6, , , 4
2021/3/17, 9, 9, 6, , , 4
2021/3/18, 7, 4, 6, , , 4
2021/3/19, 4, 5, 3, , , 3
2021/3/20, 3, 4, 5, , , 3
2021/3/21, 4, 8, 3, , , 3
2021/3/22, 13, 11, 4, , , 3
2021/3/23, 13, 10, 5, , , 1
2021/3/24, 16, 12, 4, , , 1
2021/3/25, 19, 8, 7, , , 2
2021/3/26, 14, 9, 6, , , 2
2021/3/27, 8, 6, 4, , , 3
2021/3/28, 7, 7, 4, , , 2
2021/3/29, 6, 7, 5, , , 3
2021/3/30, 6, 9, 7, , , 3
2021/3/31, 9, 6, 7, , , 3
2021/4/1, 5, 16, 8, 1, , 3
2021/2/2, 8, 8, 4, , , 4
2021/2/3, 9, 12, 4, , , 4
2021/2/4, 12, 16, 2, , , 4
2021/2/5, 11, 9, 6, 1, , 4
2021/2/6, 6, 17, 4, , , 4
2021/2/7, 16, 13, 3, , , 4
2021/2/8, 7, 12, 5, , , 4
2021/2/9, 11, 6, 6, , , 4
2021/2/10, 6, 13, 4, , , 4
2021/2/11, 10, 11, 2, , , 4
2021/2/12, 10, 11, 3, , , 4
2021/2/13, 10, 11, 4, , , 4
2021/2/14, 8, 8, 5, , , 4
2021/2/15, 8, 9, 4, , , 4
2021/2/16, 8, 13, 4, , , 4
2021/2/17, 11, 11, 4, , , 3
2021/2/18, 13, 11, 8, , , 2
2021/2/19, 12, 9, 8, , , 1
2021/2/20, 7, 4, 5, , , 1
2021/2/21, 4, 5, 4, , , 1
2021/2/22, 5, 24, 5, , , 2
2021/2/23, 14, 9, 4, , , 2
2021/2/24, 8, 7, 4, , , 3
2021/2/25, 6, 5, 5, , , 3
2021/2/26, 5, 7, 10, , , 3
2021/2/27, 10, 9, 6, , , 3
2021/2/28, 11, 10, 6, , , 3
2021/3/1, 12, 10, 5, , , 3
2021/1/5, 17, 13, 9, , , 5
2021/1/6, 12, 15, 8, , , 5
2021/1/7, 12, 9, 12, , , 5
2021/1/8, 13, 8, 6, , , 5
2021/1/9, 11, 6, 6, , , 5
2021/1/10, 8, 9, 6, , , 5
2021/1/11, 12, 9, 7, , , 5
2021/1/12, 14, 9, 8, , , 5
2021/1/13, 12, 7, 11, , , 5
2021/1/14, 12, 10, 7, , , 5
2021/1/15, 16, 8, 8, , , 6
2021/1/16, 10, 8, 10, , , 6
2021/1/17, 10, 9, 8, , , 6
2021/1/18, 9, 56, 13, , , 5
2021/1/19, 8, 6, 3, , , 3
2021/1/20, 4, 38, 4, , , 3
2021/1/21, 9, 26, 4, , , 3
2021/1/22, 11, 9, 4, , , 4
2021/1/23, 15, 27, 4, , , 4
2021/1/24, 9, 10, 5, , , 4
2021/1/25, 8, 8, 6, , , 4
2021/1/26, 8, 7, 6, , , 4
2021/1/27, 4, , , , , 
2021/1/29, 11, 13, 5, , , 4
2021/1/30, 10, 13, 5, , , 4
2021/1/31, 10, 11, 5, , , 4
2021/2/1, 9, 11, 4, , , 4
2020/10/2, 40, 25, 11, , , 3
2020/10/3, 30, , , , , 
2020/10/6, 23, 16, 4, 1, , 8
2020/10/7, 25, 11, 5, , , 9
2020/10/8, 21, 21, 8, , , 9
2020/10/9, 38, 26, 8, , , 8
2020/10/10, 42, 24, 9, , , 8
2020/10/11, 42, 24, 9, , , 8
2020/10/12, 47, 21, 10, , , 8
2020/10/13, 41, 20, 9, , , 8
2020/10/14, 33, 17, 7, , , 2
2020/10/15, 26, 15, 6, , , 3
2020/10/16, 25, 15, 7, 1, , 4
2020/10/17, 25, 15, 7, , , 4
2020/10/18, 28, 20, 8, , , 3
2020/10/19, 31, 19, 7, , , 4
2020/10/20, 27, 16, 7, , , 3
2020/10/21, 20, 14, 9, , , 4
2020/10/22, 26, , , , , 
2020/10/24, 15, 8, 5, , , 3
2020/10/25, 19, 10, 5, , , 2
2020/10/26, 20, 15, 7, , , 4
2020/10/27, 25, 11, 9, , , 5
2020/10/28, 19, 14, 11, , , 5
2020/10/29, 26, 10, 11, , , 5
2020/10/30, 20, 12, 10, , , 2
2020/10/31, 22, 14, 10, , , 1
2020/11/1, 27, 13, 9, , , 1
2020/11/2, 26, 13, 9, , , 1
2020/11/3, 22, 13, 8, , , 1
2020/11/4, 23, 14, 7, , , 1
2020/11/5, 28, 14, 6, , , 1
2020/11/6, 24, 14, 11, , , 1
2020/11/7, 24, 15, 11, , , 2
2020/11/8, 31, 22, 11, , , 2
2020/11/9, 42, 20, 8, , , 2
2020/11/10, 39, 23, 8, , , 2
2020/11/11, 41, 25, 10, , , 2
2020/11/12, 40, 23, 7, , , 1
2020/11/13, 30, 21, 8, , , 3
2020/11/14, 28, 14, 6, , , 2
2020/11/15, 19, 14, 12, , , 2
2020/11/16, 26, 20, 10, , , 2
2020/11/17, 37, 22, 10, , , 2
2020/11/18, 37, 22, 11, , , 3
2020/11/19, 44, 21, 9, , , 3
2020/11/20, 42, 19, 8, , , 3
2020/11/21, 37, 16, 11, , , 3
2020/11/22, 21, 16, 10, , , 4
2020/11/23, 25, 11, 11, , , 4
2020/11/24, 16, 13, 9, , , 4
2020/11/25, 20, 16, 9, , , 4
2020/11/26, 25, 16, 10, , , 4
2020/11/27, 24, 21, 14, 1, , 5
2020/11/28, 30, 10, 10, , , 4
2020/11/29, 13, 14, 10, , , 5
2020/11/30, 21, 14, 8, , , 4
2020/12/1, 22, 12, 9, , , 4
2020/12/2, 18, 15, 7, , , 5
2020/12/3, 18, 11, 8, , , 4
2020/12/4, 15, 13, 7, , , 5
2020/12/5, 16, 8, 5, , , 5
2020/12/6, 11, 11, 4, , , 5
2020/12/7, 18, 12, 4, , , 6
2020/12/8, 16, 12, 5, , , 5
2020/12/9, 16, 10, 5, , , 5
2020/12/10, 16, 10, 7, , , 3
2020/12/11, 16, 10, 8, , , 1
2020/12/12, 16, 8, 7, , , 1
2020/12/13, 13, 8, 8, , , 2
2020/12/14, 12, 9, 7, , , 2
2020/12/15, 11, 10, 8, , , 2
2020/12/16, 10, 10, 10, 1, , 2
2020/12/17, 11, 6, 9, , , 2
2020/12/18, 9, 7, 8, , , 3
2020/12/19, 6, 118, 8, , , 4
2020/12/20, 150, 13, 6, , , 4
2020/12/21, 16, 15, 5, , , 4
2020/12/22, 14, 15, 7, , , 4
2020/12/23, 15, 14, 9, , , 4
2020/12/24, 14, 11, 7, , , 4
2020/12/25, 12, 11, 6, , , 4
2020/12/26, 25, 10, 5, , , 4
2020/12/27, 11, 7, 6, , , 4
2020/12/28, 11, 8, 5, , , 4
2020/12/29, 11, 8, 4, , , 4
2020/12/30, 9, 8, 9, , , 4
2020/12/31, 10, 9, 8, , , 4
2021/1/1, 17, 8, 7, , , 4
2021/1/2, 9, 13, 6, , , 4
2021/1/3, 12, 19, 7, , , 4
2021/1/4, 16, 20, 5, , , 4
2020/7/2, 55, 23, 10, 1, , 4
2020/7/3, 55, 17, 7, , , 4
2020/7/4, 36, 20, 8, , , 3
2020/7/5, 27, 30, 10, , , 2
2020/7/6, 51, 26, 10, , , 1
2020/7/7, 46, 25, 11, , , 1
2020/7/8, 52, 32, 11, , , 3
2020/7/9, 71, 21, 9, 1, , 1
2020/7/10, 30, 18, 7, 1, , 1
2020/7/11, 37, 17, 6, , , 1
2020/7/12, 33, 19, 7, , , 1
2020/7/13, 41, 27, 13, , , 1
2020/7/14, 50, 22, 11, , , 1
2020/7/15, 44, 25, 9, , , 2
2020/7/16, 51, 26, 9, 1, , 2
2020/7/17, 53, 27, 11, 1, , 2
2020/7/18, 64, 26, 11, , , 2
2020/7/19, 66, , , , , 
2020/7/21, 33, 16, 11, , , 1
2020/7/22, 32, 23, 9, 1, , 2
2020/7/23, 44, 23, 13, 1, , 3
2020/7/24, 53, 26, 11, 1, , 3
2020/7/25, 59, 21, 10, , , 3
2020/7/26, 46, 18, 9, , , 2
2020/7/27, 38, 20, 10, , , 2
2020/7/28, 37, 18, 9, 1, , 3
2020/7/29, 35, 27, 11, 1, , 3
2020/7/30, 60, 23, 10, 2, , 3
2020/7/31, 39, 31, 11, 1, , 3
2020/8/1, 60, 34, 12, 1, , 4
2020/8/2, 71, 25, 10, 1, , 3
2020/8/3, 49, 21, 9, , , 3
2020/8/4, 39, 23, 8, , , 4
2020/8/5, 47, 16, 7, , , 3
2020/8/6, 33, 13, 6, , , 3
2020/8/7, 21, 14, 7, 1, , 3
2020/8/8, 24, 18, 8, , , 3
2020/8/9, 29, 18, 7, 1, , 4
2020/8/10, 32, 16, 8, 1, , 4
2020/8/11, 31, 21, 8, , , 4
2020/8/12, 34, 17, 6, , , 4
2020/8/13, 29, 17, 6, , , 5
