date, pm25, pm10, o3, no2, so2, co
2021/5/2, 159, 127, 69, 15, 9, 7
2021/5/3, 149, 191, 46, 13, 14, 6
2021/5/4, 168, 104, 47, 14, 8, 6
2021/5/5, 139, 105, 76, 15, 10, 7
2021/5/6, 160, 88, 60, 12, 8, 7
2021/5/7, 141, 74, 78, 17, 9, 7
2021/5/8, 138, 85, 95, 22, 10, 8
2021/5/9, 142, 79, 98, 12, 7, 7
2021/5/10, 138, 75, 70, 18, 7, 8
2021/5/11, 132, 78, 87, 11, 8, 6
2021/5/12, 128, 83, 56, 12, 8, 6
2021/5/13, 119, 60, 53, 13, 4, 7
2021/5/14, 104, 66, 78, 13, 7, 6
2021/5/15, 123, 109, 63, 15, 5, 6
2021/5/16, 114, 87, 88, 1, 5, 17
2021/5/17, 138, 110, 75, , 11, 10
2021/5/18, 167, 44, 22, , 6, 7
2021/5/19, 79, 37, 16, 6, 10, 6
2021/5/20, 97, , , , , 
2021/4/2, 115, 107, 42, 23, 17, 5
2021/4/3, 134, 95, 71, 33, 14, 6
2021/4/4, 128, 123, 69, 35, 20, 7
2021/4/5, 156, 135, 79, 43, 18, 8
2021/4/6, 160, 170, 114, 45, 17, 8
2021/4/7, 183, 145, 74, 22, 13, 5
2021/4/8, 151, 93, 52, 27, 17, 5
2021/4/9, 125, 108, 50, 32, 14, 6
2021/4/10, 129, 118, 75, 34, 18, 7
2021/4/11, 149, 124, 69, 33, 21, 6
2021/4/12, 156, 167, 79, 33, 19, 9
2021/4/13, 181, 165, 58, 29, 21, 9
2021/4/14, 181, 122, 47, 23, 14, 8
2021/4/15, 149, 149, 53, 25, 15, 8
2021/4/16, 169, 181, 9, 25, 9, 8
2021/4/17, 148, 62, 36, 14, 7, 6
2021/4/18, 107, 101, 76, 20, 13, 7
2021/4/19, 151, 143, 54, 27, 13, 11
2021/4/20, 152, 123, 52, 19, 14, 6
2021/4/21, 134, 74, 50, 10, 10, 5
2021/4/22, 116, 78, 68, 16, 8, 6
2021/4/23, 122, 72, 39, 14, 10, 6
2021/4/25, 116, 114, 73, 20, 12, 9
2021/4/26, 154, 190, 96, 26, 18, 14
2021/4/27, 248, 247, 94, 28, 20, 16
2021/4/28, 279, 279, 91, 28, 22, 14
2021/4/29, 282, 247, 77, 24, 20, 9
2021/4/30, 244, 209, 76, 22, 14, 10
2021/5/1, 200, 128, 114, 16, 11, 7
2021/3/2, 157, 105, 77, 15, 8, 16
2021/3/3, 151, 157, 82, 26, 16, 26
2021/3/4, 204, 422, 7, 56, 8, 50
2021/3/5, 295, 106, 68, 22, 8, 19
2021/3/6, 175, 119, 72, 23, 10, 24
2021/3/7, 192, 119, 67, 34, 9, 22
2021/3/8, 197, 102, 62, 27, 5, 21
2021/3/9, 175, 119, 50, 29, 7, 20
2021/3/10, 191, 80, 96, 25, 8, 20
2021/3/11, 151, 112, 74, 34, 11, 24
2021/3/12, 185, 102, 37, 26, 5, 17
2021/3/13, 143, 123, 62, 26, 12, 21
2021/3/14, 192, 87, 80, 20, 10, 17
2021/3/15, 172, 128, 59, 20, 13, 18
2021/3/16, 189, 143, 21, 24, 15, 19
2021/3/17, 192, 165, 36, 28, 15, 19
2021/3/18, 196, 199, 40, 34, 13, 21
2021/3/19, 191, 141, 51, 26, 12, 19
2021/3/20, 175, 161, 44, 26, 16, 20
2021/3/21, 193, 169, 46, 29, 19, 20
2021/3/22, 205, 119, 24, 29, 6, 20
2021/3/23, 153, 122, 11, 30, 12, 49
2021/3/24, 113, 106, 46, 19, 13, 5
2021/3/25, 158, 76, 41, 16, 7, 4
2021/3/26, 131, 90, 41, 24, 12, 6
2021/3/27, 150, 133, 69, 33, 16, 6
2021/3/28, 189, 138, 100, 34, 11, 7
