date, pm25, pm10, o3, no2, so2, co
2021/5/2, 2, , , 2, 2, 4
2021/5/3, 6, , , 3, , 5
2021/5/4, 12, , , 3, 1, 5
2021/5/5, 13, , , 3, 2, 5
2021/5/6, 9, , , 2, , 5
2021/5/7, 24, , , 2, , 5
2021/5/8, 32, , , 1, , 5
2021/5/9, 19, , , 3, , 5
2021/5/10, 22, , , 4, , 5
2021/5/11, 24, , , 3, 1, 6
2021/5/12, 11, , , 5, , 6
2021/5/13, 13, , , 4, , 6
2021/5/14, 13, , , 7, 4, 1
2021/5/15, 35, , , 3, , 1
2021/5/16, 25, , , 1, , 
2021/5/17, 17, , , 2, 2, 
2021/5/18, 27, , , 3, 1, 1
2021/5/19, 16, , , 2, , 
2021/5/20, 7, , , 4, 3, 
2021/5/21, 24, , , 15, 1, 1
2021/5/22, 53, , , , , 
2021/4/2, 26, , , 3, , 6
2021/4/3, 6, , , 9, 1, 6
2021/4/4, 31, , , 3, 1, 6
2021/4/5, 15, , , 4, 2, 6
2021/4/6, 19, , , 9, , 6
2021/4/7, 32, , , 4, 3, 4
2021/4/8, 30, , , 3, , 2
2021/4/9, 6, , , 4, , 2
2021/4/10, 16, , , 4, , 2
2021/4/11, 3, , , 3, , 2
2021/4/12, 7, , , 11, 1, 2
2021/4/13, 19, , , 12, , 2
2021/4/14, 22, , , 6, 3, 2
2021/4/15, 26, , , 18, 3, 3
2021/4/16, 38, , , 17, 1, 4
2021/4/17, 45, , , 8, 6, 3
2021/4/18, 33, , , 2, 2, 2
2021/4/19, 15, , , 7, , 3
2021/4/20, 11, , , 12, , 3
2021/4/21, 26, , , 5, , 3
2021/4/22, 20, , , 1, , 3
2021/4/23, 5, , , 5, , 3
2021/4/24, 9, , , 10, 1, 4
2021/4/25, 28, , , 10, 1, 3
2021/4/26, 20, , , 6, 1, 4
2021/4/27, 28, , , 3, 1, 4
2021/4/28, 27, , , 3, 1, 4
2021/4/29, 18, , , 6, , 4
2021/4/30, 23, , , 4, , 4
2021/5/1, 8, , , 1, 12, 5
2021/3/2, 34, , , 15, 1, 5
2021/3/3, 24, , , 18, 1, 5
2021/3/4, 58, , , 16, 1, 6
2021/3/5, 53, , , 12, 1, 6
2021/3/6, 45, , , 13, 1, 6
2021/3/7, 27, , , 16, 1, 7
2021/3/8, 29, , , 14, 5, 7
2021/3/9, 34, , , 7, 1, 6
2021/3/10, 46, , , 10, 1, 6
2021/3/11, 21, , , 18, 1, 5
2021/3/12, 25, , , 13, 1, 2
2021/3/13, 32, , , 12, , 2
2021/3/14, 31, , , 10, , 3
2021/3/15, 19, , , 6, 2, 2
2021/3/16, 22, , , 10, 1, 3
2021/3/17, 24, , , 18, 1, 4
2021/3/18, 40, , , 9, , 3
2021/3/19, 23, , , 11, , 4
2021/3/20, 29, , , 8, 1, 3
2021/3/21, 20, , , 4, 1, 3
2021/3/22, 15, , , 5, , 4
2021/3/23, 19, , , 8, 2, 4
2021/3/24, 18, , , 10, 1, 4
2021/3/25, 21, , , 3, , 4
2021/3/26, 21, , , 5, 2, 4
2021/3/27, 17, , , 3, 1, 4
2021/3/28, 18, , , 6, , 5
2021/3/29, 16, , , 1, 1, 5
2021/3/30, 13, , , 7, , 5
2021/3/31, 20, , , 5, 2, 5
2021/4/1, 22, , , 6, 1, 5
2021/2/2, 80, , , 7, 1, 3
2021/2/3, 44, , , 11, , 3
2021/2/4, 31, , , 16, 1, 4
2021/2/5, 38, , , 14, 2, 3
2021/2/6, 26, , , 22, 4, 4
2021/2/7, 39, , , 27, 2, 5
2021/2/8, 65, , , 19, 1, 5
2021/2/9, 58, , , 5, 1, 4
2021/2/10, 18, , , 6, , 4
2021/2/11, 18, , , 5, , 5
2021/2/12, 10, , , 7, 4, 5
2021/2/13, 21, , , 8, 1, 5
2021/2/14, 18, , , 5, 1, 6
2021/2/15, 16, , , 6, , 6
2021/2/16, 20, , , 18, 2, 7
2021/2/17, 38, , , 22, 1, 8
2021/2/18, 46, , , 21, 1, 7
2021/2/19, 22, , , 16, 1, 2
2021/2/20, 26, , , 13, 1, 2
2021/2/21, 20, , , 4, 1, 2
2021/2/22, 10, , , 3, , 2
2021/2/23, 10, , , 4, 1, 3
2021/2/24, 11, , , 8, 1, 3
2021/2/25, 14, , , 8, 1, 3
2021/2/26, 18, , , 5, 1, 3
2021/2/27, 22, , , 9, 1, 4
2021/2/28, 43, , , 9, 2, 4
2021/3/1, 51, , , 17, 1, 5
2021/1/5, 9, , , 10, , 15
2021/1/6, 22, , , 14, 1, 15
2021/1/7, 12, , , 28, 1, 17
2021/1/8, 39, , , 22, 1, 17
2021/1/9, 62, , , 25, , 17
2021/1/10, 57, , , 20, , 18
2021/1/11, 50, , , 24, , 18
2021/1/12, 34, , , 22, , 13
2021/1/13, 22, , , 13, 2, 2
2021/1/14, 32, , , 10, , 3
2021/1/15, 9, , , 8, 1, 2
2021/1/16, 9, , , 3, 2, 3
2021/1/17, 8, , , 7, 1, 3
2021/1/18, 15, , , 3, 5, 3
2021/1/19, 3, , , 10, 1, 4
2021/1/20, 9, , , 1, 2, 4
2021/1/21, 4, , , 12, 1, 4
2021/1/22, 10, , , 4, 1, 5
2021/1/23, 29, , , 6, 7, 5
2021/1/24, 20, , , 4, , 
2021/1/25, 4, , , 5, , 1
2021/1/26, 17, , , 5, , 1
2021/1/27, 15, , , 12, 3, 1
2021/1/28, 36, , , 26, , 2
2021/1/29, 61, , , 20, 1, 2
2021/1/30, 70, , , , , 
2021/2/1, 100, , , 19, 1, 3
2020/10/2, 34, , , 8, , 2
2020/10/3, 36, , , 8, , 3
2020/10/4, 41, , , 7, 1, 2
2020/10/5, 54, , , 4, 1, 2
2020/10/6, 11, , , 3, , 2
2020/10/7, 14, , , 10, , 2
2020/10/8, 22, , , 5, , 2
2020/10/9, 14, , , 8, 1, 2
2020/10/10, 8, , , 7, 14, 2
2020/10/11, 24, , , 1, , 2
2020/10/12, 4, , , 2, , 2
2020/10/13, 3, , , 7, 2, 2
2020/10/14, 12, , , 3, , 2
2020/10/15, 6, , , 3, , 2
2020/10/16, 8, , , 10, 1, 2
2020/10/17, 13, , , 3, , 2
2020/10/18, 3, , , 3, , 2
2020/10/19, 12, , , 3, , 2
2020/10/20, 26, , , 10, 2, 3
2020/10/21, 19, , , 6, , 3
2020/10/22, 14, , , 5, , 3
2020/10/23, 6, , , 8, 4, 3
2020/10/24, 17, , , 6, , 3
2020/10/25, 12, , , 7, , 3
2020/10/26, 17, , , 7, , 3
2020/10/27, 21, , , 5, 1, 3
2020/10/28, 5, , , 12, 1, 4
2020/10/29, 18, , , 7, 2, 2
2020/10/30, 28, , , 4, , 1
2020/10/31, 30, , , 7, 1, 2
2020/11/1, 22, , , 8, 2, 1
2020/11/2, 17, , , 13, 1, 1
2020/11/3, 17, , , 27, 2, 4
2020/11/4, 45, , , 10, 1, 1
2020/11/5, 21, , , 7, 1, 
2020/11/6, 20, , , 7, , 1
2020/11/7, 25, , , 4, 1, 1
2020/11/8, 29, , , 7, , 1
2020/11/9, 15, , , 19, , 1
2020/11/10, 24, , , 6, , 1
2020/11/11, 10, , , 7, , 1
2020/11/12, 13, , , 22, 1, 1
2020/11/13, 27, , , 33, , 3
2020/11/14, 45, , , 12, , 2
2020/11/15, 46, , , 16, 1, 2
2020/11/16, 46, , , 12, 5, 2
2020/11/17, 70, , , 7, , 2
2020/11/18, 37, , , 6, , 2
2020/11/19, 44, , , 12, , 2
2020/11/20, 18, , , 23, 1, 3
2020/11/21, 55, , , 17, , 4
2020/11/22, 31, , , 14, , 3
2020/11/23, 33, , , 15, 1, 4
2020/11/24, 65, , , 22, 1, 5
2020/11/25, 48, , , 9, 1, 4
2020/11/26, 18, , , 9, 1, 4
2020/11/27, 12, , , 17, 1, 6
2020/11/28, 18, , , 11, 1, 6
2020/11/29, 25, , , 16, , 6
2020/11/30, 31, , , 12, , 6
2020/12/1, 17, , , 9, , 7
2020/12/2, 12, , , 26, , 8
2020/12/3, 28, , , 25, , 10
2020/12/4, 37, , , 24, 1, 10
2020/12/5, 34, , , 19, , 10
