date, pm25, pm10, o3, no2, so2, co
2021/5/2, 42, , 37, 2, , 
2021/5/3, 30, , 28, 2, , 
2021/5/4, 72, , 32, 10, , 
2021/5/5, 66, , 31, 9, , 
2021/5/6, 24, , 31, 13, , 
2021/5/7, 33, , 46, 13, , 
2021/5/8, 42, , 34, 6, , 
2021/5/9, 34, , 25, 2, , 
2021/5/10, 43, , 21, 5, , 
2021/5/11, 45, , 19, 5, , 
2021/5/12, 39, , 15, 7, , 
2021/5/13, 20, , 22, 10, , 
2021/5/14, 36, , 48, 12, , 
2021/5/15, 42, , 38, 6, , 
2021/5/16, 31, , 30, 5, , 
2021/5/17, 30, , 26, 7, , 
2021/5/18, 35, , 30, 13, , 
2021/4/2, 44, , , 11, , 
2021/4/3, 43, , , 12, , 
2021/4/4, 34, , , 9, , 
2021/4/5, 46, , , 8, , 
2021/4/6, 38, , 26, 3, , 
2021/4/7, 35, , 28, 2, , 
2021/4/8, 48, , 42, 13, , 
2021/4/9, 48, , 21, 3, , 
2021/4/10, 56, , 38, 10, , 
2021/4/11, 51, , 68, 9, , 
2021/4/12, 43, , 44, 10, , 
2021/4/13, 48, , 36, 11, , 
2021/4/14, 58, , 27, 8, , 
2021/4/15, 39, , 25, 9, , 
2021/4/16, 31, , 12, 13, , 
2021/4/17, 38, , 16, 5, , 
2021/4/18, 19, , 24, 8, , 
2021/4/19, 29, , 39, 10, , 
2021/4/20, 39, , 59, 14, , 
2021/4/21, 42, , 30, 10, , 
2021/4/22, 27, , 37, 12, , 
2021/4/23, 61, , 24, 10, , 
2021/4/24, 50, , 37, 7, , 
2021/4/25, 44, , 40, 5, , 
2021/4/26, 28, , 41, 8, , 
2021/4/27, 29, , 22, 6, , 
2021/4/28, 43, , 18, 3, , 
2021/4/29, 55, , 23, 9, , 
2021/4/30, 59, , 14, 11, , 
2021/5/1, 42, , 18, 6, , 
2021/3/2, 24, , 27, 12, , 
2021/3/3, 18, , 40, 17, , 
2021/3/4, 33, , 36, 16, , 
2021/3/5, 44, , 21, 13, , 
2021/3/6, 46, , 29, 7, , 
2021/3/7, 34, , 42, 9, , 
2021/3/8, 39, , 35, 16, , 
2021/3/9, 58, , 35, 12, , 
2021/3/10, 44, , 31, 6, , 
2021/3/11, 35, , 31, 5, , 
2021/3/12, 37, , 30, 8, , 
2021/3/13, 38, , 31, 7, , 
2021/3/14, 33, , 24, 5, , 
2021/3/15, 30, , 20, 13, , 
2021/3/16, 52, , 16, 9, , 
2021/3/17, 43, , 35, 7, , 
2021/3/18, 50, , 29, 9, , 
2021/3/19, 15, , 31, 13, , 
2021/3/20, 31, , 33, 10, , 
2021/3/21, 38, , 40, 9, , 
2021/3/22, 47, , 35, 12, , 
2021/3/23, 39, , 37, 15, , 
2021/3/24, 60, , 29, 10, , 
2021/3/25, 49, , 36, 14, , 
2021/3/26, 40, , 36, 15, , 
2021/3/27, 55, , 19, 4, , 
2021/3/28, 50, , 24, 9, , 
2021/3/29, 47, , 35, 10, , 
2021/3/30, 40, , 18, 5, , 
2021/3/31, 41, , 31, 6, , 
2021/4/1, 44, , 22, 13, , 
2021/2/2, 32, , 28, 16, , 
2021/2/3, 43, , 32, 16, , 
2021/2/4, 39, , 29, 5, , 
2021/2/5, 32, , 19, 12, , 
2021/2/6, 30, , 17, 15, , 
2021/2/7, 47, , 29, 9, , 
2021/2/8, 31, , 22, 14, , 
2021/2/9, 39, , 10, 18, , 
2021/2/10, 56, , 6, 10, , 
2021/2/11, 58, , 5, 6, , 
2021/2/12, 25, , 11, 7, , 
2021/2/13, 48, , 15, 7, , 
2021/2/14, 56, , 18, 5, , 
2021/2/15, 43, , 30, 3, , 
2021/2/16, 28, , 28, 6, , 
2021/2/17, 50, , 19, 6, , 
2021/2/18, 51, , 28, 5, , 
2021/2/20, 58, , 34, 16, , 
2021/2/21, 66, , 37, 12, , 
2021/2/22, 38, , 33, 19, , 
2021/2/23, 42, , 43, 12, , 
2021/2/24, 49, , 24, 7, , 
2021/2/25, 29, , 12, 10, , 
2021/2/26, 30, , 18, 6, , 
2021/2/27, 42, , 18, 6, , 
2021/2/28, 45, , 19, 3, , 
2021/3/1, 48, , 20, 6, , 
2021/1/5, 38, , 29, 17, , 
2021/1/6, 46, , 31, 12, , 
2021/1/7, 35, , 18, 10, , 
2021/1/8, 19, , 15, 16, , 
2021/1/9, 30, , 23, 13, , 
2021/1/10, 45, , 16, 7, , 
2021/1/11, 35, , 17, 8, , 
2021/1/12, 45, , 18, 19, , 
2021/1/13, 58, , 26, 17, , 
2021/1/14, 41, , 32, 17, , 
2021/1/15, 37, , 25, 17, , 
2021/1/16, 20, , 25, 16, , 
2021/1/17, 70, , 32, 20, , 
2021/1/18, 104, , 27, 23, , 
2021/1/19, 71, , 34, 12, , 
2021/1/20, 32, , 19, 14, , 
2021/1/21, 57, , 13, 11, , 
2021/1/22, 36, , 7, 12, , 
2021/1/23, 32, , 13, 6, , 
2021/1/24, 28, , 17, 6, , 
2021/1/25, 36, , 14, 11, , 
2021/1/26, 36, , 23, 19, , 
2021/1/27, 40, , 26, 11, , 
