date, pm25
2021/5/2, 127
2021/5/3, 88
2021/5/4, 91
2021/5/5, 96
2021/5/6, 81
2021/5/7, 70
2021/5/8, 56
2021/5/9, 49
2021/5/10, 49
2021/5/11, 62
2021/5/12, 83
2021/5/13, 74
2021/5/14, 79
2021/5/15, 83
2021/5/16, 42
2021/5/17, 56
2021/5/18, 56
2021/5/19, 61
2021/5/20, 53
2021/5/21, 25
2021/4/2, 159
2021/4/3, 170
2021/4/4, 170
2021/4/5, 159
2021/4/6, 153
2021/4/7, 147
2021/4/8, 140
2021/4/9, 151
2021/4/10, 149
2021/4/11, 118
2021/4/12, 80
2021/4/13, 109
2021/4/14, 95
2021/4/15, 83
2021/4/16, 97
2021/4/17, 115
2021/4/18, 119
2021/4/19, 135
2021/4/20, 143
2021/4/21, 134
2021/4/22, 128
2021/4/23, 112
2021/4/24, 100
2021/4/25, 120
2021/4/26, 143
2021/4/27, 106
2021/4/28, 110
2021/4/29, 112
2021/4/30, 140
2021/5/1, 113
2021/3/2, 155
2021/3/3, 152
2021/3/4, 153
2021/3/5, 156
2021/3/6, 152
2021/3/7, 147
2021/3/8, 156
2021/3/9, 148
2021/3/10, 128
2021/3/11, 115
2021/3/12, 98
2021/3/13, 84
2021/3/14, 85
2021/3/15, 122
2021/3/16, 141
2021/3/17, 155
2021/3/18, 153
2021/3/19, 154
2021/3/20, 125
2021/3/21, 140
2021/3/22, 143
2021/3/23, 171
2021/3/24, 155
2021/3/25, 164
2021/3/26, 163
2021/3/27, 173
2021/3/28, 171
2021/3/29, 159
2021/3/30, 162
2021/3/31, 163
2021/4/1, 152
2021/2/9, 160
2021/2/10, 167
2021/2/11, 172
2021/2/12, 154
2021/2/13, 138
2021/2/14, 140
2021/2/15, 139
2021/2/16, 138
2021/2/17, 149
2021/2/18, 148
2021/2/19, 147
2021/2/20, 154
2021/2/21, 154
2021/2/22, 112
2021/2/23, 148
2021/2/24, 163
2021/2/25, 157
2021/2/26, 158
2021/2/27, 164
2021/2/28, 174
2021/3/1, 170
2021/1/5, 157
2021/1/6, 134
2021/1/7, 137
2021/1/8, 139
2021/1/9, 135
2021/1/10, 106
2021/1/11, 131
2021/1/12, 168
2021/1/13, 182
2021/1/14, 167
2021/1/15, 158
2021/1/16, 168
2021/1/17, 161
2021/1/18, 151
2021/1/19, 138
2021/1/20, 147
2021/1/21, 141
2021/1/22, 154
2021/1/23, 156
2021/1/24, 160
2021/1/25, 154
2021/1/26, 151
2021/1/27, 145
2021/1/28, 154
2021/1/29, 159
2021/1/30, 158
2021/1/31, 157
2021/2/1, 171
2020/10/2, 107
2020/10/3, 100
2020/10/4, 111
2020/10/5, 110
2020/10/6, 111
2020/10/7, 133
2020/10/8, 153
