date, pm25, pm10, o3, no2, so2, co
2021/5/2, 64, 25, 44, 15, 5, 6
2021/5/3, 56, 41, 68, 29, 4, 5
2021/5/4, 83, 33, 33, 44, 4, 9
2021/5/5, 71, 41, 39, 13, 4, 5
2021/5/6, 56, 69, 67, 29, 5, 5
2021/5/7, 78, 364, 42, 22, 3, 4
2021/5/8, 154, 345, 48, 19, 4, 4
2021/5/9, 169, 53, 53, 19, 5, 4
2021/5/10, 61, 30, 29, 43, 4, 5
2021/5/11, 61, 27, 36, 30, 4, 4
2021/5/12, 50, 37, 68, 41, 4, 4
2021/5/13, 69, 67, 102, 62, 6, 7
2021/5/14, 139, 58, 39, 44, 6, 6
2021/5/15, 105, 49, 36, 32, 5, 5
2021/5/16, 95, 22, 26, 18, 5, 4
2021/5/17, 39, 44, 24, 28, 5, 5
2021/5/18, 62, 40, 44, 33, 6, 6
2021/5/19, 77, 51, 88, 41, 8, 7
2021/5/20, 112, 52, 45, 52, 6, 7
2021/5/21, 94, 27, 41, 29, 5, 5
2021/5/22, 65, 23, 37, 24, 7, 5
2021/5/23, 62, , , , , 
2021/4/2, 88, 53, 36, 44, 6, 5
2021/4/3, 78, 47, 27, 46, 7, 8
2021/4/4, 84, 18, 37, 15, 5, 4
2021/4/5, 47, 36, 39, 36, 5, 6
2021/4/6, 72, 49, 59, 44, 6, 5
2021/4/7, 95, 63, 54, 41, 6, 6
2021/4/8, 127, 46, 44, 37, 4, 4
2021/4/9, 80, 44, 47, 40, 6, 5
2021/4/10, 81, 39, 60, 26, 5, 6
2021/4/11, 79, 52, 68, 38, 5, 6
2021/4/12, 100, 47, 31, 45, 4, 5
2021/4/13, 92, 21, 35, 21, 3, 4
2021/4/14, 53, 33, 47, 23, 5, 4
2021/4/15, 69, 51, 65, 35, 5, 5
2021/4/16, 89, 71, 39, 34, 5, 4
2021/4/17, 97, 82, 36, 37, 5, 5
2021/4/18, 92, 37, 48, 16, 4, 4
2021/4/19, 67, 51, 65, 30, 5, 5
2021/4/20, 86, 60, 73, 47, 7, 6
2021/4/21, 108, 75, 106, 71, 9, 8
2021/4/22, 133, 71, 94, 59, 10, 8
2021/4/23, 135, 62, 50, 48, 6, 6
2021/4/24, 108, 38, 43, 31, 6, 5
2021/4/25, 72, 40, 51, 27, 5, 4
2021/4/26, 78, 48, 50, 27, 5, 4
2021/4/27, 73, 61, 42, 36, 6, 5
2021/4/28, 79, 76, 47, 35, 5, 6
2021/4/29, 104, 76, 52, 47, 5, 6
2021/4/30, 108, 35, 47, 23, 4, 4
2021/5/1, 71, 28, 41, 21, 5, 6
2021/3/2, 76, 23, 32, 26, 5, 6
2021/3/3, 57, 48, 29, 47, 6, 8
2021/3/4, 104, 51, 22, 58, 7, 9
2021/3/5, 107, 49, 3, 55, 8, 13
2021/3/6, 105, 49, 24, 33, 5, 8
2021/3/7, 107, 35, 34, 23, 4, 17
2021/3/8, 76, 56, 30, 54, 5, 14
2021/3/9, 115, 57, 37, 49, 5, 8
2021/3/10, 115, 79, 44, 70, 6, 10
2021/3/11, 158, 99, 57, 77, 8, 11
2021/3/12, 177, 80, 34, 54, 6, 9
2021/3/13, 150, 56, 43, 36, 5, 6
2021/3/14, 124, 68, 47, 34, 5, 9
2021/3/15, 156, 76, 49, 21, 5, 9
2021/3/16, 158, 86, 40, 22, 5, 5
2021/3/17, 85, 83, 27, 42, 5, 6
2021/3/18, 91, 89, 43, 64, 9, 9
2021/3/19, 135, 76, 46, 56, 9, 8
2021/3/20, 133, 48, 113, 35, 6, 5
2021/3/21, 101, 50, 55, 16, 4, 6
2021/3/22, 115, 47, 38, 26, 4, 5
2021/3/23, 80, 71, 44, 32, 5, 6
2021/3/24, 113, 60, 49, 33, 5, 5
2021/3/25, 104, 53, 71, 41, 6, 6
2021/3/26, 101, 98, 51, 68, 7, 10
2021/3/27, 169, 68, 32, 63, 7, 9
2021/3/28, 129, 25, 43, 18, 4, 5
2021/3/29, 65, 365, 34, 30, 5, 9
2021/3/30, 169, 152, 40, 46, 7, 8
2021/3/31, 123, 68, 40, 69, 10, 11
2021/4/1, 120, 57, 40, 48, 6, 7
2021/2/2, 110, 35, 27, 22, 4, 5
2021/2/3, 73, 41, 26, 32, 4, 5
2021/2/4, 84, 28, 28, 34, 5, 5
2021/2/5, 66, 36, 23, 43, 6, 6
2021/2/6, 77, 52, 34, 35, 5, 6
2021/2/7, 109, 66, 31, 27, 5, 8
2021/2/8, 137, 30, 26, 22, 5, 5
2021/2/9, 70, 33, 25, 38, 5, 7
2021/2/10, 75, 39, 26, 44, 5, 6
2021/2/11, 88, 63, 32, 48, 5, 8
2021/2/12, 140, 85, 41, 62, 5, 12
2021/2/13, 172, 87, 42, 59, 6, 12
2021/2/14, 173, 83, 42, 67, 10, 13
2021/2/15, 169, 49, 31, 26, 5, 5
2021/2/16, 102, 27, 29, 27, 5, 5
2021/2/17, 66, 40, 27, 19, 4, 4
2021/2/18, 64, 48, 30, 23, 5, 5
2021/2/19, 70, 48, 35, 35, 5, 6
2021/2/20, 88, 66, 40, 51, 5, 9
2021/2/21, 133, 64, 47, 31, 6, 7
2021/2/22, 135, 55, 37, 42, 5, 8
2021/2/23, 104, 56, 30, 25, 5, 4
2021/2/24, 72, 60, 24, 44, 6, 7
2021/2/25, 103, 66, 6, 74, 7, 12
2021/2/26, 131, 56, 27, 55, 6, 10
2021/2/27, 106, 35, 33, 35, 5, 16
2021/2/28, 75, 32, 27, 34, 6, 6
2021/3/1, 73, 33, 27, 33, 6, 6
2021/1/5, 84, 35, 27, 29, 5, 7
2021/1/6, 72, 35, 25, 30, 6, 7
2021/1/7, 68, 33, 24, 19, 4, 6
