date, pm25, pm10, so2, co
2021/5/2, 96, 63, , 
2021/5/3, 107, 40, , 
2021/5/4, 48, 25, , 
2021/5/5, 19, 33, , 
2021/5/6, 36, 42, 1, 
2021/5/7, 55, 57, , 
2021/5/8, 94, 53, , 
2021/5/9, 89, 54, , 
2021/5/10, 95, 50, , 
2021/5/11, 84, 37, , 
2021/5/12, 57, 61, , 
2021/5/13, 95, 75, 1, 
2021/5/14, 112, 112, , 
2021/5/15, 171, 104, , 
2021/5/16, 160, 98, , 
2021/5/17, 164, 62, , 
2021/5/18, 116, 83, , 
2021/5/19, 144, 58, 1, 
2021/5/20, 89, 39, 1, 
2021/5/21, 43, 21, , 
2021/5/22, 27, , , 
2021/4/2, 41, 39, , 
2021/4/3, 37, 50, , 
2021/4/4, 47, 44, , 
2021/4/5, 49, 52, , 
2021/4/6, 56, 54, , 
2021/4/7, 62, 50, 1, 
2021/4/8, 51, 47, , 
2021/4/9, 50, 20, , 
2021/4/10, 23, 14, , 
2021/4/11, 14, 14, , 
2021/4/12, 27, 28, , 
2021/4/13, 33, 54, , 
2021/4/14, 74, 62, , 
2021/4/15, 100, 55, , 
2021/4/16, 78, 84, , 
2021/4/17, 134, 66, , 
2021/4/18, 110, 47, , 
2021/4/19, 90, 54, , 
2021/4/20, 71, 47, 2, 
2021/4/21, 46, 45, , 
2021/4/22, 33, 47, 1, 
2021/4/23, 49, 44, 1, 
2021/4/24, 42, 14, , 
2021/4/25, 14, 22, 1, 
2021/4/26, 22, 62, 1, 
2021/4/27, 85, 65, 1, 
2021/4/28, 104, 58, , 
2021/4/29, 86, 66, , 
2021/4/30, 86, 52, , 
2021/5/1, 70, 63, , 
2021/3/2, 35, 50, , 
2021/3/3, 39, 47, , 
2021/3/4, 23, 45, , 
2021/3/5, 34, 45, , 
2021/3/6, 69, 39, , 
2021/3/7, 38, 65, , 
2021/3/8, 89, 77, , 
2021/3/9, 91, 61, 2, 
2021/3/10, 39, 68, , 
2021/3/11, 57, 68, , 
2021/3/12, 74, 63, , 
2021/3/13, 44, 64, , 
2021/3/14, 58, 69, , 
2021/3/15, 67, 52, , 
2021/3/16, 43, 25, , 
2021/3/17, 29, 25, , 
2021/3/18, 19, 30, , 
2021/3/19, 30, 45, , 
2021/3/20, 50, 17, , 
2021/3/21, 18, 34, , 
2021/3/22, 31, 43, , 
2021/3/23, 43, 62, , 
2021/3/24, 94, 40, , 
2021/3/25, 53, 21, , 
2021/3/26, 26, 20, , 
2021/3/27, 26, 15, , 
2021/3/28, 9, 18, , 
2021/3/29, 15, 29, , 
2021/3/30, 22, 40, , 
2021/3/31, 36, 42, , 
2021/4/1, 42, 45, , 
2021/2/2, 9, 22, , 
2021/2/3, 19, 29, 1, 
2021/2/4, 23, 28, 1, 
2021/2/5, 29, 36, , 
2021/2/6, 36, 49, , 
2021/2/7, 59, 43, 1, 
2021/2/8, 48, 25, , 
2021/2/9, 16, 22, 2, 
