date, pm25, pm10, o3, no2, so2, co
2021/5/2, 67, 26, 36, 4, 1, 1
2021/5/3, 58, 35, 36, 9, 1, 2
2021/5/4, 67, 42, 47, 15, 1, 3
2021/5/5, 75, 41, 38, 13, 1, 3
2021/5/6, 82, 35, 33, 8, 1, 2
2021/5/7, 71, 25, 38, 9, , 2
2021/5/8, 62, 26, 42, 6, 1, 2
2021/5/9, 61, 32, 44, 5, 1, 2
2021/5/10, 67, 31, 35, 7, 1, 2
2021/5/11, 61, 28, 42, 7, , 2
2021/5/12, 63, 31, 40, 7, , 2
2021/5/13, 63, 22, 39, 5, , 2
2021/5/14, 53, 23, 41, 7, 1, 2
2021/5/15, 60, 17, 38, 4, , 1
2021/5/16, 49, 9, 33, 3, , 1
2021/5/17, 35, 13, 35, 6, , 1
2021/5/18, 40, 18, 27, 5, , 2
2021/5/19, 50, , , , , 
2021/4/2, 38, 35, 43, 19, 1, 3
2021/4/3, 57, 38, 46, 11, 1, 3
2021/4/4, 71, 34, 53, 15, 1, 3
2021/4/5, 60, 31, 33, 13, 1, 2
2021/4/6, 54, 36, 38, 11, 1, 2
2021/4/7, 59, 34, 41, 15, 1, 4
2021/4/8, 60, 36, 38, 16, 1, 3
2021/4/9, 60, 39, 42, 16, 1, 4
2021/4/10, 61, , 43, 15, 1, 3
2021/4/11, 57, , 43, 8, 1, 2
2021/4/14, 54, 30, 39, 6, , 1
2021/4/15, 59, 35, 39, 12, 1, 2
2021/4/16, 63, 41, 33, 12, 1, 3
2021/4/17, 72, 39, 42, 13, 1, 3
2021/4/18, 72, 28, 45, 11, 1, 3
2021/4/19, 49, 32, 46, 18, 1, 4
2021/4/20, 60, 35, 40, 11, 1, 2
2021/4/21, 71, 22, 35, 5, 1, 1
2021/4/22, 52, 17, 35, 4, 1, 1
2021/4/23, 47, 22, 33, 6, 1, 1
2021/4/24, 55, 20, 37, 3, , 1
2021/4/25, 54, 16, 36, 3, 1, 1
2021/4/26, 47, 12, 34, 3, 1, 1
2021/4/27, 31, 18, 36, 6, 1, 1
2021/4/28, 43, 31, 38, 19, 1, 3
2021/4/29, 55, 36, 50, 25, 1, 5
2021/4/30, 64, 38, 58, 22, 1, 4
2021/5/1, 65, 35, 38, 11, 1, 2
2021/3/2, 23, 24, 33, 22, , 4
2021/3/3, 26, 20, 33, 22, , 3
2021/3/4, 37, 18, 36, 18, , 3
2021/3/5, 36, 27, 41, 24, 1, 4
2021/3/6, 43, 38, 5, 35, 1, 5
2021/3/7, 68, 18, 31, 7, , 2
2021/3/8, 40, 19, 35, 6, , 1
2021/3/9, 29, 22, 36, 12, , 3
2021/3/10, 31, 7, 34, 4, , 1
2021/3/11, 18, 6, 36, 8, , 2
2021/3/12, 19, 12, 34, 15, , 3
2021/3/13, 30, 21, 34, 11, , 3
2021/3/14, 49, 24, 38, 6, , 2
2021/3/15, 45, 12, 33, 6, , 1
2021/3/16, 18, 11, 32, 10, , 2
2021/3/17, 24, 24, 36, 18, , 4
2021/3/18, 47, 29, 40, 20, 1, 4
2021/3/19, 53, 25, 31, 19, 1, 4
2021/3/20, 49, 18, 38, 9, , 2
2021/3/21, 41, 23, 39, 11, , 2
2021/3/22, 48, 25, 37, 12, 1, 2
2021/3/23, 41, 30, 37, 9, , 2
2021/3/24, 35, 23, 38, 8, , 2
2021/3/25, 20, 25, 34, 7, , 1
2021/3/26, 48, 23, 35, 11, 1, 2
2021/3/27, 35, 27, 39, 18, 1, 4
2021/3/28, 51, 20, 50, 15, 1, 3
2021/3/29, 35, 30, 40, 23, 1, 4
2021/3/30, 49, 37, 43, 14, 1, 2
2021/3/31, 65, 37, 47, 25, 1, 5
2021/4/1, 53, 29, 41, 24, 1, 3
2021/2/2, 34, 25, 25, 24, 1, 6
2021/2/3, 50, 24, 22, 17, 1, 6
2021/2/4, 46, 29, 24, 18, , 4
2021/2/5, 52, 27, 32, 23, , 6
2021/2/6, 53, 35, 28, 27, , 7
2021/2/7, 68, 34, 32, 23, 1, 6
2021/2/8, 73, 35, 33, 18, 1, 3
2021/2/9, 70, 30, 31, 11, , 2
2021/2/10, 58, 32, 35, 20, , 4
2021/2/11, 63, 36, 36, 21, , 5
2021/2/12, 66, 23, 30, 16, 1, 2
2021/2/13, 41, 23, 34, 11, , 2
2021/2/14, 37, 13, 35, 1, , 
2021/2/15, 14, 25, 22, 16, 1, 2
2021/2/16, 37, 26, 35, 9, , 2
2021/2/17, 40, 20, 33, 12, , 2
2021/2/18, 29, 24, 36, 20, 1, 4
2021/2/19, 34, 27, 30, 25, 1, 4
2021/2/20, 43, 32, 35, 16, 1, 4
2021/2/21, 42, 26, 37, 19, , 4
2021/2/22, 29, 24, 33, 24, 1, 5
2021/2/23, 31, 25, 33, 25, 1, 4
2021/2/24, 33, 33, 37, 28, 1, 5
2021/2/25, 54, 45, 35, 21, , 3
2021/2/26, 57, 35, 32, 26, 1, 4
2021/2/27, 40, 36, 35, 18, 1, 3
2021/2/28, 51, 32, 39, 18, , 4
2021/3/1, 43, 22, 35, 21, , 4
2021/1/5, 59, 37, 16, 22, , 7
2021/1/6, 69, 36, 17, 29, 1, 8
2021/1/7, 61, 36, 14, 31, 1, 10
2021/1/8, 56, 42, 28, 34, 1, 9
2021/1/9, 63, 43, 22, 29, 1, 7
2021/1/10, 63, 22, 28, 20, 1, 5
