date, pm25, o3, no2, so2, co
2021/5/2, 14, 26, 5, 5, 6
2021/5/3, 22, 18, 10, 7, 6
2021/5/4, 21, 16, 8, 9, 6
2021/5/5, 27, 13, 6, 5, 6
2021/5/6, 24, 21, 8, 5, 6
2021/5/7, 9, 24, 6, 6, 6
2021/5/8, 16, 22, 5, 5, 6
2021/5/9, 17, 20, 6, 5, 6
2021/5/10, 19, 25, 11, 8, 6
2021/5/11, 23, 16, 6, 7, 6
2021/5/12, 19, 20, 7, 5, 6
2021/5/13, 16, 25, 7, 5, 6
2021/5/14, 28, 23, 12, 5, 6
2021/5/15, 33, 32, 6, 5, 6
2021/5/16, 32, 31, 7, 6, 
2021/5/17, 38, 36, 11, 5, 6
2021/5/18, 42, 29, 8, , 
2021/5/19, 41, 28, 15, 15, 
2021/5/20, 49, 37, 17, 6, 
2021/5/21, 61, 35, 20, , 
2021/5/22, 64, , , , 
2021/4/2, 19, 27, 7, 5, 6
2021/4/3, 20, 25, 8, 6, 6
2021/4/4, 26, 29, 6, 8, 6
2021/4/5, 41, 28, 5, 5, 6
2021/4/6, 36, 24, 9, 5, 6
2021/4/7, 25, 22, 11, 5, 6
2021/4/8, 39, 22, 7, 6, 6
2021/4/9, 40, 28, 12, 7, 6
2021/4/10, 24, 25, 10, 11, 6
2021/4/11, 42, 24, 5, 13, 6
2021/4/12, 21, 20, 5, 5, 6
2021/4/13, 20, 25, 5, 5, 6
2021/4/14, 27, 23, 7, 7, 6
2021/4/15, 32, 22, 9, 5, 6
2021/4/16, 45, 24, 6, 5, 6
2021/4/17, 20, 24, 6, 5, 6
2021/4/18, 31, 23, 6, 5, 6
2021/4/19, 35, 27, 9, 5, 6
2021/4/20, 40, 21, 7, 5, 6
2021/4/21, 17, 21, 5, 5, 6
2021/4/22, 14, 23, 6, 19, 6
2021/4/23, 16, 28, 8, 24, 6
2021/4/24, 36, 33, 7, 12, 6
2021/4/25, 45, 31, 11, 12, 6
2021/4/26, 52, 24, 5, 5, 6
2021/4/27, 15, 28, 9, 5, 6
2021/4/28, 25, 22, 15, 6, 6
2021/4/29, 45, 26, 10, 8, 
2021/4/30, 41, 22, 6, 5, 
2021/5/1, 17, 27, 3, 7, 
2021/3/2, 21, 22, 7, 5, 6
2021/3/3, 13, 24, 11, 5, 6
2021/3/4, 42, 24, 9, 35, 6
2021/3/5, 15, 20, 8, 29, 6
2021/3/6, 29, 22, 4, 5, 6
2021/3/7, 19, 22, 6, 6, 6
2021/3/8, 21, 22, 11, 7, 6
2021/3/9, 29, 21, 20, 5, 9
2021/3/10, 50, 26, 19, 7, 8
2021/3/11, 47, 30, 12, 6, 6
2021/3/12, 60, 24, 5, 5, 6
2021/3/13, 16, 22, 5, 5, 6
2021/3/14, 14, 24, 5, 5, 6
2021/3/15, 15, 21, 7, 5, 6
2021/3/16, 15, 17, 24, 5, 6
2021/3/17, 38, 22, 20, 7, 6
2021/3/18, 52, 23, 9, 5, 6
2021/3/19, 38, 24, 7, 5, 6
2021/3/20, 21, 26, 9, 5, 6
2021/3/21, 34, 28, 10, 5, 6
2021/3/22, 47, 26, 23, 5, 6
2021/3/23, 57, 29, 22, 5, 8
2021/3/24, 53, 20, 14, 5, 6
2021/3/25, 53, 27, 12, 5, 6
2021/3/26, 28, 18, 8, 5, 6
2021/3/27, 19, 18, 5, 6, 6
2021/3/28, 24, 22, 6, 5, 6
2021/3/29, 24, 23, 8, 24, 6
2021/3/30, 17, 25, 12, 5, 6
2021/3/31, 32, 25, 12, 7, 6
2021/4/1, 36, 22, 7, 5, 6
2021/2/2, 56, 23, 9, 7, 6
2021/2/3, 22, 24, 9, 5, 6
2021/2/4, 10, 21, 22, 5, 6
2021/2/5, 22, 18, 24, 5, 6
2021/2/6, 41, 20, 8, 5, 6
2021/2/7, 35, 21, 13, 8, 6
2021/2/8, 48, 21, 11, 8, 6
2021/2/9, 24, 21, 23, 7, 6
2021/2/10, 55, 22, 19, 5, 7
2021/2/11, 57, 21, 17, 5, 6
2021/2/12, 44, 16, 13, 5, 6
2021/2/13, 31, 17, 12, 6, 6
2021/2/14, 41, 21, 12, 6, 6
2021/2/15, 59, 22, 16, 8, 6
2021/2/16, 60, 19, 7, 5, 6
2021/2/17, 44, 19, 10, 5, 6
2021/2/18, 18, 18, 33, 7, 8
2021/2/19, 58, 18, 18, 8, 6
2021/2/20, 62, 24, 9, 5, 6
2021/2/21, 41, 24, 12, 5, 6
2021/2/22, 25, 25, 18, 5, 6
2021/2/23, 51, 24, 13, 5, 6
2021/2/24, 56, 21, 10, 5, 6
2021/2/25, 23, 23, 11, 20, 6
2021/2/26, 20, 22, 21, 8, 6
2021/2/27, 36, 22, 14, 5, 
2021/2/28, 48, 25, 11, 5, 
