date, pm25, pm10, o3, no2, so2, co
2021/5/2, 63, 9, 42, 4, 1, 2
2021/5/3, 25, 12, 47, 5, 1, 2
2021/5/4, 45, 17, 57, 11, 2, 4
2021/5/5, 62, 16, 44, 6, 1, 1
2021/5/6, 43, 14, 51, 13, 1, 2
2021/5/7, 48, 16, 39, 18, 1, 2
2021/5/8, 52, 24, 51, 13, 1, 2
2021/5/9, 66, 36, 55, 8, 2, 2
2021/5/10, 81, 12, 49, 10, 1, 2
2021/5/11, 46, 12, 51, 12, 1, 2
2021/5/12, 49, 16, 45, 15, 1, 2
2021/5/13, 55, 15, 47, 20, 1, 3
2021/5/14, 53, 15, 53, 19, 1, 3
2021/5/15, 57, 11, 42, 9, 1, 
2021/5/16, 41, 12, 36, 5, 1, 2
2021/5/17, 37, 21, 22, 19, 1, 1
2021/5/18, 45, 17, 39, 21, 3, 4
2021/5/19, 40, 34, 28, 30, 1, 4
2021/5/20, 83, 21, 21, 14, 1, 2
2021/5/21, 40, , , , , 
2021/4/2, 1, 42, 48, 13, 1, 2
2021/4/3, 1, 21, 44, 9, 1, 2
2021/4/4, 1, 24, 33, 10, 1, 2
2021/4/5, 1, 10, 37, 9, 1, 2
2021/4/6, 1, 15, 40, 17, 2, 3
2021/4/7, 1, 11, 42, 11, 1, 1
2021/4/8, 1, 13, 50, 16, 1, 2
2021/4/9, 1, 11, 43, 9, 1, 2
2021/4/10, 1, 10, 42, 9, 1, 2
2021/4/11, 14, 15, 47, 11, 1, 3
2021/4/12, 54, 15, 42, 10, 1, 2
2021/4/13, 52, 11, 35, 13, 1, 1
2021/4/14, 37, 8, 44, 11, 1, 2
2021/4/15, 32, 11, 41, 14, 2, 2
2021/4/16, 42, 14, 45, 17, 1, 2
2021/4/17, 51, 11, 29, 16, 1, 2
2021/4/18, 37, 16, 40, 5, 1, 2
2021/4/19, 48, 23, 45, 13, 1, 2
2021/4/20, 65, 24, 76, 17, 2, 3
2021/4/21, 71, 23, 61, 14, 1, 3
2021/4/22, 70, 14, 43, 16, 2, 2
2021/4/23, 56, 21, 48, 19, 1, 2
2021/4/24, 65, 21, 52, 16, 3, 3
2021/4/25, 64, 16, 45, 5, 1, 2
2021/4/26, 56, 9, 43, 8, 1, 2
2021/4/27, 41, 13, 48, 16, 1, 2
2021/4/28, 47, 20, 31, 23, 1, 3
2021/4/29, 58, 15, 36, 6, 1, 1
2021/4/30, 35, 16, 58, 13, 2, 3
2021/5/1, 49, 23, 56, 12, 1, 2
2021/3/2, 52, 10, 32, 11, 1, 1
2021/3/3, 26, 9, 37, 11, 1, 2
2021/3/4, 35, 19, 28, 32, 1, 4
2021/3/5, 64, 19, 18, 29, 1, 3
2021/3/6, 58, 9, 35, 9, 1, 2
2021/3/7, 36, 11, 33, 8, 1, 2
2021/3/8, 40, 13, 29, 15, 1, 2
2021/3/9, 48, 13, 24, 24, 3, 4
2021/3/10, 54, 14, 40, 13, 1, 2
2021/3/11, 57, 17, 35, 24, 3, 5
2021/3/12, 55, 21, 29, 30, 1, 3
2021/3/13, 64, 8, 41, 12, 1, 2
2021/3/14, 30, 9, 37, 3, 1, 1
2021/3/15, 32, 9, 39, 11, 1, 2
2021/3/16, 35, 17, 16, 27, 1, 3
