date, pm25, pm10, o3, no2, so2, co
2021/5/2, 70, 15, 45, 6, 5, 2
2021/5/3, 47, 19, 47, 18, 3, 2
2021/5/4, 55, 21, 49, 19, 3, 3
2021/5/5, 58, 18, 45, 19, 4, 3
2021/5/6, 46, 30, 59, 38, 6, 2
2021/5/7, 68, 25, 36, 37, 4, 3
2021/5/8, 62, 27, 41, 27, 5, 2
2021/5/9, 62, 45, 69, 18, 4, 2
2021/5/10, 89, 24, 47, 27, 5, 2
2021/5/11, 63, 18, 49, 19, 7, 2
2021/5/12, 53, 15, 43, 21, 4, 2
2021/5/13, 41, 11, 40, 17, 5, 2
2021/5/14, 17, 23, 62, 42, 11, 3
2021/5/15, 57, 20, 41, 26, 11, 2
2021/5/16, 50, 13, 27, 12, 5, 2
2021/5/17, 28, 32, 20, 18, 6, 3
2021/5/18, 51, 26, 37, 37, 9, 3
2021/5/19, 60, 39, 24, 40, 8, 5
2021/5/20, 79, 29, 15, 25, 7, 3
2021/5/21, 65, , , , , 
2021/4/2, 85, 42, 43, 26, 5, 
2021/4/3, 90, 28, 37, 25, 6, 
2021/4/4, 67, 30, 32, 14, 4, 
2021/4/5, 61, 14, 38, 16, 3, 
2021/4/6, 36, 22, 30, 27, 4, 
2021/4/7, 56, 21, 44, 25, 4, 
2021/4/8, 57, 20, 45, 30, 4, 
2021/4/9, 64, 15, 40, 19, 5, 
2021/4/10, 51, 11, 37, 18, 5, 
2021/4/11, 45, 15, 40, 16, 3, 2
2021/4/12, 51, 17, 36, 29, 3, 3
2021/4/13, 56, 16, 37, 27, 4, 3
2021/4/14, 48, 16, 36, 22, 3, 2
2021/4/15, 44, 18, 42, 27, 4, 2
2021/4/16, 57, 13, 35, 22, 1, 3
2021/4/17, 40, 20, 29, 29, 2, 3
2021/4/18, 41, 25, 36, 11, 3, 2
2021/4/19, 57, 26, 43, 30, 3, 3
2021/4/20, 63, 30, 59, 42, 3, 4
2021/4/21, 77, 34, 61, 42, 4, 3
2021/4/22, 86, 20, 42, 36, 5, 3
2021/4/23, 63, 25, 44, 27, 2, 2
2021/4/24, 62, 23, 41, 25, 3, 2
2021/4/25, 60, 20, 44, 12, 3, 6
2021/4/26, 57, 16, 42, 17, 4, 5
2021/4/27, 55, 15, 41, 28, 4, 5
2021/4/28, 49, 25, 27, 37, 5, 5
2021/4/29, 59, 13, 29, 23, 3, 1
2021/4/30, 25, 29, 49, 28, 3, 3
2021/5/1, 64, 30, 48, 21, 6, 2
2021/3/2, 58, 17, 31, 24, 4, 2
2021/3/3, 43, 17, 35, 20, 4, 1
2021/3/4, 45, 20, 30, 33, 5, 3
2021/3/5, 60, 14, 23, 18, 3, 1
2021/3/6, 47, 19, 37, 18, 3, 2
2021/3/7, 59, 15, 35, 9, 3, 2
2021/3/8, 48, 14, 32, 20, 4, 1
2021/3/9, 46, 19, 22, 37, 5, 3
2021/3/10, 62, 27, 39, 29, 5, 3
2021/3/11, 84, 21, 26, 40, 5, 3
2021/3/12, 68, 29, 31, 38, 5, 3
2021/3/13, 93, 13, 44, 17, 4, 1
2021/3/14, 48, 25, 40, 15, 4, 2
2021/3/15, 64, 42, 42, 39, 6, 4
2021/3/16, 95, 46, 29, 44, 7, 5
2021/3/17, 114, 34, 39, 20, 4, 2
2021/3/18, 69, 27, 34, 32, 4, 3
2021/3/19, 55, 20, 34, 28, 5, 3
2021/3/20, 48, 22, 37, 24, 3, 3
2021/3/21, 64, 21, 36, 17, 2, 3
2021/3/22, 48, 19, 33, 19, 3, 3
2021/3/23, 60, 22, 39, 29, 4, 3
2021/3/24, 63, 27, 37, 37, 5, 4
2021/3/25, 71, 29, 23, 46, 3, 4
2021/3/26, 69, 37, 44, 30, 4, 5
2021/3/27, 94, 35, 43, 29, 3, 4
2021/3/28, 82, 27, 37, 23, 3, 3
2021/3/29, 58, 47, 54, 37, 4, 1
2021/3/30, 93, 80, 48, 35, 4, 
2021/3/31, 150, 40, 42, 27, 7, 
2021/4/1, 85, 35, 47, 27, 6, 
2021/2/2, 78, 26, 30, 30, 4, 3
2021/2/3, 68, 19, 32, 24, 5, 2
2021/2/4, 62, 21, 29, 36, 4, 3
2021/2/5, 66, 22, 28, 44, 4, 4
2021/2/6, 66, 30, 25, 41, 3, 4
2021/2/7, 80, 41, 35, 27, 3, 4
2021/2/8, 101, 28, 27, 26, 4, 4
2021/2/9, 77, 10, 26, 25, 3, 2
2021/2/10, 49, 11, 27, 30, 5, 3
2021/2/11, 61, 25, 40, 24, 5, 4
2021/2/12, 88, 28, 29, 47, 6, 4
2021/2/13, 101, 30, 32, 38, 4, 4
2021/2/14, 61, 29, 30, 25, 4, 3
2021/2/15, 40, 16, 34, 22, 5, 2
2021/2/16, 25, 16, 32, 17, 4, 1
2021/2/17, 50, 14, 30, 17, 4, 2
2021/2/18, 48, 14, 25, 17, 4, 2
2021/2/19, 49, 15, 28, 33, 5, 3
2021/2/20, 46, 26, 38, 37, 6, 5
2021/2/21, 73, 39, 47, 39, 5, 6
2021/2/22, 96, 34, 34, 50, 6, 6
2021/2/23, 95, 22, 37, 15, 4, 2
2021/2/24, 66, 16, 32, 20, 3, 2
2021/2/25, 49, 18, 25, 38, 5, 3
2021/2/26, 62, 16, 32, 30, 4, 2
2021/2/27, 46, 18, 35, 16, 5, 2
2021/2/28, 51, 21, 33, 22, 4, 3
2021/3/1, 57, 22, 32, 33, 6, 2
2021/1/5, 41, 23, 10, 39, 2, 5
2021/1/6, 59, 16, 28, 25, 4, 2
2021/1/7, 47, 13, 27, 18, 3, 2
2021/1/8, 42, 13, 28, 18, 3, 1
2021/1/9, 41, 14, 28, 16, 3, 
2021/1/10, 42, 15, 27, 14, 3, 
2021/1/11, 50, 17, 23, 28, 4, 
2021/1/12, 53, 39, 6, 40, 6, 5
2021/1/13, 91, 35, 22, 41, 2, 7
2021/1/14, 86, 51, 14, 52, 7, 7
2021/1/15, 116, 51, 22, 49, 5, 4
2021/1/16, 119, 39, 24, 37, 5, 
2021/1/17, 99, 16, 30, 13, 3, 
2021/1/18, 46, 18, 27, 25, 3, 2
2021/1/19, 51, 19, 28, 19, 3, 2
2021/1/20, 56, 15, 26, 26, 4, 3
2021/1/21, 47, 27, 13, 46, 5, 5
2021/1/22, 83, 45, 6, 41, 5, 5
2021/1/23, 117, 26, 28, 24, 3, 3
2021/1/24, 82, 17, 26, 18, 3, 3
2021/1/25, 40, 18, 29, 30, 4, 4
2021/1/26, 55, 20, 26, 30, 4, 3
2021/1/27, 66, 17, 33, 23, 3, 3
2021/1/28, 53, 25, 32, 33, 4, 4
2021/1/29, 70, 16, 31, 16, 4, 2
2021/1/30, 44, 19, 30, 20, 3, 3
2021/1/31, 53, 26, 30, 18, 5, 3
2021/2/1, 68, 29, 21, 41, 4, 4
2020/10/2, 50, 18, 42, 30, 5, 2
2020/10/3, 58, 25, 44, 31, 7, 2
2020/10/4, 70, 25, 39, 18, 3, 2
2020/10/5, 63, 25, 31, 21, 5, 2
2020/10/6, 62, 16, 28, 19, 5, 2
2020/10/7, 46, 19, 34, 20, 5, 2
2020/10/8, 57, 15, 32, 22, 3, 2
2020/10/9, 36, 11, 33, 17, 2, 1
2020/10/10, 24, 12, 29, 12, 5, 1
2020/10/11, 34, 19, 35, 16, 5, 2
2020/10/12, 52, 18, 35, 27, 5, 2
2020/10/13, 57, 15, 34, 20, 5, 1
2020/10/14, 56, 16, 34, 23, 5, 2
2020/10/15, 53, 12, 33, 19, 6, 1
2020/10/16, 38, 11, 33, 20, 5, 2
2020/10/17, 35, 13, 30, 20, 3, 2
2020/10/18, 49, 20, 31, 13, 4, 3
2020/10/19, 65, 24, 16, 28, 5, 4
2020/10/20, 77, 26, 38, 21, 5, 3
2020/10/21, 80, 20, 34, 18, 6, 2
2020/10/22, 62, 17, 30, 20, 7, 2
2020/10/23, 43, 20, 30, 20, 4, 1
2020/10/24, 41, 20, 36, 16, 4, 2
2020/10/25, 52, 20, 43, 22, 5, 2
2020/10/26, 56, 22, 27, 34, 6, 3
2020/10/27, 64, 18, 37, 35, 5, 2
2020/10/28, 60, 26, 30, 38, 6, 4
2020/10/29, 68, 31, 37, 29, 6, 3
2020/10/30, 76, 17, 29, 22, 5, 2
2020/10/31, 52, 18, 32, 24, 5, 4
2020/11/1, 60, 20, 32, 19, 5, 3
2020/11/2, 63, 26, 18, 33, 4, 4
2020/11/3, 67, 19, 33, 14, 5, 3
2020/11/4, 51, 15, 29, 22, 4, 2
2020/11/5, 47, 23, 24, 37, 6, 7
2020/11/6, 67, 27, 27, 41, 6, 4
2020/11/7, 77, 37, 14, 33, 5, 4
