date, pm25, o3, no2, so2, co
2021/5/2, 19, 26, 2, , 1
2021/5/3, 22, 29, 3, , 1
2021/5/4, 22, 22, 4, , 1
2021/5/5, 24, 19, 2, , 1
2021/5/6, 22, 26, 1, , 1
2021/5/7, 13, 28, 3, , 1
2021/5/8, 14, 23, 1, , 1
2021/5/9, 11, 28, 1, , 1
2021/5/10, 9, 32, 3, , 1
2021/5/11, 16, 22, 1, , 1
2021/5/12, 8, 35, 1, , 1
2021/5/13, 6, 32, 2, , 1
2021/5/14, 12, 35, 3, , 1
2021/5/15, 22, 40, 1, , 1
2021/5/16, 25, 43, 2, , 1
2021/5/17, 25, 47, 4, , 1
2021/5/18, 37, 42, 2, , 1
2021/5/19, 38, 42, 3, , 
2021/5/20, 36, 46, 5, , 
2021/5/21, 43, 21, 7, , 
2021/5/22, 46, , , , 
2021/4/2, 15, 32, 1, , 1
2021/4/3, 13, 31, 4, , 1
2021/4/4, 23, 36, 5, , 2
2021/4/5, 32, 34, 2, , 1
2021/4/6, 35, 33, 4, , 1
2021/4/7, 27, 30, 6, , 2
2021/4/8, 33, 32, 3, , 1
2021/4/9, 33, 36, 4, , 1
2021/4/10, 27, 37, 6, , 2
2021/4/11, 36, 33, 2, , 1
2021/4/12, 37, 28, 1, , 1
2021/4/13, 24, 32, 2, , 1
2021/4/14, 19, 33, 5, , 1
2021/4/15, 21, 30, 4, , 1
2021/4/16, 26, 31, 2, , 1
2021/4/17, 19, 29, 2, , 1
2021/4/18, 21, 23, 3, , 1
2021/4/19, 34, 35, 5, , 1
2021/4/20, 26, 31, 1, , 1
2021/4/21, 18, 29, 1, , 1
2021/4/22, 14, 31, 1, , 1
2021/4/23, 12, 37, 1, , 1
2021/4/24, 23, 43, 2, , 1
2021/4/25, 38, 35, 5, , 1
2021/4/26, 46, 33, 1, , 1
2021/4/27, 17, 33, 2, , 1
2021/4/28, 26, 29, 4, , 1
2021/4/29, 30, 32, 3, , 1
2021/4/30, 25, 26, 2, , 1
2021/5/1, 24, 28, 1, , 1
2021/3/2, 17, 28, 4, , 1
2021/3/3, 13, 28, 13, , 2
2021/3/4, 29, 28, 2, , 1
2021/3/5, 15, 30, 2, , 1
2021/3/6, 11, 27, 2, , 1
2021/3/7, 17, 27, 4, , 1
2021/3/8, 19, 27, 16, , 2
2021/3/9, 27, 30, 14, , 2
2021/3/10, 35, 33, 17, , 3
2021/3/11, 52, 39, 7, , 2
2021/3/12, 52, 31, 2, , 1
2021/3/13, 20, 28, 2, , 1
2021/3/14, 13, 33, 1, , 1
2021/3/15, 18, 29, 2, , 1
2021/3/16, 22, 28, 16, , 2
2021/3/17, 42, 30, 17, , 2
2021/3/18, 63, 31, 4, , 1
2021/3/19, 37, 31, 5, , 1
2021/3/20, 25, 32, 7, , 1
2021/3/21, 30, 37, 13, , 2
2021/3/22, 37, 39, 12, , 2
2021/3/23, 38, 41, 13, , 2
2021/3/24, 48, 25, 10, , 2
2021/3/25, 55, 29, 7, , 2
2021/3/26, 42, 22, 2, , 1
2021/3/27, 23, 25, 2, , 1
2021/3/28, 15, 23, 5, , 2
2021/3/29, 25, 30, 3, , 1
2021/3/30, 21, 38, 10, , 2
2021/3/31, 24, 34, 5, , 1
2021/4/1, 30, 25, 2, , 1
2021/2/2, 46, 32, 8, , 2
2021/2/3, 31, 32, 2, , 1
2021/2/4, 15, 30, 9, , 1
2021/2/5, 18, 21, 11, , 2
2021/2/6, 31, 24, 7, , 1
2021/2/7, 29, 28, 8, , 1
2021/2/8, 37, 25, 10, , 2
2021/2/9, 18, 24, 16, , 2
2021/2/10, 44, 30, 9, , 1
2021/2/11, 33, 27, 6, , 1
2021/2/12, 29, 25, 4, , 1
2021/2/13, 19, 24, 5, , 1
2021/2/14, 23, 26, 8, , 2
2021/2/15, 34, 27, 11, , 2
2021/2/16, 47, 24, 4, , 1
2021/2/17, 25, 23, 11, , 1
2021/2/18, 24, 25, 22, , 3
2021/2/19, 56, 27, 10, , 2
2021/2/20, 45, 30, 5, , 1
2021/2/21, 30, 29, 10, , 1
2021/2/22, 25, 27, 10, , 1
2021/2/23, 34, 30, 11, , 2
2021/2/24, 51, 26, 6, , 1
2021/2/25, 19, 27, 4, , 1
2021/2/26, 12, 30, 12, , 2
2021/2/27, 25, 27, 10, , 2
2021/2/28, 43, 31, 14, , 2
2021/3/1, 53, 28, 4, , 1
2021/1/5, 54, 18, 8, , 2
2021/1/6, 55, 25, 4, , 1
2021/1/7, 26, 23, 2, , 1
2021/1/8, 11, 27, 3, , 1
2021/1/9, 13, 26, 2, , 1
2021/1/10, 15, 21, 7, , 1
2021/1/11, 16, 15, 14, , 2
2021/1/12, 52, 18, 9, , 2
2021/1/13, 45, 10, 12, , 2
2021/1/14, 54, 10, 12, , 2
2021/1/15, 68, 16, 9, , 2
2021/1/16, 75, 18, 10, , 2
2021/1/17, 35, 22, 3, , 1
2021/1/18, 13, 24, 4, , 1
2021/1/19, 13, 19, 12, , 2
2021/1/20, 28, 23, 8, , 1
2021/1/21, 30, 18, 13, , 2
2021/1/22, 45, 24, 8, , 1
2021/1/23, 38, 25, 2, , 1
2021/1/24, 16, 26, 4, , 1
2021/1/25, 13, 17, 17, , 2
2021/1/26, 31, 28, 7, , 2
2021/1/27, 46, 24, 4, , 1
2021/1/28, 21, 25, 2, , 1
2021/1/29, 12, 25, 3, , 1
2021/1/30, 12, 26, 7, , 1
2021/1/31, 17, 23, 11, , 2
2021/2/1, 35, 24, 17, , 3
2020/10/2, 15, 9, 2, , 1
2020/10/3, 13, 15, 2, , 1
2020/10/4, 16, 17, 4, , 2
2020/10/5, 31, 13, 4, , 1
2020/10/6, 23, 24, 4, , 1
2020/10/7, 26, 22, 3, , 1
2020/10/8, 21, 16, 1, , 1
2020/10/9, 14, 20, 6, , 1
2020/10/10, 21, 31, 2, , 1
2020/10/11, 32, 16, 1, , 1
2020/10/12, 14, 19, 2, , 1
2020/10/13, 19, 15, 4, , 2
2020/10/14, 20, 21, 8, , 2
2020/10/15, 20, 22, 6, , 2
2020/10/16, 22, 13, 5, , 1
2020/10/17, 17, 25, 5, , 1
2020/10/18, 23, 28, 5, , 1
2020/10/19, 24, 25, 2, , 1
2020/10/20, 15, 21, 1, , 1
2020/10/21, 15, 20, 4, , 1
2020/10/22, 17, 12, 9, , 2
2020/10/23, 21, 26, 4, , 2
2020/10/24, 29, 22, , , 1
2020/10/25, 20, 22, 2, , 1
2020/10/26, 15, 18, 4, , 1
2020/10/27, 17, 21, 3, , 1
2020/10/28, 16, 18, 6, , 1
2020/10/29, 27, 24, 3, , 1
2020/10/30, 21, 22, 3, , 1
2020/10/31, 17, 23, 6, , 1
2020/11/1, 25, 16, 4, , 1
2020/11/2, 26, 26, 1, , 1
2020/11/3, 14, 19, 2, , 1
2020/11/4, 11, 15, 6, , 1
2020/11/5, 33, 30, 9, , 2
2020/11/6, 48, 26, 9, , 2
2020/11/7, 60, 34, 7, , 3
2020/11/8, 60, 33, 7, , 2
2020/11/9, 60, 32, 10, , 2
2020/11/10, 62, 23, 9, , 3
2020/11/11, 47, 21, 2, , 1
2020/11/12, 26, 16, 5, , 1
2020/11/13, 17, 10, 9, , 2
2020/11/14, 32, 22, 6, , 2
2020/11/15, 25, 20, 5, , 2
2020/11/16, 36, 21, 2, , 1
2020/11/17, 15, 24, 2, , 1
2020/11/18, 14, 24, 4, , 1
2020/11/19, 20, 17, 10, , 2
2020/11/20, 26, 24, 13, , 3
2020/11/21, 45, 19, 3, , 1
2020/11/22, 21, 14, 7, , 1
2020/11/23, 31, 16, 3, , 1
2020/11/24, 24, 23, 4, , 1
2020/11/25, 18, 18, 9, , 2
2020/11/26, 29, 8, 11, , 2
2020/11/27, 63, 1, 18, , 5
2020/11/28, 54, 15, 7, , 2
2020/11/29, 41, 14, 8, , 2
2020/11/30, 39, 18, 9, , 2
2020/12/1, 42, 12, 6, , 2
2020/12/2, 14, 23, 3, , 1
2020/12/3, 10, 15, 10, , 1
2020/12/4, 29, 12, 9, , 2
2020/12/5, 45, 22, 3, , 1
2020/12/6, 26, 26, 1, , 1
2020/12/7, 12, 24, 2, , 1
2020/12/8, 12, 21, 5, , 1
2020/12/9, 17, 8, 13, , 2
2020/12/10, 41, 20, 4, , 1
2020/12/11, 21, 9, 11, , 2
2020/12/12, 31, 14, 3, , 1
2020/12/13, 33, 19, 3, , 1
2020/12/14, 28, 20, 5, , 1
2020/12/15, 13, 23, 2, , 1
2020/12/16, 18, 23, 4, , 1
2020/12/17, 28, 21, 6, , 1
2020/12/18, 18, 16, 8, , 1
2020/12/19, 26, 8, 14, , 3
2020/12/20, 58, 11, 9, , 2
2020/12/21, 61, 12, 11, , 2
