date, pm25, pm10, o3, no2, co
2021/5/2, 31, 16, , , 
2021/5/3, 49, 24, , , 
2021/5/4, 72, 42, , , 
2021/5/5, 72, 50, , , 
2021/5/6, 91, 45, , , 
2021/5/7, 85, 5, , , 
2021/5/8, 12, 11, , , 
2021/5/9, 26, 13, , , 
2021/5/10, 29, 21, , , 
2021/5/11, 42, 27, , , 
2021/5/12, 56, 12, , , 
2021/5/13, 20, 9, , , 
2021/5/14, 23, 16, , , 
2021/5/15, 28, 21, , , 
2021/5/16, 40, 27, , , 
2021/5/17, 56, 30, , , 
2021/5/18, 62, 20, , , 
2021/5/19, 34, 28, , , 
2021/5/20, 60, 37, , , 
2021/5/21, 77, 45, , , 
2021/5/22, 82, , , , 
2021/4/8, 30, 15, , , 
2021/4/9, 31, 18, , , 
2021/4/10, 46, 26, , , 
2021/4/11, 58, 36, , , 
2021/4/12, 83, 43, , , 
2021/4/13, 56, 34, , , 
2021/4/14, 18, 14, , , 
2021/4/15, 26, 22, , , 
2021/4/16, 33, 29, , , 
2021/4/17, 58, 39, , , 
2021/4/18, 56, 33, , , 
2021/4/19, 24, 8, , , 
2021/4/20, 14, 7, , , 
2021/4/21, 18, 8, , , 
2021/4/22, 14, 7, , , 
2021/4/23, 21, 9, , , 
2021/4/24, 24, 9, , , 
2021/4/25, 21, 10, , , 
2021/4/26, 51, 23, , , 
2021/4/27, 39, 19, , , 
2021/4/28, 24, 10, , , 
2021/4/29, 28, 16, , , 
2021/4/30, 26, 11, , , 
2021/5/1, 24, 14, , , 
2021/2/2, 48, 28, , , 
2021/2/3, 56, 32, , , 
2021/2/4, 61, 35, , , 
2021/2/5, 64, 12, , , 
2021/2/6, 23, 18, , , 
2021/2/7, 38, 15, , , 
2021/2/8, 29, 16, , , 
2021/2/9, 29, 14, , , 
2021/2/10, 29, 15, , , 
2021/2/11, 30, 21, , , 
2021/2/12, 44, 21, , , 
2021/2/13, 45, 16, , , 
2021/2/14, 40, 20, , , 
2021/2/15, 45, 22, , , 
2021/2/16, 46, 21, , , 
2021/2/17, 44, 22, , , 
2021/2/18, 48, 27, , , 
2021/2/19, 50, 21, , , 
2021/2/20, 50, 18, , , 
2021/2/21, 44, 15, , , 
2021/2/22, 41, 15, , , 
2021/2/23, 37, 26, , , 
2021/2/24, 50, 33, , , 
2021/2/25, 66, 19, , , 
2021/2/26, 50, 14, , , 
2021/2/27, 35, 14, , , 
2021/2/28, 34, 17, , , 
2021/1/5, 34, 23, , , 
2021/1/6, 48, 24, , , 
2021/1/7, 49, 16, , , 
2021/1/8, 35, 17, , , 
2021/1/9, 39, 15, , , 
2021/1/10, 40, 28, , , 
2021/1/11, 47, 19, , , 
2021/1/12, 39, 22, , , 
2021/1/13, 57, 13, , , 
2021/1/14, 29, 13, , , 
2021/1/15, 28, 21, , , 
2021/1/16, 53, 25, , , 
2021/1/17, 55, 20, , , 
2021/1/18, 33, 18, , , 
2021/1/19, 36, 11, , , 
2021/1/20, 29, 21, , , 
2021/1/21, 43, 21, , , 
2021/1/22, 46, 27, , , 
2021/1/23, 48, 26, , , 
2021/1/24, 49, 21, , , 
2021/1/25, 48, 36, , , 
2021/1/26, 50, 25, , , 
2021/1/27, 49, 35, , , 
2021/1/28, 66, 26, , , 
2021/1/29, 47, 40, , , 
2021/1/30, 74, 34, , , 
2021/1/31, 60, 33, , , 
2021/2/1, 64, 25, , , 
2020/10/2, 88, , 31, , 
2020/10/3, 120, 34, 28, , 
2020/10/4, 50, 5, 18, , 
2020/10/5, 19, , , , 
2020/10/6, 46, , , , 
2020/10/7, 67, , , , 
2020/10/8, 68, , , , 
2020/10/9, 57, , , , 
2020/10/10, 43, , , , 
2020/10/11, 31, , 25, , 
2020/10/12, 38, , 18, , 
2020/10/13, 43, , , , 
2020/10/14, 71, , 13, , 
2020/10/15, 75, , , , 
2020/10/16, 37, , , , 
2020/10/17, 23, , , , 
2020/10/18, 21, , 22, , 
2020/10/19, 33, , 8, , 
2020/10/20, 57, , 8, , 
2020/10/21, 72, , 28, , 
2020/10/22, 58, , 19, , 
2020/10/23, 33, , 13, , 
2020/10/24, 39, , , , 
2020/10/25, 61, , , , 
2020/10/26, 53, , 17, , 
2020/10/27, 35, , 6, , 
2020/10/28, 57, , , , 
2020/10/29, 67, , , , 
2020/10/30, 59, , , , 
2020/10/31, 17, , , , 
2020/11/1, 12, , , , 
2020/11/2, 20, , , , 
2020/11/3, 19, , , , 
2020/11/4, 27, , , , 
2020/11/5, 20, , , , 
2020/11/6, 17, , , , 
2020/11/7, 24, , , , 
2020/11/8, 35, , , , 
2020/11/9, 51, , , , 
2020/11/10, 50, , , , 
2020/11/11, 34, , , , 
2020/11/12, 46, , , , 
2020/11/13, 40, , , , 
2020/11/14, 46, , , , 
2020/11/15, 45, , , , 
2020/11/16, 47, , , , 
2020/11/17, 49, , , , 
2020/11/18, 26, , , , 
2020/11/19, 24, , , , 
2020/11/20, 14, , , , 
2020/11/21, 19, , , , 
2020/11/22, 33, , , , 
2020/11/23, 28, , , , 
2020/11/24, 28, , , , 
2020/11/25, 37, , , , 
2020/11/26, 54, , , , 
2020/11/27, 54, , , , 
2020/11/28, 50, , , , 
2020/11/29, 49, , , , 
2020/11/30, 62, , , , 
2020/12/1, 45, , , , 
2020/12/2, 38, , , , 
2020/12/3, 38, , , , 
2020/12/4, 49, , , , 
2020/12/5, 39, , , , 
2020/12/6, 23, , , , 
2020/12/7, 27, , , , 
2020/12/8, 21, , , , 
2020/12/9, 22, , , , 
2020/12/10, 35, , , , 
2020/12/11, 28, , , , 
2020/12/12, 41, , , , 
2020/12/13, 36, 15, , , 
2020/12/14, 35, 15, , , 
2020/12/15, 34, 20, , , 
2020/12/16, 43, 22, , , 
2020/12/17, 50, 19, , , 
2020/12/18, 39, 18, , , 
2020/12/19, 37, 25, , , 
2020/12/20, 50, 15, , , 
2020/12/21, 38, 19, , , 
2020/12/22, 44, 9, , , 
2020/12/23, 24, 16, , , 
2020/12/24, 22, 13, , , 
2020/12/25, 30, 11, , , 
2020/12/26, 25, 14, , , 
2020/12/27, 24, 13, , , 
2020/12/28, 31, 15, , , 
2020/12/29, 38, 14, , , 
2020/12/30, 28, 14, , , 
2020/12/31, 37, 19, , , 
2021/1/1, 44, 17, , , 
2021/1/2, 43, 7, , , 
2021/1/3, 21, 9, , , 
2021/1/4, 25, 23, , , 
2020/7/2, 38, 31, 15, , 
2020/7/3, 49, 18, 17, , 
2020/7/4, 30, 34, 22, , 
2020/7/5, 60, 57, 17, , 
2020/7/6, 100, 41, 22, , 
2020/7/7, 59, 49, 15, , 
2020/7/8, 80, 53, 19, , 
2020/7/9, 54, 29, 15, , 
2020/7/10, 47, 30, 18, , 
2020/7/11, 47, 52, 16, , 
2020/7/12, 79, 53, 22, , 
2020/7/13, 87, 54, 16, , 
2020/7/14, 78, 13, 15, , 
2020/7/15, 23, 10, 15, , 
2020/7/16, 18, 23, 15, , 
2020/7/17, 44, 43, 17, , 
2020/7/18, 76, 40, 29, , 
2020/7/19, 81, 42, 31, , 
2020/7/20, 76, 60, 17, , 
2020/7/21, 97, 56, 20, , 
2020/7/22, 86, 58, 37, , 
2020/7/23, 98, 55, 35, , 
2020/7/24, 84, 58, 20, , 
2020/7/25, 82, 60, 26, , 
2020/7/26, 77, 14, 16, , 
2020/7/27, 29, 38, 19, , 
2020/7/28, 56, 57, 25, , 
2020/7/29, 84, 8, 20, , 
2020/7/30, 15, 5, 19, , 
2020/7/31, 14, 16, 17, , 
2020/8/1, 25, 26, 21, , 
2020/8/2, 47, 27, 25, , 
2020/8/3, 41, 36, 20, , 
2020/8/4, 55, 31, 29, , 
2020/8/5, 54, 37, 29, , 
2020/8/6, 59, 43, 27, , 
2020/8/7, 66, 47, 26, , 
2020/8/8, 74, 53, 40, , 
2020/8/9, 79, 42, 34, , 
2020/8/10, 71, 63, 27, , 
2020/8/11, 91, 68, 19, , 
2020/8/12, 98, 55, 24, , 
2020/8/13, 74, 61, 22, , 
2020/8/14, 94, 67, 25, , 
2020/8/15, 87, 62, 19, , 
2020/8/16, 68, 27, 16, , 
2020/8/17, 42, 28, 6, , 
2020/8/18, 38, 27, 5, , 
2020/8/19, 48, 18, 20, , 
2020/8/20, 35, 16, 19, , 
2020/8/21, 19, 5, 21, , 
2020/8/22, 10, 8, 19, , 
2020/8/23, 19, 26, 19, , 
2020/8/24, 26, 44, 19, , 
2020/8/25, 29, 52, 17, , 
2020/8/26, 36, 43, 21, , 
2020/8/27, 38, , 25, , 
2020/8/28, 57, , 37, , 
2020/8/29, 68, , 38, , 
2020/8/30, 82, , 31, , 
2020/8/31, 89, , 24, , 
2020/9/1, 29, , 20, , 
2020/9/2, 40, , 15, , 
2020/9/3, 45, , 24, , 
2020/9/4, 70, , 21, , 
2020/9/5, 80, , 37, , 
2020/9/6, 51, , 32, , 
2020/9/7, 83, , 39, , 
2020/9/8, 63, , 29, , 
2020/9/9, 56, , 29, , 
2020/9/10, 65, , 36, , 
2020/9/11, 72, , 44, , 
2020/9/12, 94, , 40, , 
2020/9/13, 123, , 57, , 
2020/9/14, 91, , 41, , 
2020/9/15, 104, , 20, , 
2020/9/16, 17, , 31, , 
2020/9/17, 56, , 24, , 
2020/9/18, 70, , 10, , 
2020/9/19, 102, , 35, , 
2020/9/20, 125, , 27, , 
2020/9/21, 22, , 18, , 
2020/9/22, 13, , 18, , 
2020/9/23, 16, , , , 
2020/9/24, 25, , , , 
2020/9/25, 45, , , , 
2020/9/26, 67, , , , 
2020/9/27, 93, , 17, , 
2020/9/28, 96, , , , 
2020/9/29, 66, , 21, , 
2020/9/30, 35, , , , 
2020/10/1, 69, , , , 
2020/4/2, 40, 30, 23, , 4
2020/4/3, 54, 30, 17, , 2
2020/4/4, 52, 22, 18, , 1
2020/4/5, 29, 21, 31, , 1
2020/4/6, 37, 36, 27, , 4
2020/4/7, 70, 17, 20, , 1
2020/4/8, 38, 7, 16, , 1
2020/4/9, 20, 16, 18, , 1
2020/4/10, 28, 18, 23, , 1
2020/4/11, 33, 16, 20, , 1
2020/4/12, 29, 13, 21, , 1
2020/4/13, 30, 23, 29, , 2
2020/4/14, 42, 30, 10, , 4
2020/4/15, 55, 32, 16, , 5
2020/4/16, 62, 28, 23, , 2
2020/4/17, 56, 17, 21, , 1
2020/4/18, 29, 13, 16, , 1
2020/4/19, 28, 14, 19, , 1
2020/4/20, 31, 14, 21, , 1
2020/4/21, 31, 20, 28, , 1
2020/4/22, 38, 20, 22, , 1
2020/4/23, 44, 20, 24, , 1
2020/4/24, 39, 23, 27, , 2
2020/4/25, 50, 38, 36, , 3
2020/4/26, 73, 38, 35, , 5
2020/4/27, 86, 21, 25, , 1
2020/4/28, 40, 20, 25, , 2
2020/4/29, 35, 34, 28, , 60
2020/4/30, 63, 59, 25, , 
2020/5/1, 101, 41, 26, , 
2020/5/2, 81, 30, 21, , 
2020/5/3, 62, 16, 18, , 
2020/5/4, 30, 20, 20, , 
2020/5/5, 34, 51, 20, , 
2020/5/6, 90, 48, 21, , 
2020/5/7, 81, 12, 16, , 
2020/5/8, 18, 11, 13, , 
2020/5/9, 22, 20, 20, , 
2020/5/10, 37, 31, 25, , 
2020/5/11, 58, 45, 20, , 
2020/5/12, 72, 56, 34, , 
2020/5/13, 95, 62, 9, , 
2020/5/14, 106, 22, 15, , 
2020/5/15, 45, 11, 15, , 
2020/5/16, 20, 17, 19, , 
2020/5/17, 36, 26, 36, , 
2020/5/18, 62, 35, 29, , 
2020/5/19, 69, 26, 20, , 
2020/5/20, 52, 29, 26, , 
2020/5/21, 58, 40, 19, , 
2020/5/22, 73, 58, 9, , 
2020/5/23, 77, 27, 10, , 
2020/5/24, 37, 16, 11, , 
2020/5/25, 25, 29, 14, , 
2020/5/26, 33, 40, 12, , 
2020/5/27, 54, 33, 18, , 
2020/5/28, 49, 28, 16, , 
2020/5/29, 47, 49, 32, , 
2020/5/30, 83, 74, 24, , 
2020/5/31, 125, 66, 27, , 
2020/6/1, 99, 69, 26, , 
2020/6/2, 131, 26, 9, , 
2020/6/3, 60, 16, 13, , 
2020/6/4, 35, 11, 14, , 
2020/6/5, 27, 35, 9, , 
2020/6/6, 70, 45, 9, , 
2020/6/7, 71, 26, 11, , 
2020/6/8, 44, 34, 10, , 
2020/6/9, 52, 52, 4, , 
2020/6/10, 81, 42, 6, , 
2020/6/11, 67, 57, 14, , 
2020/6/12, 85, 55, 19, , 
2020/6/13, 83, 65, 25, , 
2020/6/14, 114, 7, 16, , 
2020/6/15, 15, 11, 12, , 
2020/6/16, 20, 19, 14, , 
2020/6/17, 37, 32, 19, , 
2020/6/18, 50, 49, 11, , 
2020/6/19, 61, 60, 12, , 
2020/6/20, 82, 62, 19, , 
2020/6/21, 90, 65, 14, , 
2020/6/22, 130, 53, 33, , 
2020/6/23, 87, 60, 11, , 
2020/6/24, 97, 70, 15, , 
2020/6/25, 90, 64, 14, , 
2020/6/26, 82, 15, 13, , 
2020/6/27, 30, 5, 18, , 
2020/6/28, 12, 5, 16, , 
2020/6/29, 20, 20, 13, , 
2020/6/30, 40, 44, 13, , 
2020/7/1, 45, 29, 10, , 
2020/1/2, 86, 16, 18, , 2
2020/1/3, 39, 6, 15, , 1
2020/1/4, 19, 9, 19, , 1
2020/1/5, 17, 15, 19, , 1
2020/1/6, 25, 20, 21, , 3
2020/1/7, 35, 33, 28, , 5
2020/1/8, 54, 19, 20, , 4
2020/1/9, 39, 20, 12, , 3
2020/1/10, 30, 35, 21, , 5
2020/1/26, 31, 30, 33, , 6
2020/1/27, 58, 40, 41, , 5
2020/1/28, 64, 42, 38, , 4
2020/1/29, 70, 29, 27, , 3
2020/1/30, 51, 22, 19, , 3
2020/1/31, 32, 24, 11, , 4
2020/2/1, 33, 17, 13, , 3
2020/2/2, 31, 10, 18, , 2
2020/2/3, 28, 9, 17, , 2
2020/2/4, 24, 9, 15, , 1
2020/2/5, 17, 14, 17, , 2
2020/2/6, 24, 20, 26, , 2
2020/2/7, 42, 23, 25, , 3
2020/2/8, 46, 21, 27, , 5
2020/2/9, 39, 22, 15, , 7
2020/2/10, 45, 7, 15, , 1
2020/2/11, 20, 9, 13, , 1
2020/2/12, 18, 11, 10, , 1
2020/2/13, 19, 7, 15, , 1
2020/2/14, 21, 15, 23, , 1
2020/2/15, 33, 27, 27, , 4
2020/2/16, 48, 34, 32, , 4
2020/2/17, 70, 36, 51, , 3
2020/2/18, 74, 29, 52, , 5
2020/2/19, 55, 28, 24, , 5
2020/2/20, 50, 31, 19, , 5
2020/2/21, 59, 15, 15, , 2
2020/2/22, 31, 14, 17, , 2
2020/2/23, 32, 17, 18, , 1
2020/2/24, 27, 26, 35, , 2
2020/2/25, 51, 19, 23, , 3
2020/2/26, 44, 14, 19, , 5
2020/2/27, 31, 14, 18, , 1
2020/2/28, 22, 17, 10, , 1
2020/2/29, 20, 8, 13, , 1
2020/3/1, 20, 6, 14, , 1
2020/3/2, 18, 86, 16, , 1
2020/3/3, 14, 7, 13, , 1
2020/3/4, 18, 15, 13, , 1
2020/3/5, 24, 15, 13, , 1
2020/3/6, 26, 20, 18, , 1
2020/3/7, 29, 22, 24, , 1
2020/3/8, 45, 22, 29, , 2
2020/3/9, 43, 24, 36, , 1
2020/3/10, 49, 31, 45, , 2
2020/3/11, 57, 30, 31, , 1
2020/3/12, 58, 28, 25, , 1
2020/3/13, 51, 39, 45, , 2
2020/3/14, 69, 34, 45, , 2
2020/3/15, 67, 35, 28, , 5
2020/3/16, 62, 31, 21, , 3
2020/3/17, 47, 17, 26, , 3
2020/3/18, 31, 26, 39, , 3
2020/3/19, 56, 38, 20, , 5
2020/3/20, 67, 17, 16, , 3
2020/3/21, 31, 14, 19, , 1
2020/3/22, 31, 13, 22, , 1
2020/3/23, 27, 14, 18, , 1
2020/3/24, 26, 14, 17, , 1
2020/3/25, 27, 15, 21, , 1
2020/3/26, 30, 19, 27, , 1
2020/3/27, 33, 24, 31, , 1
2020/3/28, 47, 26, 34, , 2
2020/3/29, 48, 29, 6, , 2
2020/3/30, 64, , , , 
2019/10/2, 70, , 7, 12, 9
2019/10/3, 82, , 16, 8, 3
2019/10/4, 57, , 19, 11, 3
2019/10/5, 78, , 15, 10, 8
2019/10/6, 89, , 26, 6, 1
2019/10/7, 30, , 17, 4, 1
2019/10/8, 21, 33, 23, 7, 2
2019/10/9, 23, , 21, 6, 2
2019/10/10, 19, , 31, 5, 
2019/10/13, 54, 41, 43, 7, 
2019/10/14, 75, 37, 50, 8, 
2019/10/15, 65, 19, 48, 3, 
2019/10/16, 30, 20, 47, 6, 
2019/10/17, 38, 29, 45, 8, 
2019/10/18, 55, 36, 42, 6, 
2019/10/19, 70, 12, 49, 4, 
2019/10/20, 29, 15, 36, 3, 
2019/10/21, 24, 29, 17, 4, 
2019/10/22, 47, 20, 28, 4, 
2019/10/23, 39, 23, 40, 6, 
2019/10/24, 41, 28, 49, 7, 
2019/10/25, 50, 37, 39, 7, 
2019/10/26, 62, 29, 68, 10, 
2019/10/27, 61, 36, 37, 5, 
2019/10/28, 58, 34, 31, 6, 
2019/10/29, 51, 44, 40, 6, 
2019/10/30, 66, 38, 44, 7, 
2019/10/31, 63, 27, 45, 6, 
2019/11/1, 54, 24, 41, 5, 
2019/11/2, 48, 27, 36, 4, 
2019/11/3, 54, 39, 39, 5, 
2019/11/4, 70, 23, 39, 5, 
2019/11/5, 45, 33, 30, 5, 2
2019/11/6, 50, 11, 23, 5, 1
2019/11/7, 23, 17, 16, 6, 2
2019/11/8, 37, 18, 17, 4, 2
2019/11/9, 35, 8, 11, 5, 2
2019/11/10, 19, 20, 18, 4, 4
2019/11/11, 44, 11, 23, 4, 2
2019/11/12, 28, 15, 13, 4, 2
2019/11/13, 26, 26, 24, 4, 2
2019/11/14, 39, 33, 15, 4, 7
2019/11/15, 55, 15, 22, 3, 2
2019/11/16, 31, 19, 19, 3, 2
2019/11/17, 34, 22, 26, 3, 2
2019/11/18, 37, 17, 16, 7, 1
2019/11/19, 37, 13, 19, 5, 2
2019/11/20, 31, 14, 20, 5, 2
2019/11/21, 38, 24, 41, 5, 2
2019/11/22, 50, 33, 30, 4, 5
2019/11/23, 59, 18, 26, 2, 3
2019/11/24, 39, 17, 19, 2, 2
2019/11/25, 23, 21, 20, 4, 2
2019/11/26, 35, 35, 42, 5, 2
2019/11/27, 53, 37, 13, 4, 7
2019/11/28, 58, 11, 24, 2, 2
2019/11/29, 24, 28, 20, 4, 2
2019/11/30, 44, 33, 38, 2, 5
2019/12/1, 62, 22, 27, 2, 5
2019/12/2, 51, 14, 20, 3, 1
2019/12/3, 26, 24, 13, 5, 1
2019/12/4, 40, 31, 24, 3, 3
2019/12/5, 58, 34, 15, 2, 7
2019/12/6, 54, 16, 22, 4, 2
2019/12/7, 34, 20, 32, 3, 3
2019/12/8, 38, 21, 31, 3, 3
2019/12/9, 38, 33, 25, 3, 3
2019/12/10, 60, 28, 10, 4, 5
2019/12/11, 56, 26, 27, 5, 5
2019/12/12, 54, 25, 22, 5, 5
2019/12/13, 44, 25, 25, 3, 6
2019/12/14, 52, 20, 22, , 2
2019/12/15, 48, 20, 24, , 5
2019/12/16, 41, 36, 26, , 5
2019/12/17, 59, 21, 26, , 3
2019/12/18, 40, 13, 22, , 3
2019/12/19, 35, 11, 20, , 2
2019/12/20, 24, 34, 22, , 4
2019/12/21, 69, 31, 25, , 7
2019/12/22, 45, 18, 17, , 5
2019/12/23, 32, 17, 20, , 2
2019/12/24, 39, 15, 26, , 2
2019/12/25, 25, 28, 32, , 4
2019/12/26, 55, 25, 28, , 2
2019/12/27, 51, 24, 24, , 1
2019/12/28, 47, 26, 38, , 2
2019/12/29, 52, 25, 33, , 2
2019/12/30, 52, , , , 
2019/7/2, 90, 50, 27, 14, 7
2019/7/3, 85, 56, 26, 11, 8
2019/7/4, 93, 7, 20, 7, 3
2019/7/5, 21, 7, 12, 3, 4
2019/7/6, 18, 14, 22, 5, 3
2019/7/7, 38, 13, 27, 7, 3
2019/7/8, 32, 18, 29, 11, 3
2019/7/9, 42, 24, 32, 10, 4
2019/7/10, 54, 37, 32, 15, 6
2019/7/11, 75, 46, 39, 19, 9
2019/7/12, 93, 58, 35, 16, 12
2019/7/13, 119, 61, 42, 14, 12
2019/7/14, 113, 70, 36, 13, 13
2019/7/15, 129, 33, 35, 12, 4
2019/7/16, 66, 12, 26, 5, 2
2019/7/17, 28, 19, 23, 6, 3
2019/7/18, 42, 17, 30, 10, 3
2019/7/19, 37, 34, 28, 8, 6
2019/7/20, 62, 40, 26, 7, 8
2019/7/21, 77, 38, 23, 5, 9
2019/7/22, 74, 42, 22, 8, 7
2019/7/23, 74, 52, 23, 9, 8
2019/7/24, 94, 54, 26, 12, 9
2019/7/25, 102, 37, 26, 14, 4
2019/7/26, 80, 43, 30, 14, 6
2019/7/27, 85, 44, 30, 12, 8
2019/7/28, 82, 14, 32, 11, 1
2019/7/29, 31, 33, 28, 10, 3
2019/7/30, 65, 43, 24, 11, 7
