date, pm25, pm10
2021/5/2, 81, 23
2021/5/3, 72, 12
2021/5/4, 38, 17
2021/5/5, 45, 30
2021/5/6, 79, 23
2021/5/7, 64, 15
2021/5/8, 40, 7
2021/5/9, 19, 8
2021/5/10, 18, 4
2021/5/11, 8, 11
2021/5/12, 30, 15
2021/5/13, 41, 7
2021/5/14, 19, 6
2021/5/15, 16, 9
2021/5/16, 35, 5
2021/5/17, 16, 8
2021/5/18, 28, 18
2021/5/19, 54, 5
2021/5/20, 12, 12
2021/5/21, 17, 
2021/4/2, 14, 7
2021/4/3, 13, 11
2021/4/4, 21, 7
2021/4/5, 9, 6
2021/4/6, 9, 5
2021/4/7, 10, 6
2021/4/8, 14, 11
2021/4/9, 32, 3
2021/4/10, 11, 4
2021/4/11, 11, 2
2021/4/12, 7, 8
2021/4/13, 24, 10
2021/4/14, 30, 10
2021/4/15, 10, 6
2021/4/16, 18, 
2021/4/20, 11, 4
2021/4/21, 10, 14
2021/4/22, 41, 5
2021/4/23, 10, 5
2021/4/24, 14, 9
2021/4/25, 27, 10
2021/4/26, 30, 9
2021/4/27, 26, 22
2021/4/28, 63, 14
2021/4/29, 43, 11
2021/4/30, 35, 8
2021/5/1, 25, 28
2021/3/2, 11, 5
2021/3/3, 9, 2
2021/3/4, 6, 3
2021/3/5, 6, 4
2021/3/6, 6, 7
2021/3/7, 13, 5
2021/3/8, 7, 5
2021/3/9, 11, 2
2021/3/10, 6, 5
2021/3/11, 7, 5
2021/3/12, 8, 8
2021/3/13, 15, 5
2021/3/14, 12, 3
2021/3/15, 7, 4
2021/3/16, 8, 10
2021/3/17, 14, 9
2021/2/2, 7, 3
2021/2/3, 5, 7
2021/2/4, 9, 3
2021/2/5, 8, 8
2021/2/6, 13, 4
2021/2/7, 6, 3
2021/2/8, 8, 4
2021/2/9, 6, 4
2021/2/10, 5, 6
2021/2/11, 6, 5
2021/2/12, 7, 7
2021/2/13, 9, 3
2021/2/14, 6, 
2021/1/5, 5, 2
2021/1/6, 5, 4
2021/1/7, 7, 7
2021/1/8, 9, 7
2021/1/9, 11, 4
2021/1/10, 5, 4
2021/1/11, 7, 2
2021/1/12, 6, 4
2021/1/13, 9, 8
2021/1/14, 11, 2
2021/1/15, 6, 4
2021/1/16, 9, 2
2021/1/17, 6, 4
2021/1/18, 6, 3
2021/1/19, 9, 5
2021/1/20, 7, 7
2021/1/21, 9, 5
2021/1/22, 7, 4
2021/1/23, 8, 2
2021/1/26, 14, 3
2021/1/27, 6, 2
2021/1/28, 5, 4
2021/1/30, 7, 2
2021/1/31, 6, 3
2021/2/1, 7, 4
2020/10/2, 13, 10
2020/10/3, 17, 9
2020/10/4, 18, 5
2020/10/5, 19, 1
2020/10/6, 9, 6
2020/10/7, 23, 6
2020/10/8, 20, 7
2020/10/9, 33, 3
2020/10/10, 12, 6
2020/10/11, 21, 8
2020/10/12, 26, 7
2020/10/13, 20, 7
2020/10/14, 15, 10
2020/10/15, 18, 7
2020/10/16, 18, 8
2020/10/17, 24, 5
2020/10/18, 17, 4
2020/10/19, 19, 3
2020/10/20, 11, 3
2020/10/21, 7, 3
2020/10/22, 11, 3
2020/10/23, 9, 4
2020/10/24, 13, 2
2020/10/25, 8, 4
2020/10/26, 8, 8
2020/10/27, 11, 6
2020/10/28, 9, 2
2020/10/29, 5, 3
2020/10/30, 6, 3
2020/10/31, 8, 3
2020/11/1, 9, 4
2020/11/2, 10, 3
2020/11/3, 8, 4
2020/11/4, 7, 4
2020/11/5, 9, 3
2020/11/6, 6, 2
2020/11/7, 7, 4
2020/11/8, 10, 4
2020/11/9, 7, 6
2020/11/10, 7, 5
2020/11/11, 8, 8
2020/11/12, 13, 8
2020/11/13, 11, 3
2020/11/14, 5, 2
2020/11/15, 6, 3
2020/11/16, 7, 5
2020/11/17, 7, 4
2020/11/18, 6, 7
2020/11/19, 9, 10
2020/11/20, 25, 9
2020/11/21, 14, 9
2020/11/22, 11, 7
2020/11/23, 10, 8
2020/11/24, 9, 4
2020/11/25, 8, 3
2020/11/26, 7, 5
2020/11/27, 7, 10
2020/11/28, 17, 6
2020/11/29, 15, 3
2020/11/30, 7, 4
2020/12/1, 9, 7
2020/12/2, 9, 5
2020/12/3, 8, 6
2020/12/4, 8, 3
2020/12/5, 6, 4
2020/12/6, 5, 
2020/12/8, 7, 2
2020/12/9, 5, 2
2020/12/10, 5, 3
2020/12/11, 6, 4
2020/12/12, 6, 5
2020/12/13, 8, 5
2020/12/14, 6, 7
2020/12/15, 9, 8
2020/12/16, 11, 5
2020/12/17, 6, 1
2020/12/18, 5, 2
2020/12/19, 9, 2
2020/12/20, 5, 2
2020/12/21, 7, 3
2020/12/22, 6, 2
2020/12/23, 5, 2
2020/12/24, 5, 3
2020/12/25, 14, 2
2020/12/26, 5, 4
2020/12/27, 9, 5
2020/12/28, 12, 3
2020/12/29, 10, 4
2020/12/30, 5, 2
2020/12/31, 5, 1
2021/1/1, 5, 2
2021/1/2, 5, 4
2021/1/3, 6, 4
2021/1/4, 6, 1
2020/7/2, 42, 6
2020/7/3, 16, 14
2020/7/4, 43, 6
2020/7/5, 24, 19
2020/7/6, 56, 19
2020/7/7, 59, 15
2020/7/8, 40, 25
2020/7/9, 72, 22
2020/7/10, 70, 27
2020/7/11, 76, 33
2020/7/12, 94, 25
2020/7/13, 78, 25
2020/7/14, 86, 20
2020/7/15, 56, 3
2020/7/16, 10, 15
2020/7/17, 44, 31
2020/7/18, 90, 6
2020/7/19, 22, 7
2020/7/20, 15, 5
2020/7/21, 14, 16
2020/7/22, 46, 40
2020/7/23, 107, 31
2020/7/24, 85, 9
2020/7/25, 35, 34
2020/7/26, 98, 25
2020/7/27, 75, 7
2020/7/28, 20, 11
2020/7/29, 35, 18
2020/7/30, 55, 12
2020/7/31, 35, 12
2020/8/1, 35, 12
2020/8/2, 25, 9
2020/8/3, 22, 5
2020/8/4, 12, 4
2020/8/5, 15, 2
2020/8/6, 7, 15
2020/8/7, 52, 15
2020/8/8, 43, 9
2020/8/9, 22, 35
2020/8/10, 93, 26
2020/8/11, 75, 12
2020/8/12, 39, 16
2020/8/13, 50, 14
2020/8/14, 47, 23
2020/8/15, 70, 11
2020/8/16, 35, 2
2020/8/17, 7, 8
2020/8/18, 33, 8
2020/8/19, 22, 4
2020/8/20, 15, 5
2020/8/21, 20, 7
2020/8/22, 20, 14
2020/8/23, 43, 7
2020/8/24, 33, 15
2020/8/25, 55, 19
2020/8/26, 58, 4
2020/8/27, 17, 6
2020/8/28, 15, 7
2020/8/29, 18, 7
2020/8/30, 17, 10
2020/8/31, 18, 11
2020/9/1, 33, 15
2020/9/2, 50, 7
2020/9/3, 16, 7
2020/9/4, 14, 6
2020/9/5, 13, 5
2020/9/6, 16, 7
2020/9/7, 20, 8
2020/9/8, 20, 8
2020/9/9, 19, 10
2020/9/10, 41, 11
2020/9/11, 38, 7
2020/9/12, 13, 4
2020/9/13, 15, 4
2020/9/14, 11, 8
2020/9/15, 15, 6
2020/9/16, 13, 6
2020/9/17, 14, 9
2020/9/18, 38, 12
2020/9/19, 32, 16
2020/9/20, 46, 9
2020/9/21, 27, 6
2020/9/22, 14, 4
2020/9/23, 9, 6
2020/9/24, 27, 14
2020/9/25, 46, 7
2020/9/26, 26, 5
2020/9/27, 24, 7
2020/9/28, 24, 19
2020/9/29, 70, 11
2020/9/30, 35, 7
2020/10/1, 17, 7
2020/4/2, 14, 5
2020/4/3, 18, 7
2020/4/4, 21, 3
2020/4/5, 9, 3
2020/4/6, 9, 4
2020/4/7, 10, 13
2020/4/8, 40, 10
2020/4/9, 63, 14
2020/4/10, 42, 8
2020/4/11, 18, 3
2020/4/12, 12, 8
2020/4/13, 30, 8
2020/4/14, 28, 6
2020/4/15, 15, 11
2020/4/16, 28, 7
2020/4/17, 12, 3
2020/4/18, 6, 10
2020/4/19, 31, 13
2020/4/20, 43, 7
2020/4/21, 12, 9
2020/4/22, 16, 9
2020/4/23, 18, 8
2020/4/24, 19, 5
2020/4/25, 13, 4
2020/4/26, 11, 5
2020/4/27, 11, 6
2020/4/28, 10, 8
2020/4/29, 18, 14
2020/4/30, 41, 7
2020/5/1, 19, 4
2020/5/2, 13, 2
2020/5/3, 9, 22
2020/5/4, 62, 23
2020/5/5, 70, 26
