date, pm25, pm10, o3, no2, so2
2021/5/19, 55, 38, 24, 7, 
2021/5/20, 70, 39, 23, 9, 
2021/5/21, 64, 46, 26, 9, 
2021/5/22, 75, 56, , 12, 
2021/4/2, 37, 15, 30, 8, 
2021/4/3, 24, 23, 29, 8, 
2021/4/4, 31, 24, 32, 8, 
2021/4/5, 35, 27, 33, 7, 
2021/4/6, 21, 20, 11, 6, 
2021/3/2, 33, 25, 21, 4, 
2021/3/3, 37, 24, 17, 5, 
2021/3/4, 36, 31, 19, 4, 
2021/3/5, 40, 18, 6, 3, 
2021/3/6, 19, 10, 12, 1, 
2021/3/7, 17, 18, 16, 2, 
2021/3/8, 21, 20, 23, 4, 
2021/3/9, 26, 29, 33, 8, 
2021/3/10, 39, 26, 43, 12, 
2021/3/11, 34, 36, 16, 15, 
2021/3/12, 55, 29, 29, 13, 
2021/3/13, 44, 35, 39, 12, 
2021/3/14, 57, 25, 36, 9, 
2021/3/15, 42, 36, 39, 12, 
2021/3/16, 49, 35, 39, 11, 
2021/3/17, 56, 33, 29, 11, 
2021/3/18, 47, 24, 22, 10, 
2021/3/19, 36, 25, 42, 11, 
2021/3/20, 39, 24, 35, 9, 
2021/3/21, 39, 28, 27, 9, 
2021/3/22, 42, 30, 37, 10, 
2021/3/23, 43, 35, 44, 12, 
2021/3/24, 58, 37, 50, 12, 
2021/3/25, 58, 33, 50, 12, 
2021/3/26, 47, 41, 42, 13, 
2021/3/27, 55, 43, 44, 11, 
2021/3/28, 63, 28, 41, 8, 
2021/3/29, 39, 33, 39, 10, 
2021/3/30, 46, 31, 28, 11, 
2021/3/31, 42, 20, 23, 11, 
2021/4/1, 30, 24, 26, 11, 
2021/2/2, 32, 28, 29, 4, 
2021/2/3, 41, 22, 34, 4, 
2021/2/4, 36, 36, 31, 6, 
2021/2/5, 62, 22, 9, 8, 
2021/2/6, 37, 19, 19, 3, 
2021/2/7, 30, 18, 24, 2, 
2021/2/8, 25, 23, 32, 5, 
2021/2/9, 30, 26, 32, 5, 
2021/2/10, 31, 21, 30, 5, 
2021/2/11, 34, 22, 14, 6, 
2021/2/12, 35, 15, 17, 6, 
2021/2/13, 26, 12, 14, 2, 
2021/2/14, 19, 15, 17, 2, 
2021/2/15, 20, 20, 20, 5, 
2021/2/16, 28, 29, 22, 6, 
2021/2/17, 34, 27, 22, 5, 
2021/2/18, 39, 22, 24, 4, 
2021/2/19, 31, 31, 33, 6, 
2021/2/20, 50, 31, 41, 4, 
2021/2/21, 49, 28, 36, 2, 
2021/2/22, 38, 24, 37, 5, 
2021/2/23, 37, 27, 30, 4, 
2021/2/24, 37, 37, 29, 5, 
2021/2/25, 48, 21, 27, 3, 
2021/2/26, 34, 20, 29, 5, 
2021/2/27, 37, 15, 25, 3, 
2021/2/28, 28, 14, 16, 2, 
2021/3/1, 24, 21, 21, 4, 
2021/1/5, 24, 28, 27, 6, 
2021/1/6, 40, 28, 22, 4, 
2021/1/7, 35, 23, 19, 4, 
2021/1/8, 28, 20, 19, 3, 
2021/1/9, 30, 19, 29, 3, 
2021/1/10, 39, 24, 25, 2, 
2021/1/11, 41, 21, 30, 3, 
2021/1/12, 38, 23, 24, 5, 
2021/1/13, 41, 19, 32, 7, 
2021/1/14, 37, 16, 21, 5, 
2021/1/15, 28, 18, 21, 4, 
2021/1/16, 28, 17, 17, 2, 
2021/1/17, 30, 15, 15, 2, 
2021/1/18, 20, 16, 21, 3, 
2021/1/19, 23, 22, 29, 4, 
2021/1/20, 31, 25, 30, 4, 
2021/1/21, 36, 24, 35, 3, 
2021/1/22, 36, 25, 33, 2, 
2021/1/23, 42, 30, 30, 2, 
2021/1/24, 43, 30, 26, 3, 
