date, pm25, pm10, o3, no2, so2, co
2021/5/2, 25, , , 4, , 3
2021/5/3, 41, , , 10, , 4
2021/5/4, 48, , , 11, , 5
2021/5/5, 54, , , 12, , 5
2021/5/6, 54, , , 5, , 3
2021/5/7, 34, , , 9, , 4
2021/5/8, 42, , , 9, , 5
2021/5/9, 56, , , 7, , 4
2021/5/10, 53, , , 9, , 4
2021/5/11, 51, , , 11, , 4
2021/5/12, 53, , , 10, , 4
2021/5/13, 52, , , 8, , 3
2021/5/14, 42, , , 6, , 3
2021/5/15, 36, , , 4, , 3
2021/5/16, 24, , , 3, , 3
2021/5/17, 30, , , 5, , 3
2021/5/18, 23, , , 7, , 3
2021/5/19, 31, , , , , 
2021/4/2, 49, , , 14, , 5
2021/4/3, 54, , , 4, , 3
2021/4/4, 43, , , 3, , 3
2021/4/5, 27, , , 6, , 3
2021/4/6, 28, , , 6, , 3
2021/4/7, 45, , , 6, , 3
2021/4/8, 44, , , 10, , 4
2021/4/9, 36, , , 9, , 4
2021/4/10, 48, , , 7, , 4
2021/4/11, 41, , , 7, , 4
2021/4/12, 49, , , 11, , 5
2021/4/13, 61, , , 6, , 4
2021/4/14, 55, , , 8, , 4
2021/4/15, 54, , , 10, , 4
2021/4/16, 55, , , 8, , 4
2021/4/17, 53, , , 7, , 5
2021/4/18, 53, , , 10, , 6
2021/4/19, 46, , , 10, , 5
2021/4/20, 53, , , 8, , 4
2021/4/21, 42, , , 6, , 4
2021/4/22, 50, , , 5, , 4
2021/4/23, 47, , , 6, , 4
2021/4/24, 45, , , 5, , 4
2021/4/25, 37, , , 5, , 4
2021/4/26, 28, , , 8, , 5
2021/4/27, 27, , , 10, , 5
2021/4/28, 25, , , 13, , 6
2021/4/29, 34, , , 13, , 5
2021/4/30, 42, , , 8, , 4
2021/5/1, 34, , , 4, , 4
2021/3/2, 37, , , 21, , 6
2021/3/3, 49, , , 15, , 5
2021/3/4, 51, , , 14, , 5
2021/3/5, 50, , , 11, , 4
2021/3/6, 33, , , 7, , 4
2021/3/7, 19, , , 7, , 4
2021/3/8, 30, , , 9, , 4
2021/3/9, 37, , , 9, , 4
2021/3/10, 27, , , 7, , 4
2021/3/11, 23, , , 13, , 5
2021/3/12, 28, , , 13, , 6
2021/3/13, 34, , , 9, , 5
2021/3/14, 40, , , 3, , 3
2021/3/15, 21, , , 8, , 4
2021/3/16, 29, , , 11, , 5
2021/3/17, 38, , , 13, , 6
2021/3/18, 34, , , 11, , 5
2021/3/19, 27, , , 13, , 6
2021/3/20, 35, , , 11, , 6
2021/3/21, 37, , , 8, , 5
2021/3/22, 35, , , 9, , 5
2021/3/23, 37, , , 7, , 4
2021/3/24, 24, , , 11, , 4
2021/3/25, 30, , , 8, , 4
2021/3/26, 36, , , 12, , 6
2021/3/27, 41, , , 14, , 7
2021/3/28, 39, , , 14, , 7
2021/3/29, 44, , , 11, , 5
2021/3/30, 46, , , 13, , 4
2021/3/31, 37, , , 20, , 6
2021/4/1, 44, , , 17, , 5
2021/2/2, 39, , , 11, , 5
2021/2/3, 24, , , 12, , 5
2021/2/4, 29, , , 15, , 5
2021/2/5, 31, , , 20, , 8
2021/2/6, 38, , , 17, , 9
2021/2/7, 51, , , 17, , 9
2021/2/8, 63, , , 23, , 9
2021/2/9, 73, , , 15, , 6
2021/2/10, 48, , , 15, , 7
2021/2/11, 40, , , 15, , 6
2021/2/12, 42, , , 9, , 5
2021/2/13, 24, , , 6, , 5
2021/2/14, 27, , , 7, , 5
2021/2/15, 34, , , 7, , 5
2021/2/16, 25, , , 11, , 5
2021/2/17, 42, , , 17, , 7
2021/2/18, 41, , , 19, , 6
2021/2/19, 35, , , 10, , 3
2021/2/20, 26, , , 10, , 4
2021/2/21, 34, , , 13, , 5
2021/2/22, 37, , , 18, , 6
2021/2/23, 35, , , 17, , 6
2021/2/24, 41, , , 12, , 4
2021/2/25, 37, , , 12, , 3
2021/2/26, 23, , , 14, , 5
2021/2/27, 47, , , 10, , 4
2021/2/28, 45, , , 13, , 5
2021/3/1, 35, , , 16, , 4
2021/1/5, 40, , , 16, , 6
2021/1/6, 46, , , 22, , 9
2021/1/7, 55, , , 18, , 8
2021/1/8, 68, , , 19, , 8
2021/1/9, 53, , , 15, , 7
2021/1/10, 56, , , 17, , 8
2021/1/11, 60, , , 19, , 9
2021/1/12, 64, , , 21, , 8
2021/1/13, 66, , , 20, , 8
2021/1/14, 61, , , 17, , 7
2021/1/15, 48, , , 19, , 10
2021/1/16, 56, , , 17, , 10
2021/1/17, 58, , , 15, , 9
2021/1/18, 51, , , 8, , 4
2021/1/19, 29, , , 7, , 3
2021/1/20, 25, , , 23, , 7
2021/1/21, 54, , , 23, , 8
2021/1/22, 56, , , 13, , 4
2021/1/23, 33, , , 13, , 6
2021/1/24, 44, , , 10, , 6
2021/1/25, 47, , , 8, , 4
2021/1/26, 27, , , 12, , 5
2021/1/27, 29, , , 5, , 3
2021/1/28, 25, , , 8, , 4
2021/1/29, 22, , , 13, , 6
2021/1/30, 31, , , 13, , 7
2021/1/31, 34, , , 11, , 5
2021/2/1, 25, , , 12, , 6
2020/10/2, 152, , , 30, , 16
2020/10/3, 159, , , 16, , 11
2020/10/4, 101, , , 9, , 7
2020/10/5, 49, , , 14, , 7
2020/10/6, 53, , , 17, , 8
2020/10/7, 61, , , 13, , 7
2020/10/8, 91, , , 8, , 5
2020/10/9, 70, , , 8, , 5
2020/10/10, 25, , , 7, , 5
2020/10/11, 20, , , 9, , 6
2020/10/12, 28, , , 18, , 8
2020/10/13, 49, , , 21, , 8
2020/10/14, 49, , , 18, , 8
2020/10/15, 41, , , 20, , 7
2020/10/16, 39, , , 24, , 9
2020/10/17, 46, , , 23, , 10
2020/10/18, 53, , , 16, , 8
2020/10/19, 48, , , 15, , 7
2020/10/20, 44, , , 21, , 8
2020/10/21, 46, , , 22, , 8
2020/10/22, 43, , , 14, , 5
2020/10/23, 49, , , 13, , 5
2020/10/24, 46, , , 10, , 5
2020/10/25, 45, , , 8, , 4
2020/10/26, 46, , , 13, , 3
2020/10/27, 45, , , 21, , 6
2020/10/28, 39, , , 27, , 8
2020/10/29, 53, , , 27, , 8
2020/10/30, 68, , , 26, , 9
2020/10/31, 74, , , 27, , 11
2020/11/1, 83, , , 28, , 13
2020/11/2, 88, , , 29, , 11
2020/11/3, 77, , , 22, , 8
2020/11/4, 58, , , 17, , 7
2020/11/5, 37, , , 22, , 10
2020/11/6, 50, , , 9, , 4
2020/11/7, 25, , , 9, , 4
2020/11/8, 26, , , 6, , 4
2020/11/9, 34, , , 16, , 6
2020/11/10, 36, , , 18, , 5
2020/11/11, 34, , , 18, , 6
2020/11/12, 41, , , 19, , 7
2020/11/13, 53, , , 14, , 5
2020/11/14, 33, , , 12, , 7
2020/11/15, 43, , , 14, , 9
2020/11/16, 64, , , 23, , 12
2020/11/17, 63, , , 12, , 5
2020/11/18, 30, , , 12, , 5
2020/11/19, 16, , , 15, , 6
2020/11/20, 35, , , 19, , 7
2020/11/21, 41, , , 20, , 8
2020/11/22, 53, , , 16, , 8
2020/11/23, 62, , , 17, , 6
2020/11/24, 47, , , 16, , 7
2020/11/25, 45, , , 15, , 6
2020/11/26, 40, , , 12, , 6
2020/11/27, 45, , , 18, , 8
2020/11/28, 51, , , 21, , 10
2020/11/29, 66, , , 22, , 11
2020/11/30, 80, , , 24, , 10
2020/12/1, 69, , , 24, , 10
2020/12/2, 60, , , 26, , 12
2020/12/3, 67, , , 29, , 11
2020/12/4, 81, , , 33, , 13
2020/12/5, 104, , , 30, , 13
2020/12/6, 100, , , 22, , 10
2020/12/7, 90, , , 21, , 8
2020/12/8, 46, , , 28, , 10
2020/12/9, 41, , , 28, , 10
2020/12/10, 73, , , 24, , 8
2020/12/11, 69, , , 16, , 5
2020/12/12, 43, , , 10, , 5
2020/12/13, 27, , , 6, , 4
2020/12/14, 26, , , 16, , 6
2020/12/15, 36, , , 16, , 8
2020/12/16, 49, , , 19, , 9
2020/12/17, 56, , , 13, , 5
2020/12/18, 26, , , 16, , 8
2020/12/22, 66, , , 18, , 7
2020/12/23, 53, , , 21, , 8
2020/12/24, 45, , , 21, , 11
2020/12/25, 80, , , 7, , 5
2020/12/26, 47, , , 11, , 6
2020/12/27, 35, , , 10, , 6
2020/12/28, 42, , , 14, , 6
2020/12/29, 38, , , 17, , 7
2020/12/30, 51, , , 20, , 8
2020/12/31, 52, , , 15, , 5
2021/1/1, 48, , , 12, , 7
2021/1/2, 73, , , 12, , 5
2021/1/3, 40, , , 12, , 5
2021/1/4, 61, , , 13, , 5
2020/7/2, 35, , 23, 5, , 8
2020/7/3, 27, , 31, 6, , 11
2020/7/4, 42, , 36, 7, 3, 12
2020/7/5, 63, , 36, 6, 1, 12
2020/7/6, 78, , 30, 7, , 11
2020/7/7, 47, , 32, 8, , 12
2020/7/8, 39, , 28, 8, 1, 6
2020/7/9, 45, , 27, 7, , 2
2020/7/10, 38, , 22, 9, , 3
2020/7/11, 27, , 34, 8, , 4
2020/7/12, 33, , 34, 6, , 3
2020/7/13, 43, , 25, 7, , 2
2020/7/14, 46, , 28, 5, , 2
2020/7/15, 36, , 29, 7, , 3
2020/7/16, 22, , 30, 8, , 4
2020/7/17, 24, , 32, 8, , 4
2020/7/18, 25, , 32, 6, , 4
2020/7/19, 23, , 25, 4, , 4
2020/7/20, 36, , 23, 6, , 4
2020/7/21, 27, , 24, 6, 1, 4
2020/7/22, 23, , 21, 5, , 3
2020/7/23, 15, , 25, 5, , 3
2020/7/24, 20, , 23, 6, , 4
2020/7/25, 29, , 29, 5, , 4
2020/7/26, 37, , 29, 4, , 4
2020/7/27, 34, , 29, 8, , 4
2020/7/28, 31, , 29, 7, 1, 4
2020/7/29, 28, , 27, 8, 1, 4
2020/7/30, 31, , 29, 8, 1, 4
2020/7/31, 35, , 24, 7, , 4
2020/8/1, 33, , 19, 5, 1, 4
2020/8/2, 22, , 21, 5, 1, 4
2020/8/3, 19, , 22, 8, 1, 4
2020/8/4, 30, , 21, 6, 1, 4
2020/8/5, 23, , 19, 5, , 4
2020/8/6, 28, , 22, 3, , 4
2020/8/7, 22, , 30, 7, , 5
2020/8/8, 34, , 33, 6, 1, 5
2020/8/9, 47, , 32, 6, 1, 5
2020/8/10, 35, , 30, 9, 1, 5
2020/8/11, 44, , 28, 8, 1, 5
2020/8/12, 34, , 32, 10, 1, 5
2020/8/13, 39, , 39, 14, 1, 6
2020/8/14, 40, , 48, 15, 1, 6
2020/8/15, 37, , 33, 10, 1, 6
2020/8/16, 29, , 47, 8, 1, 6
2020/8/17, 42, , 24, 11, 1, 6
2020/8/18, 26, , 32, 13, 1, 6
2020/8/19, 55, , 50, 16, 1, 10
2020/8/20, 154, , 22, 7, 1, 5
2020/8/21, 73, , 27, 8, 1, 8
2020/8/22, 88, , 43, 11, 1, 9
2020/8/23, 111, , 37, 9, 1, 9
2020/8/24, 121, , 21, 10, , 8
2020/8/25, 97, , , 9, , 7
2020/8/26, 71, , , 9, , 6
2020/8/27, 59, , , 8, , 6
2020/8/28, 63, , , 12, , 8
2020/8/29, 83, , , 8, , 7
2020/8/30, 73, , , 7, , 7
2020/8/31, 64, , , 11, , 7
2020/9/1, 54, , , 10, , 6
2020/9/2, 59, , , 10, , 6
2020/9/3, 54, , , 8, , 6
2020/9/4, 54, , , 10, , 6
2020/9/5, 56, , , 16, , 9
2020/9/6, 81, , , 16, , 11
2020/9/7, 103, , , 17, , 11
2020/9/8, 105, , , 13, , 7
2020/9/9, 73, , , 13, , 7
2020/9/10, 62, , , 15, , 11
2020/9/11, 103, , , 19, , 17
2020/9/12, 182, , , 17, , 18
2020/9/13, 177, , , 8, , 17
2020/9/14, 172, , , 10, , 16
2020/9/15, 183, , , 9, , 8
2020/9/16, 94, , , 6, , 5
2020/9/17, 20, , , 6, , 4
2020/9/18, 21, , , 7, , 5
2020/9/19, 35, , , 8, , 6
2020/9/20, 44, , , 11, , 8
2020/9/21, 69, , , 13, , 7
2020/9/22, 64, , , 11, , 5
2020/9/23, 33, , , 9, , 5
2020/9/24, 20, , , 4, , 4
