date, pm25, pm10, o3, no2, so2, co
2021/1/5, 24, 20, 27, 8, , 1
2021/1/6, 30, 16, 26, 7, , 1
2021/1/7, 33, 12, 26, 8, , 1
2021/1/8, 27, 27, 29, 5, , 1
2021/1/9, 27, 23, 27, 4, , 1
2021/1/10, 32, 14, 26, 4, , 1
2021/1/11, 32, 23, 26, 7, , 1
2021/1/12, 31, 13, 28, 7, , 1
2021/1/13, 28, 29, 23, 5, , 1
2021/1/14, 26, 18, 21, 9, , 1
2021/1/15, 28, 17, 20, 10, , 1
2021/1/16, 34, 14, 23, 7, , 1
2021/1/17, 31, 19, 18, 5, , 3
2021/1/18, 26, 20, 24, 4, , 1
2021/1/19, 23, 22, 32, 4, , 1
2021/1/20, 31, 20, 37, 5, , 1
2021/1/21, 37, 19, 36, 4, , 1
2021/1/22, 38, 22, 40, 4, , 1
2021/1/23, 41, 20, 31, 5, , 1
2021/1/24, 41, 16, 31, 3, , 
2021/1/25, 38, 16, 29, 5, , 1
2021/1/26, 36, 19, 34, 8, , 1
2021/1/27, 35, 17, 27, 9, , 1
2021/1/28, 42, 21, 31, 9, , 1
2021/1/29, 41, 26, 30, 10, , 1
2021/1/30, 46, 23, 6, 14, , 1
2021/1/31, 49, , , , , 
2020/10/2, 73, 46, 55, 20, , 3
2020/10/3, 91, 29, 34, 7, , 3
2020/10/4, 61, 7, 24, 1, , 1
2020/10/5, 20, 21, 38, 6, , 1
2020/10/6, 40, 35, 76, 11, , 1
2020/10/7, 72, 35, 52, 13, , 1
2020/10/8, 73, 20, 36, 8, , 1
2020/10/9, 56, 16, 19, 16, , 2
2020/10/10, 51, 14, 30, 4, , 1
2020/10/11, 32, 12, 28, 2, , 1
2020/10/12, 24, 18, 43, 4, , 1
2020/10/13, 43, 23, 48, 9, , 1
2020/10/14, 50, 34, 58, 12, , 1
2020/10/15, 68, 23, 28, 7, , 1
2020/10/16, 46, 15, 17, 8, , 1
2020/10/17, 35, 9, 22, 2, , 1
2020/10/18, 17, 13, 30, 2, , 1
2020/10/19, 31, 14, 31, 5, , 1
2020/10/20, 33, 17, 32, 7, , 1
2020/10/21, 37, 19, 32, 6, , 1
2020/10/22, 51, 12, 25, 3, , 1
2020/10/23, 23, 18, 32, 3, , 1
2020/10/24, 32, 21, 26, 7, , 1
2020/10/25, 40, 16, 29, 4, , 1
2020/10/26, 36, 14, 33, 3, , 1
2020/10/27, 21, 26, 41, 8, , 1
2020/10/28, 41, 26, 46, 11, , 1
2020/10/29, 52, 31, 64, 13, , 1
2020/10/30, 61, 13, 26, 3, , 1
2020/10/31, 18, 12, 24, 2, , 1
2020/11/1, 15, 16, 17, 1, , 1
2020/11/2, 18, 15, 18, 2, , 1
2020/11/3, 16, 15, 19, 2, , 1
2020/11/4, 19, 17, 27, 3, , 
2020/11/5, 29, 8, 24, 2, , 1
2020/11/6, 22, 13, 26, 5, , 1
2020/11/7, 25, 19, 37, 3, , 1
2020/11/8, 33, 21, 37, 4, , 1
2020/11/9, 44, 22, 41, 6, , 1
2020/11/10, 54, 13, 34, 6, , 1
2020/11/11, 35, 20, 46, 10, , 1
2020/11/12, 52, 12, 36, 10, , 1
2020/11/13, 35, 12, 34, 9, , 1
2020/11/14, 38, 16, 36, 7, , 1
2020/11/15, 36, 14, 36, 3, , 1
2020/11/16, 33, 17, 31, 10, , 1
2020/11/17, 46, 10, 29, 6, , 1
2020/11/18, 27, 8, 15, 5, , 1
2020/11/19, 22, 6, 16, 6, , 1
2020/11/20, 17, 10, 21, 3, , 1
2020/11/21, 15, 9, 24, 4, , 1
2020/11/22, 23, 10, 22, 1, , 1
2020/11/23, 20, 8, 21, 2, , 1
2020/11/24, 22, 13, 27, 2, , 1
2020/11/25, 21, 18, 37, 4, , 1
2020/11/26, 34, 16, 35, 9, , 1
2020/11/27, 34, 18, 42, 7, , 1
2020/11/28, 41, 17, 42, 5, , 1
2020/11/29, 40, 18, 33, 4, , 1
2020/11/30, 42, 15, 34, 7, , 1
2020/12/1, 42, 15, 38, 6, , 1
2020/12/2, 38, 11, 32, 4, , 1
2020/12/3, 28, 17, 35, 5, , 1
2020/12/4, 36, 20, 46, 8, , 1
2020/12/5, 39, 11, 23, 2, , 1
2020/12/6, 21, 12, 14, 2, , 1
2020/12/7, 18, 11, 26, 7, , 1
2020/12/8, 22, 14, 28, 6, , 1
2020/12/9, 23, 16, 26, 6, , 1
2020/12/10, 26, 16, 25, 5, , 1
2020/12/11, 24, 20, 23, 10, , 1
2020/12/12, 38, 19, 25, 7, , 1
2020/12/13, 33, 13, 24, 5, , 1
2020/12/14, 21, 12, 23, 7, , 1
2020/12/15, 24, 15, 26, 12, , 1
2020/12/16, 71, 19, 38, 11, , 1
2020/12/17, 68, 15, 34, 10, , 1
2020/12/18, 33, 14, 38, 9, , 1
2020/12/19, 33, 12, 31, 6, , 1
2020/12/20, 34, 9, 31, 3, , 1
2020/12/21, 24, 14, 32, 10, , 1
2020/12/22, 33, 7, 17, 3, , 1
2020/12/23, 17, 11, 19, 3, , 1
2020/12/24, 21, 10, 15, 2, , 
2020/12/25, 19, 8, 16, 1, , 1
2020/12/26, 19, 8, 21, 1, , 1
2020/12/27, 17, 7, 14, 2, , 
2020/12/28, 15, 11, 17, 10, , 1
2020/12/29, 29, 15, 21, 8, , 1
2020/12/30, 24, 15, 29, 7, , 1
2020/12/31, 23, 16, 24, 7, , 1
2021/1/1, 35, 31, 6, 9, , 1
2021/1/2, 78, , , , , 
2020/7/2, 37, 17, 26, , , 1
2020/7/3, 39, 18, 27, , , 
2020/7/4, 44, 27, 28, , , 1
2020/7/5, 61, 22, 22, , , 
2020/7/6, 57, 29, 30, , , 
2020/7/7, 64, 27, 28, , , 
2020/7/8, 61, 28, 22, , , 
2020/7/9, 58, 29, 31, , , 
2020/7/10, 60, 22, 22, , , 
2020/7/11, 49, 27, 26, 11, , 
2020/7/12, 61, 34, 26, 15, , 
2020/7/13, 75, 35, 30, , , 
2020/7/14, 72, 18, 20, , , 
2020/7/15, 43, 5, 20, , , 
2020/7/16, 10, 12, 18, , , 
2020/7/17, 32, 29, 13, 25, , 6
2020/7/18, 68, 29, 2, 13, , 2
2020/7/19, 66, 20, 9, 3, , 1
2020/7/20, 52, 21, , , , 
2020/7/21, 50, 24, , , , 2
2020/7/22, 54, 29, 35, 11, , 2
2020/7/23, 61, 30, 33, 17, , 2
2020/7/24, 64, 28, 28, 18, , 2
2020/7/25, 59, 34, 28, 13, , 3
2020/7/26, 64, 14, 25, 1, , 1
2020/7/27, 32, 24, 27, 11, , 1
2020/7/28, 52, 28, 23, 15, , 4
2020/7/29, 51, 12, 23, 3, , 1
2020/7/30, 23, 5, 19, 5, , 1
2020/7/31, 13, 7, 19, 3, , 1
2020/8/1, 16, 13, 26, 4, , 1
2020/8/2, 33, 15, 27, 4, , 1
2020/8/3, 38, 18, 28, 9, , 2
2020/8/4, 46, 21, 30, 9, , 1
2020/8/5, 53, 19, 30, 9, , 1
2020/8/6, 46, 17, 31, 9, , 1
2020/8/7, 44, 21, 30, 12, , 1
2020/8/8, 49, 25, 32, 12, , 1
2020/8/9, 57, 26, 32, 9, , 1
2020/8/10, 61, 31, 30, 15, , 1
2020/8/11, 63, 36, 27, 19, , 2
2020/8/12, 68, 43, 28, 15, , 1
2020/8/13, 88, 32, 26, 15, , 1
2020/8/14, 55, 32, 30, 13, , 2
2020/8/15, 59, 31, 30, 6, , 1
2020/8/16, 62, 20, 23, 5, , 1
2020/8/17, 48, 19, 14, 12, , 1
2020/8/18, 53, 17, 5, 16, , 3
2020/8/19, 47, 18, 27, 10, , 2
2020/8/20, 43, 7, 19, 6, , 1
2020/8/21, 18, 7, 13, 11, , 1
2020/8/22, 18, 5, 19, 4, , 1
2020/8/23, 16, 8, 22, 4, , 1
2020/8/24, 23, 6, 22, 5, , 1
2020/8/25, 20, 7, 22, 6, , 1
2020/8/26, 18, 12, 24, 9, , 2
2020/8/27, 26, 15, 24, 10, , 1
2020/8/28, 35, 19, 38, 12, , 1
2020/8/29, 46, 20, 32, 11, , 4
2020/8/30, 43, 26, 35, 9, , 3
2020/8/31, 55, 19, 34, 3, , 1
2020/9/1, 45, 14, 27, 5, , 1
2020/9/2, 37, 16, 30, 6, , 1
2020/9/3, 37, 25, 29, 13, , 4
2020/9/4, 49, 38, 41, 16, , 5
2020/9/5, 70, 26, 41, 6, , 1
2020/9/6, 55, 31, 43, 10, , 2
2020/9/7, 70, 28, 60, 4, , 1
2020/9/8, 69, 31, 50, 5, , 1
2020/9/9, 75, 30, 52, 6, , 1
2020/9/10, 72, 43, 44, 16, , 2
2020/9/11, 84, 43, 62, 14, , 1
2020/9/12, 85, 49, 53, 12, , 1
2020/9/13, 101, 50, 52, 12, , 2
2020/9/14, 111, 53, 59, 14, , 2
2020/9/15, 111, 10, 24, 1, , 1
2020/9/16, 27, 24, 41, 6, , 1
2020/9/17, 53, 34, 45, 10, , 1
2020/9/18, 67, 45, 39, 24, , 3
2020/9/19, 97, 62, 71, 16, , 3
2020/9/20, 132, 19, 32, 2, , 1
2020/9/21, 45, 10, 14, 8, , 1
2020/9/22, 14, 7, 18, 4, , 1
2020/9/23, 13, 8, 22, 4, , 1
2020/9/24, 19, 15, 35, 7, , 1
2020/9/25, 37, 19, 48, 9, , 1
2020/9/26, 46, 25, 46, 10, , 2
2020/9/27, 54, 35, 45, 16, , 3
2020/9/28, 69, 25, 43, 10, , 2
2020/9/29, 59, 23, 35, 7, , 1
2020/9/30, 52, 31, 56, 8, , 1
2020/10/1, 67, 31, 58, 16, , 2
2020/4/2, 28, 16, 27, 5, , 1
2020/4/3, 39, 22, 28, 7, , 2
2020/4/4, 47, 16, 28, 4, , 1
2020/4/5, 31, 17, 37, 2, , 1
2020/4/6, 37, 25, 29, 5, , 2
2020/4/7, 50, 23, 26, 5, , 1
2020/4/8, 50, 8, 16, 1, , 1
2020/4/9, 18, 14, 25, 3, , 1
2020/4/10, 24, 19, 28, 2, , 1
2020/4/11, 31, 12, 21, 1, , 1
2020/4/12, 27, 10, 21, 1, , 1
2020/4/13, 26, 15, 29, 3, , 1
2020/4/14, 32, 17, 19, 6, , 2
2020/4/15, 44, 12, 21, 6, , 2
2020/4/16, 32, 22, 33, 7, , 2
2020/4/17, 54, 10, 22, 1, , 1
2020/4/18, 21, 13, 23, 1, , 1
2020/4/19, 28, 16, 20, 1, , 1
2020/4/20, 22, 12, 27, 2, , 1
2020/4/21, 25, 15, 32, 3, , 1
2020/4/22, 33, 17, 34, 5, , 1
2020/4/23, 40, 20, 35, 6, , 1
2020/4/24, 49, 21, 29, 4, , 1
2020/4/25, 50, 24, 44, 5, , 2
2020/4/26, 60, 24, 40, 5, , 2
2020/4/27, 63, 18, 27, 4, , 1
2020/4/28, 47, 21, 26, 7, , 1
2020/4/29, 41, 19, 23, 10, , 4
2020/4/30, 43, 32, 33, 14, , 4
2020/5/1, 60, 39, 51, 10, , 4
2020/5/2, 80, 27, 33, 3, , 2
2020/5/3, 60, 11, 22, 1, , 1
2020/5/4, 23, 14, 25, 3, , 1
2020/5/5, 28, 24, 28, 13, , 3
2020/5/6, 50, 33, 32, 12, , 4
2020/5/7, 67, 8, 15, 4, , 1
2020/5/8, 20, 9, 18, 4, , 1
2020/5/9, 23, 10, 23, 4, , 1
2020/5/10, 26, 13, 26, 5, , 2
2020/5/11, 37, 18, 21, 11, , 4
2020/5/12, 42, 25, 25, 15, , 6
2020/5/13, 59, 32, 19, 16, , 6
2020/5/14, 68, 33, 22, 11, , 4
2020/5/15, 60, 7, 13, 3, , 1
2020/5/16, 13, 11, 22, 4, , 2
2020/5/17, 31, 15, 22, 6, , 3
2020/5/18, 47, 20, 26, 9, , 3
2020/5/19, 53, 19, 26, 7, , 3
2020/5/20, 50, 17, 24, 6, , 2
2020/5/21, 46, 23, 6, 4, , 4
2020/5/22, 53, 20, , , , 3
2020/5/23, 44, 15, , 1, , 2
2020/5/24, 33, 9, , , , 2
2020/5/25, 27, 11, , , , 1
2020/5/26, 26, 19, , , , 2
2020/5/27, 45, 29, , , , 3
2020/5/28, 60, 21, , , , 3
2020/5/29, 48, 32, , , , 7
2020/5/30, 74, 37, 4, 10, , 9
2020/5/31, 88, 41, 38, 1, , 8
2020/6/1, 95, 42, , 5, , 8
