date, pm25, pm10, o3, no2, so2, co
2021/5/2, 82, 36, 44, 11, 1, 4
2021/5/3, 69, 45, 63, 9, 1, 4
2021/5/4, 70, 25, 39, 10, 1, 6
2021/5/5, 71, 61, 88, 15, 2, 9
2021/5/6, 139, 59, 69, 15, 2, 5
2021/5/7, 74, 144, 71, 19, 2, 6
2021/5/8, 145, 132, 76, 20, 2, 7
2021/5/9, 150, 65, 93, 26, 2, 8
2021/5/10, 135, 39, 80, 17, 2, 6
2021/5/11, 68, 42, 30, 26, 1, 9
2021/5/12, 120, 22, 35, 14, , 6
2021/5/13, 73, 23, 33, 12, 1, 6
2021/5/14, 73, 32, 38, 16, 1, 7
2021/5/15, 93, 40, 62, 18, 2, 7
2021/5/16, 95, 23, 42, 15, 1, 7
2021/5/17, 67, 37, 61, 14, 1, 9
2021/5/18, 103, 31, 40, 21, 1, 7
2021/5/19, 85, 17, 46, 12, , 6
2021/5/20, 51, 14, 39, 10, , 6
2021/5/21, 56, , , , , 
2021/4/2, 96, 52, 19, 25, 1, 13
2021/4/3, 134, 48, 28, 20, 1, 10
2021/4/4, 129, 36, 43, 9, 1, 5
2021/4/5, 70, 33, 44, 12, 2, 4
2021/4/6, 66, 32, 38, 16, 1, 4
2021/4/7, 65, 31, 41, 20, 1, 4
2021/4/8, 80, 39, 60, 16, 2, 5
2021/4/9, 100, 37, 43, 15, 1, 5
2021/4/10, 78, 40, 46, 15, 1, 4
2021/4/11, 77, 24, 36, 18, 1, 4
2021/4/12, 59, 27, 27, 21, 1, 7
2021/4/13, 82, 51, 44, 19, 1, 8
2021/4/14, 129, 28, 37, 14, 1, 4
2021/4/15, 55, 35, 34, 17, 1, 4
2021/4/16, 52, 55, 68, 25, 2, 7
2021/4/17, 133, 99, 39, 23, 2, 8
2021/4/18, 139, 52, 43, 16, 1, 4
2021/4/19, 60, 45, 64, 17, 2, 4
2021/4/20, 66, 39, 53, 15, 1, 4
2021/4/21, 60, 45, 48, 12, 1, 4
2021/4/22, 69, 46, 40, 15, 1, 5
2021/4/23, 72, 59, 33, 23, 1, 10
2021/4/24, 146, 36, 19, 20, 1, 6
2021/4/25, 94, 43, 31, 18, 1, 4
2021/4/26, 84, 34, 48, 14, 1, 3
2021/4/27, 68, 40, 29, 25, 2, 5
2021/4/28, 96, 55, 61, 21, 2, 7
2021/4/29, 139, 72, 69, 24, 2, 6
2021/4/30, 132, 71, 73, 22, 2, 5
2021/5/1, 105, 46, 51, 13, 1, 6
2021/3/2, 92, 43, 30, 12, 2, 6
2021/3/3, 85, 45, 32, 14, 2, 5
2021/3/4, 62, 37, 28, 24, 2, 8
2021/3/5, 105, 34, 24, 24, 2, 7
2021/3/6, 105, 26, 36, 13, 2, 6
2021/3/7, 77, 25, 30, 13, 2, 5
2021/3/8, 68, 37, 33, 16, 2, 5
2021/3/9, 89, 32, 25, 22, 2, 5
2021/3/10, 84, 39, 43, 21, 2, 5
2021/3/11, 111, 40, 24, 24, 2, 7
2021/3/12, 122, 46, 33, 19, 2, 8
2021/3/13, 134, 52, 14, 29, 3, 8
2021/3/14, 151, 47, 47, 19, 2, 6
2021/3/15, 142, 52, 40, 27, 4, 7
2021/3/16, 118, 60, 39, 21, 2, 7
2021/3/17, 111, 68, 31, 20, 2, 5
2021/3/18, 76, 61, 28, 22, 2, 5
2021/3/19, 74, 40, 24, 27, 2, 6
2021/3/20, 79, 31, 35, 20, 2, 7
2021/3/21, 97, 72, 34, 15, 3, 8
2021/3/22, 135, 56, 37, 22, 2, 6
2021/3/23, 93, 59, 56, 26, 3, 7
2021/3/24, 138, 36, 32, 26, 3, 6
2021/3/25, 76, 58, 64, 31, 2, 8
2021/3/26, 111, 43, 39, 19, 1, 5
2021/3/27, 90, 32, 25, 18, 1, 7
2021/3/28, 87, 79, 54, 22, 2, 9
2021/3/29, 152, 64, 66, 21, 2, 8
2021/3/30, 141, 254, 42, 14, 1, 6
2021/3/31, 149, 110, 30, 18, 1, 6
2021/4/1, 124, 35, 27, 19, , 7
2021/2/2, 145, 63, 28, 15, 2, 8
2021/2/3, 105, 60, 24, 18, 6, 7
2021/2/4, 82, 60, 38, 20, 3, 8
2021/2/5, 134, 39, 30, 23, 2, 7
2021/2/6, 100, 55, 38, 21, 8, 9
2021/2/7, 148, 65, 43, 34, 4, 10
2021/2/8, 161, 31, 34, 8, 2, 3
2021/2/9, 69, 18, 30, 10, 2, 2
2021/2/10, 51, 22, 25, 15, 2, 2
2021/2/11, 62, 17, 28, 15, 2, 3
2021/2/12, 61, 25, 41, 11, 2, 3
2021/2/13, 70, 32, 41, 14, 2, 4
2021/2/14, 85, 38, 36, 14, 2, 5
2021/2/15, 107, 44, 32, 7, 2, 6
2021/2/16, 115, 34, 36, 10, 3, 4
2021/2/17, 86, 34, 34, 7, 2, 4
2021/2/18, 72, 29, 34, 11, 3, 5
2021/2/19, 73, 39, 44, 22, 6, 7
2021/2/20, 111, 40, 44, 20, 3, 6
2021/2/21, 98, 37, 49, 21, 5, 5
2021/2/22, 91, 55, 21, 25, 4, 8
2021/2/23, 122, 35, 36, 8, 2, 4
2021/2/24, 59, 32, 34, 10, 2, 4
2021/2/25, 51, 41, 32, 17, 2, 6
2021/2/26, 85, 22, 33, 11, 2, 6
2021/2/27, 64, 27, 29, 10, 2, 5
2021/2/28, 61, 20, 25, 18, 2, 6
2021/3/1, 65, 31, 22, 21, 2, 7
2021/1/5, 76, 43, 28, 13, 1, 6
2021/1/6, 98, 41, 23, 15, 2, 7
2021/1/7, 101, 60, 20, 9, 2, 7
2021/1/8, 81, 46, 19, 13, 3, 9
2021/1/9, 80, 57, 20, 24, 4, 10
2021/1/10, 111, 63, 17, 34, 6, 13
2021/1/11, 149, 61, 18, 31, 5, 10
2021/1/12, 142, 96, 24, 32, 3, 8
2021/1/13, 117, 79, 18, 43, 4, 8
