date, pm25, pm10, o3, no2, so2, co
2021/5/2, 85, 53, 63, 24, 4, 8
2021/5/3, 109, 33, 38, 14, 3, 6
2021/5/4, 58, 32, 31, 15, 3, 5
2021/5/5, 53, 45, 80, 16, 3, 7
2021/5/6, 86, 54, 56, 18, 3, 6
2021/5/7, 71, 53, 63, 28, 3, 6
2021/5/8, 88, 45, 47, 24, 2, 6
2021/5/9, 75, 37, 40, 20, 2, 5
2021/5/10, 67, 15, 28, 17, 2, 6
2021/5/11, 35, 22, 28, 16, 3, 6
2021/5/12, 41, 24, 24, 17, 2, 5
2021/5/13, 44, 26, 23, 13, 2, 5
2021/5/14, 62, 25, 23, 11, 3, 6
2021/5/15, 59, 27, 32, 12, 3, 5
2021/5/16, 50, 24, 27, 14, 4, 5
2021/5/17, 44, 25, 25, 14, 4, 5
2021/5/18, 44, 29, 23, 13, 3, 5
2021/5/19, 52, 24, 25, 14, 3, 6
2021/5/20, 52, 23, 18, 10, 3, 6
2021/5/21, 54, , , , , 
2021/4/2, 57, 35, 23, 18, 4, 5
2021/4/3, 65, 52, 23, 20, 4, 5
2021/4/4, 73, 76, 40, 18, 4, 8
2021/4/5, 117, 56, 45, 14, 2, 8
2021/4/6, 101, 68, 81, 19, 2, 8
2021/4/7, 128, 44, 55, 12, 3, 6
2021/4/8, 73, 54, 58, 16, 3, 6
2021/4/9, 72, 46, 43, 16, 3, 8
2021/4/10, 90, 47, 75, 16, 3, 6
2021/4/11, 82, 36, 58, 12, 3, 5
2021/4/12, 57, 42, 38, 18, 3, 5
2021/4/13, 67, 54, 42, 28, 4, 5
2021/4/14, 80, 45, 45, 15, 3, 6
2021/4/15, 70, 32, 41, 9, 3, 5
2021/4/16, 56, 47, 44, 14, 3, 6
2021/4/17, 82, 51, 45, 23, 3, 8
2021/4/18, 95, 79, 83, 10, 3, 7
2021/4/19, 118, 81, 76, 8, 2, 6
2021/4/20, 96, 61, 58, 10, 2, 5
2021/4/21, 75, 55, 57, 15, 2, 5
2021/4/22, 74, 64, 110, 22, 2, 5
2021/4/23, 96, 66, 77, 26, 3, 6
2021/4/24, 108, 46, 53, 15, 2, 5
2021/4/25, 82, 43, 41, 13, 2, 6
2021/4/26, 70, 34, 37, 10, 2, 5
2021/4/27, 57, 37, 37, 14, 3, 6
2021/4/28, 63, 45, 33, 19, 2, 6
2021/4/29, 74, 34, 73, 18, 2, 8
2021/4/30, 62, 54, 97, 25, 3, 8
2021/5/1, 98, 49, 109, 30, 4, 8
2021/3/2, 77, 36, 38, 17, 4, 8
2021/3/3, 57, 44, 38, 13, 3, 6
2021/3/4, 64, 53, 33, 22, 3, 6
2021/3/5, 100, 51, 32, 20, 3, 6
2021/3/6, 120, 46, 34, 19, 2, 6
2021/3/7, 93, 34, 26, 19, 3, 8
2021/3/8, 78, 35, 39, 14, 3, 7
2021/3/9, 63, 50, 52, 18, 3, 5
2021/3/10, 87, 43, 47, 15, 3, 6
2021/3/11, 80, 38, 48, 18, 2, 5
2021/3/12, 63, 66, 95, 31, 2, 7
2021/3/13, 125, 45, 58, 19, 3, 6
2021/3/14, 76, 54, 64, 13, 2, 6
2021/3/15, 96, 43, 51, 17, 3, 6
2021/3/16, 74, 56, 38, 28, 3, 6
2021/3/17, 93, 52, 30, 25, 4, 5
2021/3/18, 88, 42, 32, 16, 3, 4
2021/3/19, 75, 40, 33, 20, 4, 4
2021/3/20, 66, 52, 35, 22, 3, 5
2021/3/21, 80, 58, 30, 20, 2, 7
2021/3/22, 89, 52, 27, 11, 3, 7
2021/3/23, 76, 79, 25, 19, 3, 6
2021/3/24, 94, 94, 77, 35, 2, 7
2021/3/25, 150, 93, 61, 35, 2, 7
2021/3/26, 114, 41, 49, 15, 2, 4
2021/3/27, 56, 56, 40, 24, 3, 5
2021/3/28, 81, 57, 36, 25, 3, 6
2021/3/29, 86, 33, 19, 17, 4, 4
2021/3/30, 55, 31, 25, 13, 4, 4
2021/3/31, 52, 26, 21, 18, 3, 4
2021/4/1, 46, 34, 20, 21, 3, 4
2021/2/2, 83, 59, 90, 29, 3, 6
2021/2/3, 97, 49, 56, 20, 3, 6
2021/2/4, 88, 53, 66, 29, 3, 5
2021/2/5, 91, 43, 50, 27, 4, 6
2021/2/6, 74, 54, 80, 38, 4, 7
2021/2/7, 103, 52, 58, 33, 4, 7
2021/2/8, 106, 41, 63, 21, 2, 7
