date, pm25, pm10, o3, no2, so2, co
2021/5/2, 34, 22, 16, 10, 1, 4
2021/5/3, 52, 40, 14, 16, 1, 4
2021/5/4, 91, 40, 1, 19, 1, 5
2021/5/5, 102, 7, 9, 12, 1, 1
2021/5/6, 21, 12, 16, 7, , 
2021/5/7, 16, 13, 17, 10, 1, 1
2021/5/8, 21, 14, 16, 9, 1, 1
2021/5/9, 31, 16, 14, 10, 1, 1
2021/5/10, 30, 20, 16, 12, 1, 2
2021/5/11, 36, 16, 8, 14, 1, 3
2021/5/12, 29, 12, 15, 11, 1, 1
2021/5/13, 17, 9, 18, 11, 1, 1
2021/5/14, 25, 10, 19, 7, 1, 
2021/5/15, 25, 11, 19, 7, 1, 1
2021/5/16, 31, 7, 20, 3, 1, 
2021/5/17, 15, 10, 18, 8, 1, 1
2021/5/18, 23, 20, 16, 15, 1, 2
2021/5/19, 31, 30, 15, 17, 2, 4
2021/5/20, 53, 27, , 17, 2, 7
2021/5/21, 65, , , , , 
2021/4/2, 19, 14, 30, 8, 1, 1
2021/4/3, 24, 12, 25, 7, 3, 1
2021/4/4, 18, 15, 33, 8, 1, 1
2021/4/5, 30, 22, 32, 9, 1, 1
2021/4/6, 42, 13, 16, 9, 1, 1
2021/4/7, 23, 9, 10, 9, 1, 1
2021/4/8, 17, 9, 18, 10, 1, 1
2021/4/9, 20, 19, 18, 11, 1, 1
2021/4/10, 29, 16, 19, 5, , 
2021/4/11, 27, 11, 19, 5, 1, 1
2021/4/12, 22, 15, 19, 9, 1, 1
2021/4/13, 23, 22, 20, 13, 1, 1
2021/4/14, 27, 21, 18, 13, 1, 1
2021/4/15, 30, 26, 19, 10, 1, 1
2021/4/16, 28, 26, 17, 9, 1, 
2021/4/17, 33, 21, 13, 13, 1, 1
2021/4/18, 27, 20, 26, 10, 1, 2
2021/4/19, 39, 25, 26, 16, 1, 1
2021/4/20, 43, 28, 16, 17, 1, 2
2021/4/21, 49, 17, 18, 10, 1, 1
2021/4/22, 25, 24, 19, 11, 1, 1
2021/4/23, 35, 35, 19, 14, 1, 2
2021/4/24, 79, 25, 23, 13, 1, 3
2021/4/25, 45, 17, 22, 10, 1, 2
2021/4/26, 42, 21, 21, 15, 1, 1
2021/4/27, 35, 45, 25, 17, 1, 5
2021/4/28, 96, 33, 17, 18, 1, 2
2021/4/29, 74, 35, 19, 18, 1, 3
2021/4/30, 57, 40, 14, 17, 5, 3
2021/5/1, 79, 20, 16, 11, 1, 2
2021/3/2, 30, 30, 17, 5, 1, 
2021/3/3, 36, 19, 18, 6, 1, 
2021/3/4, 18, 23, 30, 11, 1, 1
2021/3/5, 24, 25, 17, 9, 1, 1
2021/3/6, 34, 21, 12, 2, 1, 
2021/3/7, 16, 21, 26, 4, 1, 
2021/3/8, 19, 23, 22, 12, 1, 1
2021/3/9, 25, 25, 25, 8, 1, 1
2021/3/10, 34, 21, 18, 5, 1, 
2021/3/11, 21, 19, 15, 7, 1, 1
2021/3/12, 21, 15, 16, 12, 2, 1
2021/3/13, 23, 15, 34, 8, 3, 1
2021/3/14, 24, 8, 13, 3, 1, 1
2021/3/15, 18, 14, 18, 6, 1, 
2021/3/16, 16, 12, 9, 9, 1, 
2021/3/17, 23, 13, 13, 7, , 
2021/3/18, 17, 9, 9, 10, , 1
2021/3/19, 19, 15, 15, 7, 1, 1
2021/3/20, 14, 12, 13, 2, , 
2021/3/21, 16, 18, 14, 4, , 1
2021/3/22, 20, 7, 8, 13, 1, 1
2021/3/23, 13, 5, 9, 10, 1, 1
2021/3/24, 12, 8, 20, 5, 1, 1
2021/3/25, 20, 11, 17, 7, 1, 1
2021/3/26, 16, 15, 20, 10, 1, 1
2021/3/27, 14, 14, 20, 9, 1, 1
2021/3/28, 25, 13, 21, 9, 1, 2
2021/3/29, 22, 15, 23, 8, 1, 1
2021/3/30, 17, 20, 18, 7, 1, 
2021/3/31, 25, 18, 19, 9, 1, 1
2021/4/1, 17, 17, 17, 10, 1, 1
2021/2/2, 23, 12, 20, 5, , 
2021/2/3, 21, 18, 18, 6, , 
2021/2/4, 18, 21, 26, 8, 1, 1
2021/2/5, 27, 20, 20, 6, 2, 
2021/2/6, 17, 14, 13, 7, 2, 1
2021/2/7, 20, 14, 24, 3, 1, 1
2021/2/8, 14, 18, 12, 3, 1, 
2021/2/9, 21, 15, 15, 5, 1, 
2021/2/10, 20, 15, 15, 5, 1, 
2021/2/11, 18, 18, 30, 7, 1, 1
2021/2/12, 21, 19, 28, 9, 5, 1
2021/2/13, 20, 14, 12, 6, 1, 1
2021/2/14, 23, 16, 13, 2, 1, 
2021/2/15, 20, 14, 13, 4, 1, 
2021/2/16, 15, 10, 10, 4, , 
2021/2/17, 25, 15, 12, 5, 1, 
2021/2/18, 20, 17, 12, 6, 1, 
