date, pm25, pm10, o3, no2, so2, co
2021/5/2, 30, 14, 23, 2, , 
2021/5/3, 39, 21, 23, 5, , 
2021/5/4, 45, 26, 11, 11, , 
2021/5/5, 52, 25, 32, 7, , 
2021/5/6, 51, 38, 37, 9, , 
2021/5/7, 74, 15, 15, 5, , 
2021/5/8, 31, 8, 14, 2, , 
2021/5/9, 23, 13, 21, 1, , 
2021/5/10, 30, 22, 24, 6, , 
2021/5/11, 47, 27, 27, 7, , 
2021/5/12, 50, 29, 24, 10, , 
2021/5/13, 62, 4, 14, 2, , 
2021/5/14, 15, 7, 16, 4, , 
2021/5/15, 23, 18, 20, 5, , 
2021/5/16, 47, 18, 24, 4, , 
2021/5/17, 50, 17, 23, 10, , 
2021/5/18, 45, 20, 24, 8, , 
2021/5/19, 47, 22, 31, 9, , 
2021/5/20, 54, 29, 26, 12, , 
2021/5/21, 67, 33, 44, 11, , 
2021/5/22, 75, , , , , 
2021/4/2, 27, 9, 19, 2, , 
2021/4/3, 27, 12, 21, 1, , 
2021/4/4, 28, 7, 19, 1, , 
2021/4/5, 27, 9, 21, 2, , 
2021/4/6, 21, 18, 23, 4, , 
2021/4/7, 40, 9, 20, 3, , 
2021/4/8, 26, 10, 21, 4, , 
2021/4/9, 29, 14, 24, 4, , 
2021/4/10, 34, 11, 24, 2, , 
2021/4/11, 28, 18, 27, 4, , 
2021/4/12, 39, 23, 41, 6, , 
2021/4/13, 48, 9, 14, 4, , 
2021/4/14, 26, 10, 18, 2, , 
2021/4/15, 21, 14, 26, 4, , 
2021/4/16, 30, 22, 28, 5, , 
2021/4/17, 45, 22, 26, 5, , 
2021/4/18, 50, 16, 22, 3, , 
2021/4/19, 43, 10, 16, 4, , 
2021/4/20, 26, 10, 14, 7, , 
2021/4/21, 32, 10, 14, 5, , 
2021/4/22, 30, 7, 14, 4, , 
2021/4/23, 22, 13, 22, 6, , 
2021/4/24, 35, 17, 33, 6, , 
2021/4/25, 39, 18, 39, 4, , 
2021/4/26, 49, 19, 35, 5, , 
2021/4/27, 48, 18, 28, 5, , 
2021/4/28, 47, 14, 27, 4, , 
2021/4/29, 27, 12, 20, 4, , 
2021/4/30, 26, 15, 17, 3, , 
2021/5/1, 25, 14, 26, 3, , 
2021/3/2, 29, 13, 18, 3, , 
2021/3/3, 32, 14, 24, 4, , 
2021/3/4, 35, 18, 23, 5, , 
2021/3/5, 42, 13, 10, 6, , 
2021/3/6, 39, 6, 17, 3, , 
2021/3/7, 21, 7, 17, 2, , 
2021/3/8, 25, 10, 19, 3, , 
2021/3/9, 29, 16, 33, 4, , 
2021/3/10, 37, 20, 36, 4, , 
2021/3/11, 34, 16, 23, 6, , 
2021/3/12, 41, 17, 25, 5, , 
2021/3/13, 46, 14, 32, 2, , 
2021/3/14, 40, 14, 26, 2, , 
2021/3/15, 35, 17, 31, 5, , 
2021/3/16, 40, 16, 33, 5, , 
2021/3/17, 42, 21, 30, 6, , 
2021/3/18, 46, 18, 14, 8, , 
2021/3/19, 53, 19, 30, 5, , 
2021/3/20, 43, 17, 32, 3, , 
2021/3/21, 47, 16, 28, 2, , 
2021/3/22, 45, 17, 35, 4, , 
2021/3/23, 40, 23, 46, 5, , 
2021/3/24, 54, 20, 33, 4, , 
2021/3/25, 48, 13, 25, 5, , 
2021/3/26, 33, 21, 35, 2, , 
2021/3/27, 48, 24, 41, 4, , 
2021/3/28, 53, 19, 34, 3, , 
2021/3/29, 48, 19, 37, 6, , 
2021/3/30, 41, 16, 37, 4, , 
2021/3/31, 35, 13, 25, 4, , 
2021/4/1, 31, 13, 29, 5, , 
2021/2/2, 28, 13, 35, 5, , 
2021/2/3, 38, 16, 34, 6, , 
2021/2/4, 43, 27, 31, 5, , 
2021/2/5, 54, 10, 18, 6, , 
2021/2/6, 30, 9, 17, 2, , 
2021/2/7, 18, 10, 18, 1, , 
2021/2/8, 28, 12, 14, 1, , 
2021/2/9, 23, 10, 20, 3, , 
2021/2/10, 26, 12, 25, 4, , 
2021/2/11, 29, 13, 29, 5, , 
2021/2/12, 39, 15, 30, 5, , 
2021/2/13, 33, 8, 11, 4, , 
2021/2/14, 25, 8, 19, 4, , 
2021/2/15, 24, 13, 26, 4, , 
2021/2/16, 33, 14, 29, 3, , 
2021/2/17, 34, 14, 26, 5, , 
2021/2/18, 36, 10, 20, 4, , 
2021/2/19, 27, 11, 34, 4, , 
2021/2/20, 30, 12, 28, 3, , 
2021/2/21, 36, 9, 25, 1, , 
2021/2/22, 28, 8, 22, 3, , 
2021/2/23, 35, 18, 36, 6, , 
2021/2/24, 39, 22, 38, 7, , 
