date, pm25, pm10, o3, no2, so2, co
2021/5/2, 44, 9, 43, 6, 1, 2
2021/5/3, 25, 7, 43, 7, 1, 3
2021/5/4, 25, 13, 51, 14, 2, 3
2021/5/5, 45, 13, 46, 7, , 2
2021/5/6, 37, 12, 45, 17, 1, 4
2021/5/7, 35, 17, 42, 26, 1, 4
2021/5/8, 46, 20, 46, 15, 1, 3
2021/5/9, 51, 32, 52, 6, 1, 3
2021/5/10, 72, 28, 49, 14, 1, 3
2021/5/11, 63, 13, 37, 18, 1, 3
2021/5/12, 36, 10, 40, 18, 1, 3
2021/5/13, 30, 12, 34, 26, 1, 4
2021/5/14, 36, 16, 59, 24, 1, 4
2021/5/15, 49, 13, 44, 17, 1, 4
2021/5/16, 40, 11, 44, 7, 1, 2
2021/5/17, 27, 9, 19, 3, , 1
2021/5/18, 19, 13, 20, 15, 1, 3
2021/5/19, 29, 10, 22, 26, , 4
2021/5/20, 33, 17, 1, 27, , 6
2021/5/21, 60, , , , , 
2021/4/2, 1, 16, 36, 21, , 4
2021/4/3, 1, 19, 44, 17, , 4
2021/4/4, 1, 22, 38, 4, , 2
2021/4/5, 1, 13, 26, 20, , 3
2021/4/6, 1, 10, 29, 19, , 3
2021/4/7, 1, 13, 39, 21, , 3
2021/4/8, 1, 13, 43, 19, , 3
2021/4/9, 1, 11, 39, 19, , 3
2021/4/10, 1, 9, 37, 13, 1, 2
2021/4/11, 7, 11, 44, 11, 1, 2
2021/4/12, 34, 13, 37, 20, 1, 3
2021/4/13, 40, 12, 36, 12, 1, 3
2021/4/14, 28, 11, 33, 13, , 3
2021/4/15, 16, 9, 38, 16, 1, 2
2021/4/16, 28, 14, 33, 22, 1, 3
2021/4/17, 39, 15, 31, 16, 1, 3
2021/4/18, 35, 11, 42, 9, , 2
2021/4/19, 24, 18, 42, 17, 1, 3
2021/4/20, 45, 21, 44, 24, 1, 4
2021/4/21, 54, 21, 57, 26, 1, 4
2021/4/22, 61, 13, 38, 19, 1, 3
2021/4/23, 43, 14, 40, 18, 2, 3
2021/4/24, 41, 13, 52, 17, 2, 3
2021/4/25, 41, 15, 55, 9, 1, 3
2021/4/26, 44, 10, 38, 16, 1, 3
2021/4/27, 31, 10, 42, 12, 1, 2
2021/4/28, 29, 13, 41, 13, 1, 3
2021/4/29, 37, 9, 34, 5, , 1
2021/4/30, 18, 14, 53, 15, 2, 3
