date, pm25, o3, no2, so2, co
2021/5/2, 18, 33, 9, , 2
2021/5/3, 30, 28, 4, , 1
2021/5/4, 19, 16, 9, , 2
2021/5/5, 26, 16, 7, , 1
2021/5/6, 14, 24, 9, , 1
2021/5/7, 16, 28, 8, , 1
2021/5/8, 14, 28, 9, , 2
2021/5/9, 27, 27, 5, , 1
2021/5/10, 20, 20, 8, , 1
2021/5/11, 19, 17, 7, , 1
2021/5/12, 17, 26, 8, , 1
2021/5/13, 16, 34, 11, , 1
2021/5/14, 22, 40, 13, , 2
2021/5/15, 28, 45, 12, , 2
2021/5/16, 37, 50, 13, , 3
2021/5/17, 49, 48, 14, 1, 2
2021/5/18, 52, 50, 20, 1, 2
2021/5/19, 51, 55, 14, , 2
2021/5/20, 47, 57, 20, 1, 3
2021/5/21, 51, 48, 31, 1, 5
2021/5/22, 72, , , , 
2021/4/2, 17, 31, 6, , 1
2021/4/3, 10, 13, 19, , 2
2021/4/4, 25, 38, 16, , 3
2021/4/5, 50, 31, 15, , 2
2021/4/6, 35, 32, 17, , 3
2021/4/7, 39, 36, 11, , 2
2021/4/8, 19, 48, 7, , 1
2021/4/9, 26, 30, 6, , 2
2021/4/10, 34, 31, 5, , 2
2021/4/11, 30, 34, 5, , 2
2021/4/12, 21, 30, 3, , 1
2021/4/13, 24, 24, 7, , 2
2021/4/14, 38, 26, 16, , 2
2021/4/15, 45, 17, 8, , 1
2021/4/16, 17, 13, 5, , 1
2021/4/17, 14, 17, 7, , 1
2021/4/18, 18, 28, 8, , 1
2021/4/19, 28, 30, 15, , 2
2021/4/20, 38, 23, 10, , 1
2021/4/21, 14, 25, 10, , 1
2021/4/22, 15, 27, 11, , 1
2021/4/23, 16, 38, 17, , 2
2021/4/24, 41, 47, 10, , 2
2021/4/25, 55, 32, 4, , 1
2021/4/26, 32, 31, 6, 1, 1
2021/4/27, 16, 34, 8, , 1
2021/4/28, 25, 24, 11, , 2
2021/4/29, 33, 17, 11, , 2
2021/4/30, 39, 24, 5, , 1
2021/5/1, 20, 33, 3, , 1
2021/3/2, 16, 29, 11, , 1
2021/3/3, 15, 24, 15, , 2
2021/3/4, 43, 26, 9, , 1
2021/3/5, 12, 29, 14, , 2
2021/3/6, 13, 28, 6, , 1
2021/3/7, 9, 31, 14, , 2
2021/3/8, 17, 25, 24, 2, 3
2021/3/9, 51, 25, 21, , 2
2021/3/10, 45, 36, 15, , 3
2021/3/11, 70, 35, 6, , 2
2021/3/12, 43, 28, 9, , 2
2021/3/13, 18, 30, 7, , 1
2021/3/14, 18, 32, 5, , 1
2021/3/15, 19, 29, 7, , 1
2021/3/16, 20, 30, 5, , 1
2021/3/17, 20, 25, 18, 1, 2
2021/3/18, 50, 28, 14, , 2
2021/3/19, 30, 27, 12, , 2
2021/3/20, 21, 33, 21, , 4
2021/3/21, 39, 34, 21, 1, 5
2021/3/22, 53, 36, 25, 1, 4
2021/3/23, 54, 39, 27, , 4
2021/3/24, 53, 28, 15, , 2
