date, pm25, pm10, o3, no2, so2, co
2021/5/2, 10, 10, 9, 2, , 
2021/5/3, 22, 7, 10, 3, , 
2021/5/4, 22, 8, 10, 3, , 
2021/5/5, 12, 14, 5, 8, , 
2021/5/6, 20, 16, 11, 7, , 
2021/5/7, 34, 8, 12, 3, , 
2021/5/8, 13, 9, 13, 3, , 
2021/5/9, 18, 9, 11, 2, , 
2021/5/10, 15, 10, 9, 3, , 
2021/5/11, 23, 13, 10, 5, , 
2021/5/12, 19, 8, 12, 4, , 
2021/5/13, 21, 7, 6, 4, , 
2021/5/14, 20, 10, 7, 5, , 
2021/5/15, 21, 12, 8, 4, , 
2021/5/16, 22, 11, 10, 4, , 
2021/5/17, 24, 10, 12, 4, , 
2021/5/18, 24, 5, 12, 4, , 
2021/5/19, 10, 7, 13, 3, , 
2021/5/20, 15, 16, 8, 3, , 
2021/5/21, 22, 10, 8, 3, , 
2021/5/22, 21, , , , , 
2021/4/2, 41, 8, 13, 3, , 
2021/4/3, 20, 7, 8, 2, , 
2021/4/4, 17, 5, 12, 2, , 
2021/4/5, 12, 8, 8, 4, , 
2021/4/6, 21, 12, 10, 5, , 
2021/4/7, 31, 6, 11, 5, , 
2021/4/8, 17, 6, 12, 5, , 
2021/4/9, 18, 7, 11, 6, , 
2021/4/10, 22, 7, 13, 2, , 
2021/4/11, 14, 6, 11, 2, , 
2021/4/12, 14, 6, 11, 7, , 
2021/4/13, 23, 7, 12, 6, , 
2021/4/14, 25, 11, 8, 11, , 
2021/4/15, 28, 13, 9, 11, , 
2021/4/16, 31, 12, 7, 11, , 
2021/4/17, 39, 12, 6, 10, , 
2021/4/18, 37, 17, 9, 8, , 
2021/4/19, 35, 12, 14, 7, , 
2021/4/20, 29, 17, 11, 9, , 
2021/4/21, 34, 13, 8, 6, , 
2021/4/22, 36, 14, 9, 5, , 
2021/4/23, 40, 19, 11, 5, , 
2021/4/24, 47, 6, 11, 3, , 
2021/4/25, 19, 4, 13, 2, , 
2021/4/26, 8, 10, 9, 4, , 
2021/4/27, 18, 9, 12, 3, , 
2021/4/28, 28, 5, 8, 2, , 
2021/4/29, 16, 10, 5, 7, , 
2021/4/30, 20, 6, 8, 3, , 
2021/5/1, 16, 9, 10, 2, , 
2021/3/2, 30, 6, 9, 5, , 
2021/3/3, 28, 10, 6, 8, , 
