date, pm25, pm10, o3, no2, so2, co
2021/5/2, 60, 13, 44, 7, 1, 2
2021/5/3, 40, 13, 43, 12, 2, 2
2021/5/4, 38, 17, 50, 18, 2, 3
2021/5/5, 52, 16, 46, 5, 1, 1
2021/5/6, 49, 15, 49, 18, 3, 3
2021/5/7, 49, 21, 42, 36, 5, 4
2021/5/8, 58, 21, 47, 15, 2, 3
2021/5/9, 59, 35, 55, 7, 1, 3
2021/5/10, 80, 32, 50, 15, 2, 2
2021/5/11, 72, 17, 39, 22, 4, 3
2021/5/12, 50, 13, 39, 23, 4, 3
2021/5/13, 44, 13, 33, 21, 2, 3
2021/5/14, 43, 16, 56, 22, 7, 4
2021/5/15, 53, 19, 44, 21, 4, 3
2021/5/16, 54, 15, 44, 10, 2, 2
2021/5/17, 44, 19, 19, 5, 1, 1
2021/5/18, 40, 19, 24, 21, 3, 4
2021/5/19, 47, 15, 20, 30, 2, 4
2021/5/20, 47, 15, 1, 30, 4, 5
2021/5/21, 45, , , , , 
2021/4/2, 1, 20, 40, 15, 6, 3
2021/4/3, 1, 21, 42, 14, 5, 3
2021/4/4, 1, 26, 36, 5, 1, 
2021/4/5, 1, 12, 29, 11, 1, 2
2021/4/6, 1, 12, 33, 11, 2, 2
2021/4/7, 1, 14, 42, 15, 2, 3
2021/4/8, 1, 14, 44, 14, 2, 3
2021/4/9, 1, 15, 41, 16, 4, 2
2021/4/10, 1, 10, 39, 11, 3, 2
2021/4/11, 12, 14, 46, 14, 3, 3
2021/4/12, 48, 14, 39, 20, 2, 4
2021/4/13, 47, 12, 37, 20, 3, 3
2021/4/14, 37, 12, 33, 15, 1, 3
2021/4/15, 34, 12, 39, 18, 7, 3
2021/4/16, 39, 15, 36, 23, 6, 4
2021/4/17, 49, 17, 35, 21, 9, 4
2021/4/18, 48, 15, 42, 9, 1, 3
2021/4/19, 43, 20, 46, 21, 1, 4
2021/4/20, 55, 24, 50, 34, 3, 4
2021/4/21, 62, 27, 62, 29, 3, 5
2021/4/22, 73, 19, 54, 22, 3, 3
2021/4/23, 57, 18, 46, 14, 3, 3
2021/4/24, 52, 16, 55, 19, 4, 4
2021/4/25, 52, 20, 57, 10, 2, 3
2021/4/26, 54, 34, 41, 9, 2, 3
2021/4/27, 51, 12, 45, 14, 4, 3
2021/4/28, 39, 15, 40, 14, 1, 2
2021/4/29, 46, 11, 34, 4, 1, 2
2021/4/30, 34, 18, 55, 14, 3, 3
2021/5/1, 52, 23, 56, 15, 3, 3
2021/3/2, 48, 14, 33, 8, 1, 2
2021/3/3, 32, 7, 36, 10, 1, 3
2021/3/4, 27, 14, 29, 27, 4, 3
2021/3/5, 47, 17, 22, 35, 4, 5
2021/3/6, 53, 28, 35, 28, 3, 4
2021/3/7, 75, 14, 34, 14, 3, 3
2021/3/8, 44, 14, 26, 21, 1, 4
2021/3/9, 49, 13, 26, 30, 3, 4
2021/3/10, 46, 18, 40, 21, 2, 4
2021/3/11, 55, 14, 38, 23, 3, 2
2021/3/12, 46, 24, 32, 37, 4, 4
2021/3/13, 71, 9, 29, 21, 2, 4
2021/3/14, 31, 8, 39, 16, 1, 3
2021/3/15, 30, 10, 41, 17, 2, 4
2021/3/16, 39, 20, 47, 26, 3, 4
2021/3/17, 60, 18, 39, 21, 1, 4
2021/3/18, 47, 22, 38, 21, 3, 4
2021/3/19, 56, 22, 39, 24, 3, 4
2021/3/20, 57, 18, 38, 24, 3, 3
2021/3/21, 51, 26, 36, 7, 1, 1
2021/3/22, 50, 11, 35, 13, 1, 3
2021/3/23, 37, 13, 40, 17, 2, 3
2021/3/24, 49, 16, 48, 17, 1, 3
2021/3/25, 53, 12, 40, 19, 1, 3
2021/3/26, 38, 20, 46, 25, 2, 4
2021/3/27, 60, 21, 51, 18, 3, 3
2021/3/28, 62, 21, 48, 8, 1, 2
2021/3/29, 56, 16, 47, 19, 2, 4
2021/3/30, 13, 43, 59, 25, 4, 4
2021/3/31, 1, 61, 53, 16, 3, 3
2021/4/1, 1, 45, 40, 21, 6, 3
2021/2/2, 58, 18, 36, 18, 3, 4
2021/2/3, 49, 12, 25, 30, 3, 6
2021/2/4, 39, 12, 35, 23, 2, 5
2021/2/5, 37, 9, 29, 24, 3, 4
2021/2/6, 42, 25, 23, 42, 5, 7
2021/2/7, 63, 17, 42, 23, 4, 4
2021/2/8, 57, 9, 29, 17, 2, 3
2021/2/9, 35, 7, 29, 17, 1, 3
2021/2/10, 38, 13, 30, 27, 2, 5
2021/2/11, 46, 15, 37, 24, 2, 4
2021/2/12, 53, 20, 27, 32, 3, 5
2021/2/13, 65, 20, 32, 25, 3, 4
2021/2/14, 60, 21, 38, 24, 2, 3
2021/2/15, 65, 12, 34, 26, 1, 2
2021/2/16, 36, 13, 36, 12, 1, 3
2021/2/17, 40, 10, 37, 9, 1, 3
2021/2/18, 33, 7, 31, 15, 2, 3
2021/2/19, 26, 8, 33, 21, 4, 2
2021/2/20, 28, 20, 48, 18, 2, 4
2021/2/21, 54, 30, 53, 20, 2, 5
2021/2/22, 79, 30, 49, 30, 7, 5
2021/2/23, 79, 16, 37, 13, 2, 2
2021/2/24, 41, 10, 33, 14, 1, 2
2021/2/25, 27, 12, 34, 19, 3, 3
2021/2/26, 39, 15, 32, 29, 2, 4
2021/2/27, 50, 17, 36, 12, 2, 3
2021/2/28, 43, 12, 35, 21, 4, 3
2021/3/1, 44, 16, 34, 29, 3, 5
2021/1/5, 54, 18, 10, 39, 5, 6
2021/1/6, 60, 14, 22, 25, 2, 4
2021/1/7, 51, 16, 32, 21, 2, 4
2021/1/8, 51, 8, 26, 25, 2, 4
2021/1/9, 36, 9, 30, 27, 2, 6
2021/1/10, 43, 12, 25, 28, 3, 5
2021/1/11, 52, 12, 22, 27, 3, 6
2021/1/12, 42, 19, 13, 32, 4, 6
2021/1/13, 65, 20, 18, 37, 10, 7
2021/1/14, 70, 18, 27, 39, 4, 8
2021/1/15, 60, 25, 22, 28, 2, 4
2021/1/16, 61, 25, 38, 21, 3, 5
2021/1/17, 61, 10, 28, 14, 1, 3
2021/1/18, 38, 16, 32, 26, 3, 3
2021/1/19, 54, 12, 28, 17, 2, 3
2021/1/20, 40, 11, 27, 26, 3, 6
2021/1/21, 43, 27, 17, 46, 5, 8
2021/1/22, 84, 44, 17, 66, 5, 9
2021/1/23, 121, 26, 28, 27, 2, 4
2021/1/24, 81, 8, 27, 9, 1, 2
2021/1/25, 38, 11, 26, 27, 2, 6
2021/1/26, 47, 17, 14, 37, 3, 7
2021/1/27, 62, 22, 32, 33, 2, 6
2021/1/28, 71, 15, 27, 23, 2, 5
2021/1/29, 54, 15, 34, 27, 3, 5
2021/1/30, 54, 10, 28, 25, 2, 5
2021/1/31, 40, 13, 32, 23, 3, 6
2021/2/1, 53, 16, 38, 23, 3, 5
2020/10/2, 56, 22, 47, 29, 4, 5
2020/10/3, 66, 19, 37, 28, 4, 5
2020/10/4, 60, 23, 43, 21, 4, 4
2020/10/5, 58, 28, 37, 25, 4, 6
2020/10/6, 73, 12, 34, 20, 3, 3
2020/10/7, 46, 15, 31, 21, 4, 3
2020/10/8, 52, 8, 28, 18, 1, 3
2020/10/9, 35, 8, 24, 16, 1, 4
2020/10/10, 36, 5, 30, 14, 1, 3
2020/10/11, 31, 7, 29, 9, 1, 4
2020/10/12, 31, 10, 29, 21, 3, 5
2020/10/13, 44, 16, 27, 22, 5, 5
2020/10/14, 53, 16, 31, 24, 5, 4
2020/10/15, 58, 13, 24, 22, 3, 4
2020/10/16, 50, 11, 32, 19, 2, 3
2020/10/17, 42, 11, 22, 18, 2, 3
2020/10/18, 45, 9, 28, 15, 2, 4
2020/10/19, 38, 10, 17, 27, 2, 5
2020/10/20, 45, 14, 32, 24, 2, 4
2020/10/21, 49, 15, 34, 22, 3, 4
2020/10/22, 53, 18, 30, 29, 3, 3
2020/10/23, 58, 16, 29, 25, 2, 4
2020/10/24, 54, 9, 32, 18, 2, 3
2020/10/25, 40, 10, 38, 17, 3, 4
2020/10/26, 42, 16, 32, 39, 6, 7
2020/10/27, 57, 15, 29, 27, 3, 4
2020/10/28, 52, 18, 38, 34, 4, 5
2020/10/29, 59, 17, 40, 27, 4, 5
2020/10/30, 59, 11, 28, 15, 2, 3
2020/10/31, 36, 11, 30, 19, 3, 4
2020/11/1, 40, 19, 24, 28, 5, 6
2020/11/2, 55, 27, 30, 30, 4, 5
2020/11/3, 77, 23, 23, 24, 3, 6
2020/11/4, 56, 10, 25, 25, 6, 5
2020/11/5, 30, 13, 27, 30, 3, 6
2020/11/6, 49, 20, 13, 36, 6, 6
2020/11/7, 62, 22, 31, 30, 4, 6
2020/11/8, 67, , , , , 4
2020/11/10, 25, 4, 21, 13, 4, 4
2020/11/11, 25, 6, 27, 14, 4, 4
2020/11/12, 32, 13, 18, 27, 3, 5
2020/11/13, 48, 20, 21, 36, 6, 7
2020/11/14, 51, 21, 30, 28, 4, 3
2020/11/15, 60, 18, 34, 22, 3, 4
2020/11/16, 57, 32, 18, 49, 7, 9
2020/11/17, 89, 25, 34, 30, 5, 5
2020/11/18, 75, 30, 30, 42, 5, 7
2020/11/19, 81, 30, 33, 28, 4, 6
2020/11/20, 82, 16, 30, 10, 2, 3
2020/11/21, 37, 9, 26, 12, 3, 3
2020/11/22, 27, 10, 29, 12, 4, 3
2020/11/23, 39, 11, 29, 13, 2, 3
2020/11/24, 40, 9, 25, 20, 3, 3
2020/11/25, 24, 9, 21, 22, 1, 4
2020/11/26, 36, 23, 16, 37, 4, 8
2020/11/27, 76, 15, 20, 24, 2, 5
2020/11/28, 55, 11, 26, 17, 4, 4
2020/11/29, 40, 8, 21, 16, 6, 5
2020/11/30, 34, 17, 18, 32, 4, 7
2020/12/1, 60, 14, 22, 33, 4, 6
2020/12/2, 51, 11, 17, 27, 3, 5
2020/12/3, 46, 20, 17, 26, 2, 6
2020/12/4, 65, 13, 26, 25, 3, 5
2020/12/5, 47, 12, 14, 27, 2, 4
2020/12/6, 42, 18, 20, 27, 4, 7
2020/12/7, 62, 23, 18, 41, 6, 8
2020/12/8, 74, 16, 28, 31, 3, 6
2020/12/9, 54, 10, 23, 26, 7, 4
2020/12/10, 43, 17, 21, 31, 4, 6
2020/12/11, 60, 23, 14, 37, 6, 7
2020/12/12, 74, 32, 25, 37, 6, 7
2020/12/13, 99, 17, 24, 25, 5, 5
2020/12/14, 57, 10, 31, 20, 3, 3
2020/12/15, 40, 8, 22, 23, 3, 3
2020/12/16, 34, 8, 23, 24, 3, 4
2020/12/17, 31, 8, 21, 26, 10, 4
2020/12/18, 34, 14, 22, 32, 6, 6
2020/12/19, 49, 9, 22, 23, 3, 3
2020/12/20, 31, 9, 28, 18, 3, 3
2020/12/21, 31, 13, 22, 33, 4, 4
2020/12/22, 46, 18, 18, 41, 4, 5
2020/12/23, 62, 18, 23, 44, 6, 8
